city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_b426941a84ea1af67bd3e281abb3d480,airinstaller,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b426941a84ea1af67bd3e281abb3d480,airinstaller,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_b426941a84ea1af67bd3e281abb3d480,airinstaller,United States,2015,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_b426941a84ea1af67bd3e281abb3d480,airinstaller,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_38ed48d2d4f28bbdb62c521a619d2e90,airinstaller,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_38ed48d2d4f28bbdb62c521a619d2e90,airinstaller,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_38ed48d2d4f28bbdb62c521a619d2e90,airinstaller,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_38ed48d2d4f28bbdb62c521a619d2e90,airinstaller,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b1230bc0a7d329a9d2a1dba1060c1480,airinstaller,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b1230bc0a7d329a9d2a1dba1060c1480,airinstaller,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b1230bc0a7d329a9d2a1dba1060c1480,airinstaller,United States,2015,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_b1230bc0a7d329a9d2a1dba1060c1480,airinstaller,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_71d3000504379e85f0d09060aff13140,airinstaller,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_71d3000504379e85f0d09060aff13140,airinstaller,United States,2014,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_71d3000504379e85f0d09060aff13140,airinstaller,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b2329c871838e521ed1df8d378270180,airinstaller,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b2329c871838e521ed1df8d378270180,airinstaller,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Ashburn,VirusShare_b2329c871838e521ed1df8d378270180,airinstaller,United States,2014,-77.4874,US,USA,184.26.93.58,39.0438,0
Redmond,VirusShare_dc0ec6f4f8c32f918d5d5693e284dd10,airinstaller,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_dc0ec6f4f8c32f918d5d5693e284dd10,airinstaller,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Dallas,VirusShare_f1ae8e8a7f137b7d541d8227878447f0,airinstaller,United States,2014,-96.797,US,USA,96.16.7.83,32.7767,0
Redmond,VirusShare_f1ae8e8a7f137b7d541d8227878447f0,airinstaller,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_f1ae8e8a7f137b7d541d8227878447f0,airinstaller,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bab0819f2f00ff2e41ac5d0462955b70,airinstaller,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_bab0819f2f00ff2e41ac5d0462955b70,airinstaller,United States,2015,-77.0369,US,USA,23.2.17.246,38.9072,0
