city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Newark,VirusShare_e111bbb3389d4a8636f7a1aac7ab62d3,alman,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Dallas,VirusShare_e111bbb3389d4a8636f7a1aac7ab62d3,alman,United States,2014,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_e111bbb3389d4a8636f7a1aac7ab62d3,alman,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bafaa15d91d988232d134b545dc18cb0,alman,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_bafaa15d91d988232d134b545dc18cb0,alman,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_bafaa15d91d988232d134b545dc18cb0,alman,United States,2014,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_bafaa15d91d988232d134b545dc18cb0,alman,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_bbe1780be06a096a41b3fff306595a80,alman,United States,2016,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_bbe1780be06a096a41b3fff306595a80,alman,United States,2016,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_bbe1780be06a096a41b3fff306595a80,alman,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bb85211d5f10d4d86b88510d3a8ed3b0,alman,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_bb85211d5f10d4d86b88510d3a8ed3b0,alman,United States,2014,-96.797,US,USA,96.16.7.83,32.7767,0
Redmond,VirusShare_bb85211d5f10d4d86b88510d3a8ed3b0,alman,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bb85211d5f10d4d86b88510d3a8ed3b0,alman,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_e328016a74a57f7848d7edfa8327feb0,alman,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_e328016a74a57f7848d7edfa8327feb0,alman,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Ashburn,VirusShare_e328016a74a57f7848d7edfa8327feb0,alman,United States,2014,-77.4874,US,USA,184.26.93.58,39.0438,0
Newark,VirusShare_be2606db806414dcd5ef0b57aac88d90,alman,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_be2606db806414dcd5ef0b57aac88d90,alman,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_be2606db806414dcd5ef0b57aac88d90,alman,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_be2606db806414dcd5ef0b57aac88d90,alman,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b23b9502a6c3620458072b68f15f0110,alman,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b23b9502a6c3620458072b68f15f0110,alman,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_777dfd7c752bdc9cb95072c87d230d60,alman,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_777dfd7c752bdc9cb95072c87d230d60,alman,United States,2014,-77.0369,US,USA,184.25.63.56,38.9072,0
Mountain View,VirusShare_777dfd7c752bdc9cb95072c87d230d60,alman,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bae6cd03f935136737839ef4ecc4b440,alman,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_bae6cd03f935136737839ef4ecc4b440,alman,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_bae6cd03f935136737839ef4ecc4b440,alman,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_bae6cd03f935136737839ef4ecc4b440,alman,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
