city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_b40cb3de00baa74a949bdb5b35f0cbf0,autoit,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_b40cb3de00baa74a949bdb5b35f0cbf0,autoit,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_b40cb3de00baa74a949bdb5b35f0cbf0,autoit,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b40cb3de00baa74a949bdb5b35f0cbf0,autoit,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b16af93dfdf63807d7cc83a1e00516e0,autoit,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b16af93dfdf63807d7cc83a1e00516e0,autoit,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Ashburn,VirusShare_b16af93dfdf63807d7cc83a1e00516e0,autoit,United States,2014,-77.4874,US,USA,184.26.93.58,39.0438,0
Redmond,VirusShare_bafd2562510032bfd5e6666b9c332b90,autoit,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_bafd2562510032bfd5e6666b9c332b90,autoit,United States,2014,-96.797,US,USA,96.16.7.80,32.7767,0
Redmond,VirusShare_bafd2562510032bfd5e6666b9c332b90,autoit,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bafd2562510032bfd5e6666b9c332b90,autoit,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Dallas,VirusShare_b236ea1377891f2ed9881b9d978d9bf2,autoit,United States,2013,-96.797,US,USA,96.16.7.83,32.7767,0
Redmond,VirusShare_b236ea1377891f2ed9881b9d978d9bf2,autoit,United States,2013,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b236ea1377891f2ed9881b9d978d9bf2,autoit,United States,2013,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_f1207f28aec08a7d46ecc10f41134cb0,autoit,United States,2015,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_f1207f28aec08a7d46ecc10f41134cb0,autoit,United States,2015,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_f1207f28aec08a7d46ecc10f41134cb0,autoit,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_f1207f28aec08a7d46ecc10f41134cb0,autoit,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bbacd63a581cc6d35cca72e7e3d57cf0,autoit,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_bbacd63a581cc6d35cca72e7e3d57cf0,autoit,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_bbacd63a581cc6d35cca72e7e3d57cf0,autoit,United States,2014,-96.797,US,USA,96.17.177.18,32.7767,0
