city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_db3420121bb0599fb5a143e6f7e16685,beebone,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_db3420121bb0599fb5a143e6f7e16685,beebone,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b1818b18e95e65c95638371b41b14bb2,beebone,United States,2013,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_b1818b18e95e65c95638371b41b14bb2,beebone,United States,2013,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_b1818b18e95e65c95638371b41b14bb2,beebone,United States,2013,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b1818b18e95e65c95638371b41b14bb2,beebone,United States,2013,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b679c28dcd38c921b3c9fd19b4d2d011,beebone,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b679c28dcd38c921b3c9fd19b4d2d011,beebone,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Atlanta,VirusShare_b679c28dcd38c921b3c9fd19b4d2d011,beebone,United States,2014,-84.388,US,USA,23.72.137.64,33.749,0
Mountain View,VirusShare_b679c28dcd38c921b3c9fd19b4d2d011,beebone,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_330223f6cf0a2cb5ef632d5dfecc35b4,beebone,United States,2013,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_330223f6cf0a2cb5ef632d5dfecc35b4,beebone,United States,2013,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_330223f6cf0a2cb5ef632d5dfecc35b4,beebone,United States,2013,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_330223f6cf0a2cb5ef632d5dfecc35b4,beebone,United States,2013,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_e26ea23651b2965a16105d5c34387850,beebone,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_e26ea23651b2965a16105d5c34387850,beebone,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Ashburn,VirusShare_e26ea23651b2965a16105d5c34387850,beebone,United States,2014,-77.4874,US,USA,184.26.93.58,39.0438,0
Redmond,VirusShare_783ecf01d8e3f07f9c1399ef536ab790,beebone,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_783ecf01d8e3f07f9c1399ef536ab790,beebone,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_783ecf01d8e3f07f9c1399ef536ab790,beebone,United States,2014,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_783ecf01d8e3f07f9c1399ef536ab790,beebone,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b8139c301f9c9b2dc31a2de80a5f774b,beebone,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b8139c301f9c9b2dc31a2de80a5f774b,beebone,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b8139c301f9c9b2dc31a2de80a5f774b,beebone,United States,2014,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_b8139c301f9c9b2dc31a2de80a5f774b,beebone,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_e07e5ad428e02defecc284d1aae760d6,beebone,United States,2013,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_e07e5ad428e02defecc284d1aae760d6,beebone,United States,2013,-77.0369,US,USA,23.2.17.169,38.9072,0
Redmond,VirusShare_e07e5ad428e02defecc284d1aae760d6,beebone,United States,2013,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_e07e5ad428e02defecc284d1aae760d6,beebone,United States,2013,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b1402a290a00850fe64cfb82515dd560,beebone,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_b1402a290a00850fe64cfb82515dd560,beebone,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Redmond,VirusShare_b1402a290a00850fe64cfb82515dd560,beebone,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b1402a290a00850fe64cfb82515dd560,beebone,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_76224c540d56712567860b46225c8cb0,beebone,United States,2016,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_76224c540d56712567860b46225c8cb0,beebone,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_76224c540d56712567860b46225c8cb0,beebone,United States,2016,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_76224c540d56712567860b46225c8cb0,beebone,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_f1d96de15fbf12b75397feb2a863b810,beebone,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_f1d96de15fbf12b75397feb2a863b810,beebone,United States,2014,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_f1d96de15fbf12b75397feb2a863b810,beebone,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_798c94badb77fe7547efae7069a79b2b,beebone,United States,2013,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_798c94badb77fe7547efae7069a79b2b,beebone,United States,2013,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_798c94badb77fe7547efae7069a79b2b,beebone,United States,2013,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_798c94badb77fe7547efae7069a79b2b,beebone,United States,2013,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_345adac10eb62774868ec204550ecfe0,beebone,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_345adac10eb62774868ec204550ecfe0,beebone,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_345adac10eb62774868ec204550ecfe0,beebone,United States,2014,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_345adac10eb62774868ec204550ecfe0,beebone,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_e054771168540a7743f199d87d3ab960,beebone,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_e054771168540a7743f199d87d3ab960,beebone,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_e054771168540a7743f199d87d3ab960,beebone,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_e054771168540a7743f199d87d3ab960,beebone,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_3f3dd7e84965c9ec0c3b0dfd67c8b9b3,beebone,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_3f3dd7e84965c9ec0c3b0dfd67c8b9b3,beebone,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_3f3dd7e84965c9ec0c3b0dfd67c8b9b3,beebone,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_3f3dd7e84965c9ec0c3b0dfd67c8b9b3,beebone,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_f06f5dabe378f3c4c4dc63a38f6c79e0,beebone,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_f06f5dabe378f3c4c4dc63a38f6c79e0,beebone,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_f06f5dabe378f3c4c4dc63a38f6c79e0,beebone,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_f06f5dabe378f3c4c4dc63a38f6c79e0,beebone,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_7c9fd0440af7445d2fe02aaafcea4090,beebone,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_7c9fd0440af7445d2fe02aaafcea4090,beebone,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_7c9fd0440af7445d2fe02aaafcea4090,beebone,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_7c9fd0440af7445d2fe02aaafcea4090,beebone,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_e27895e57eb1c58649cda0e1e37d7670,beebone,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Ashburn,VirusShare_e27895e57eb1c58649cda0e1e37d7670,beebone,United States,2014,-77.4874,US,USA,184.26.93.81,39.0438,0
Mountain View,VirusShare_e27895e57eb1c58649cda0e1e37d7670,beebone,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_3ac0b36024f383215b545d5ffd0fbe48,beebone,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_3ac0b36024f383215b545d5ffd0fbe48,beebone,United States,2014,-96.797,US,USA,96.16.7.83,32.7767,0
Redmond,VirusShare_3ac0b36024f383215b545d5ffd0fbe48,beebone,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_3ac0b36024f383215b545d5ffd0fbe48,beebone,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b68ceade6ddbae64935e086749192f50,beebone,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b68ceade6ddbae64935e086749192f50,beebone,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
