city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_39ba00497449c4e00561d95da72d6ccd,bifrose,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_39ba00497449c4e00561d95da72d6ccd,bifrose,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_39ba00497449c4e00561d95da72d6ccd,bifrose,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_39ba00497449c4e00561d95da72d6ccd,bifrose,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b321a417491a3ba56cd3d4a077fbd10d,bifrose,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_b321a417491a3ba56cd3d4a077fbd10d,bifrose,United States,2014,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_b321a417491a3ba56cd3d4a077fbd10d,bifrose,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b677c64aefc18f192741c2b2d8af7c86,bifrose,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b677c64aefc18f192741c2b2d8af7c86,bifrose,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_b677c64aefc18f192741c2b2d8af7c86,bifrose,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_b677c64aefc18f192741c2b2d8af7c86,bifrose,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b3112fb5244eb5f7cdf9bdcabd076965,bifrose,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b3112fb5244eb5f7cdf9bdcabd076965,bifrose,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b3112fb5244eb5f7cdf9bdcabd076965,bifrose,United States,2014,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_b3112fb5244eb5f7cdf9bdcabd076965,bifrose,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b33fda9c9f204c7538a00fea5132434e,bifrose,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b33fda9c9f204c7538a00fea5132434e,bifrose,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_b33fda9c9f204c7538a00fea5132434e,bifrose,United States,2014,-77.0369,US,USA,184.25.63.41,38.9072,0
Mountain View,VirusShare_b33fda9c9f204c7538a00fea5132434e,bifrose,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_db63ae582775a54adeae5f65cc79f3df,bifrose,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_db63ae582775a54adeae5f65cc79f3df,bifrose,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_be0a7bacc9d7c57a57af676d7370d31f,bifrose,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_be0a7bacc9d7c57a57af676d7370d31f,bifrose,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Redmond,VirusShare_be0a7bacc9d7c57a57af676d7370d31f,bifrose,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_be0a7bacc9d7c57a57af676d7370d31f,bifrose,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Mountain View,VirusShare_dc26b36481c72114cb508fb1dc0268e2,bifrose,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bbbb00d12028aa949bcd3bd8ac1117d7,bifrose,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_bbbb00d12028aa949bcd3bd8ac1117d7,bifrose,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_bbbb00d12028aa949bcd3bd8ac1117d7,bifrose,United States,2014,-96.797,US,USA,23.67.252.18,32.7767,0
Mountain View,VirusShare_bbbb00d12028aa949bcd3bd8ac1117d7,bifrose,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_db2c2975a84febcc14ed6936495670f0,bifrose,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_db2c2975a84febcc14ed6936495670f0,bifrose,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_54ad6ef0e555a6a9c2421f9314fbcf1c,bifrose,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_54ad6ef0e555a6a9c2421f9314fbcf1c,bifrose,United States,2017,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_54ad6ef0e555a6a9c2421f9314fbcf1c,bifrose,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
