city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_dba444b7c3f25d24bb8947dfec9d3290,bladabindi,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_dba444b7c3f25d24bb8947dfec9d3290,bladabindi,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Ashburn,VirusShare_dba444b7c3f25d24bb8947dfec9d3290,bladabindi,United States,2015,-77.4874,US,USA,184.26.93.58,39.0438,0
Newark,VirusShare_bd677b93a290664b044825068c54a4e0,bladabindi,United States,2015,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_bd677b93a290664b044825068c54a4e0,bladabindi,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_bd677b93a290664b044825068c54a4e0,bladabindi,United States,2015,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_bd677b93a290664b044825068c54a4e0,bladabindi,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_ecb6cdd2d8ec3b9e596510e186a11f3e,bladabindi,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_ecb6cdd2d8ec3b9e596510e186a11f3e,bladabindi,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_ecb6cdd2d8ec3b9e596510e186a11f3e,bladabindi,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Ashburn,VirusShare_ecb6cdd2d8ec3b9e596510e186a11f3e,bladabindi,United States,2017,-77.4874,US,USA,184.26.93.58,39.0438,0
Redmond,VirusShare_ba288c07aaa2c92ae2043b2e18aff640,bladabindi,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_ba288c07aaa2c92ae2043b2e18aff640,bladabindi,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_ba288c07aaa2c92ae2043b2e18aff640,bladabindi,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_e085f25c40962f215b82284c5b2a5828,bladabindi,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_e085f25c40962f215b82284c5b2a5828,bladabindi,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_e085f25c40962f215b82284c5b2a5828,bladabindi,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_e085f25c40962f215b82284c5b2a5828,bladabindi,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b614467e406021de83d3f2683e58bf70,bladabindi,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_b614467e406021de83d3f2683e58bf70,bladabindi,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_b614467e406021de83d3f2683e58bf70,bladabindi,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b614467e406021de83d3f2683e58bf70,bladabindi,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_cb48dd334fef78648941f8738a8588a0,bladabindi,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b817e2f7792723234494d42de3574a20,bladabindi,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b817e2f7792723234494d42de3574a20,bladabindi,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b817e2f7792723234494d42de3574a20,bladabindi,United States,2014,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_b817e2f7792723234494d42de3574a20,bladabindi,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_e0377ddaa6391f5d2fae1cbbab0762c0,bladabindi,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_e0377ddaa6391f5d2fae1cbbab0762c0,bladabindi,United States,2015,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_e0377ddaa6391f5d2fae1cbbab0762c0,bladabindi,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_e0377ddaa6391f5d2fae1cbbab0762c0,bladabindi,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b67520c7f09386edb4bd2c4d687d93f0,bladabindi,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_b67520c7f09386edb4bd2c4d687d93f0,bladabindi,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_b67520c7f09386edb4bd2c4d687d93f0,bladabindi,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b67520c7f09386edb4bd2c4d687d93f0,bladabindi,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_727bf0704a19e3bbb85a2c4a3b041770,bladabindi,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_727bf0704a19e3bbb85a2c4a3b041770,bladabindi,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_727bf0704a19e3bbb85a2c4a3b041770,bladabindi,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_727bf0704a19e3bbb85a2c4a3b041770,bladabindi,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_cd195fa51267b947059aea1c64046487,bladabindi,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_cd195fa51267b947059aea1c64046487,bladabindi,United States,2017,-96.797,US,USA,23.218.156.11,32.7767,0
Mountain View,VirusShare_cd195fa51267b947059aea1c64046487,bladabindi,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_3bb72be3f2ed615e9e7878d992e5f5f2,bladabindi,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_3bb72be3f2ed615e9e7878d992e5f5f2,bladabindi,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
