city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_9cdf941705664184fa2070eb5c16cb29,bundlore,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_9cdf941705664184fa2070eb5c16cb29,bundlore,United States,2014,-96.797,US,USA,96.17.177.24,32.7767,0
Redmond,VirusShare_9cdf941705664184fa2070eb5c16cb29,bundlore,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_9cdf941705664184fa2070eb5c16cb29,bundlore,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_61813332858be9da105d5f0b683edd9f,bundlore,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_61813332858be9da105d5f0b683edd9f,bundlore,United States,2014,-96.797,US,USA,23.67.252.32,32.7767,0
Redmond,VirusShare_61813332858be9da105d5f0b683edd9f,bundlore,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_61813332858be9da105d5f0b683edd9f,bundlore,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_2541bd05c16310ecd8b028009bb9241d,bundlore,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Atlanta,VirusShare_2541bd05c16310ecd8b028009bb9241d,bundlore,United States,2014,-84.388,US,USA,23.73.181.64,33.749,0
Redmond,VirusShare_2541bd05c16310ecd8b028009bb9241d,bundlore,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_2541bd05c16310ecd8b028009bb9241d,bundlore,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b145dc410bcbf8f567f1ea3b7fb58990,bundlore,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b145dc410bcbf8f567f1ea3b7fb58990,bundlore,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_b145dc410bcbf8f567f1ea3b7fb58990,bundlore,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_b145dc410bcbf8f567f1ea3b7fb58990,bundlore,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_c86a5c4052229c7098a0fc92c0775dc2,bundlore,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_c86a5c4052229c7098a0fc92c0775dc2,bundlore,United States,2014,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_c86a5c4052229c7098a0fc92c0775dc2,bundlore,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_c86a5c4052229c7098a0fc92c0775dc2,bundlore,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_4e28c33b21138fe024892bbc7b100a5b,bundlore,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_4e28c33b21138fe024892bbc7b100a5b,bundlore,United States,2017,-77.0369,US,USA,23.2.17.169,38.9072,0
Redmond,VirusShare_4e28c33b21138fe024892bbc7b100a5b,bundlore,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_4e28c33b21138fe024892bbc7b100a5b,bundlore,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b1fb0780e5e7ed92ad2c8f58b33dd24c,bundlore,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Chicago,VirusShare_b1fb0780e5e7ed92ad2c8f58b33dd24c,bundlore,United States,2014,-87.6298,US,USA,23.212.53.221,41.8781,0
Redmond,VirusShare_b1fb0780e5e7ed92ad2c8f58b33dd24c,bundlore,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b1fb0780e5e7ed92ad2c8f58b33dd24c,bundlore,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_420b0e7f764d46e99168a859f81dc3ff,bundlore,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_420b0e7f764d46e99168a859f81dc3ff,bundlore,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_420b0e7f764d46e99168a859f81dc3ff,bundlore,United States,2017,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_420b0e7f764d46e99168a859f81dc3ff,bundlore,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_6f9bc71884b00422a9226393a016272a,bundlore,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_6f9bc71884b00422a9226393a016272a,bundlore,United States,2014,-96.797,US,USA,96.16.7.80,32.7767,0
Redmond,VirusShare_6f9bc71884b00422a9226393a016272a,bundlore,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_6f9bc71884b00422a9226393a016272a,bundlore,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
