city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Mountain View,VirusShare_744a43c2a8d6255850e69ea7be3f2ca5,buzus,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_f0d799012ad929faf32788f54c5c84b4,buzus,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_f0d799012ad929faf32788f54c5c84b4,buzus,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_f0d799012ad929faf32788f54c5c84b4,buzus,United States,2014,-96.797,US,USA,23.67.252.18,32.7767,0
Mountain View,VirusShare_f0d799012ad929faf32788f54c5c84b4,buzus,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Mountain View,VirusShare_cc1b89016f0d4125194b8e97fd93eb10,buzus,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_302be92ca96a23d603b1b2a4e939aeff,buzus,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_302be92ca96a23d603b1b2a4e939aeff,buzus,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Redmond,VirusShare_302be92ca96a23d603b1b2a4e939aeff,buzus,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_302be92ca96a23d603b1b2a4e939aeff,buzus,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_ba63ce0f48d657a8ce99375ae2bf3e1b,buzus,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_ba63ce0f48d657a8ce99375ae2bf3e1b,buzus,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_ba63ce0f48d657a8ce99375ae2bf3e1b,buzus,United States,2014,-96.797,US,USA,23.218.156.26,32.7767,0
Mountain View,VirusShare_ba63ce0f48d657a8ce99375ae2bf3e1b,buzus,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b4809408cb6a17d8187cd4c6a74aa300,buzus,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_b4809408cb6a17d8187cd4c6a74aa300,buzus,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_b4809408cb6a17d8187cd4c6a74aa300,buzus,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b4809408cb6a17d8187cd4c6a74aa300,buzus,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_db8d7c1aa11a7188baf95fe21725f190,buzus,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_db8d7c1aa11a7188baf95fe21725f190,buzus,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Dallas,VirusShare_db8d7c1aa11a7188baf95fe21725f190,buzus,United States,2014,-96.797,US,USA,23.67.253.162,32.7767,0
Redmond,VirusShare_f1e8355e5c485fd4b6e32de569c42488,buzus,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_f1e8355e5c485fd4b6e32de569c42488,buzus,United States,2014,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_f1e8355e5c485fd4b6e32de569c42488,buzus,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_33569cf4b86692b655df5d4dbdba2cfa,buzus,United States,2013,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_33569cf4b86692b655df5d4dbdba2cfa,buzus,United States,2013,-77.0369,US,USA,23.2.17.169,38.9072,0
Redmond,VirusShare_33569cf4b86692b655df5d4dbdba2cfa,buzus,United States,2013,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_33569cf4b86692b655df5d4dbdba2cfa,buzus,United States,2013,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b8eb8412123acbaeaac06bc5b3c46540,buzus,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_b8eb8412123acbaeaac06bc5b3c46540,buzus,United States,2014,-96.797,US,USA,96.17.177.24,32.7767,0
Redmond,VirusShare_b8eb8412123acbaeaac06bc5b3c46540,buzus,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b8eb8412123acbaeaac06bc5b3c46540,buzus,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b8fe262af580a625ece61b7d60c6a340,buzus,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_b8fe262af580a625ece61b7d60c6a340,buzus,United States,2014,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_b8fe262af580a625ece61b7d60c6a340,buzus,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_e403ce7aae9673ed1d0b240503a270b4,buzus,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_e403ce7aae9673ed1d0b240503a270b4,buzus,United States,2014,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_e403ce7aae9673ed1d0b240503a270b4,buzus,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_7944e7d4518efab63189d84917b1f086,buzus,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Atlanta,VirusShare_7944e7d4518efab63189d84917b1f086,buzus,United States,2014,-84.388,US,USA,23.72.137.81,33.749,0
Redmond,VirusShare_7944e7d4518efab63189d84917b1f086,buzus,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_7944e7d4518efab63189d84917b1f086,buzus,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bbb7b7bab726ec8d581d757f554f7a59,buzus,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_bbb7b7bab726ec8d581d757f554f7a59,buzus,United States,2014,-96.797,US,USA,96.17.177.24,32.7767,0
Redmond,VirusShare_bbb7b7bab726ec8d581d757f554f7a59,buzus,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bbb7b7bab726ec8d581d757f554f7a59,buzus,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Dallas,VirusShare_b8e903be4d64c7a3185e50e1a8347430,buzus,United States,2014,-96.797,US,USA,96.17.177.24,32.7767,0
Redmond,VirusShare_b8e903be4d64c7a3185e50e1a8347430,buzus,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b8e903be4d64c7a3185e50e1a8347430,buzus,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b8e903be4d64c7a3185e50e1a8347430,buzus,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b81335667dad3f3bd90114345977dd31,buzus,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b81335667dad3f3bd90114345977dd31,buzus,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b81335667dad3f3bd90114345977dd31,buzus,United States,2017,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_b81335667dad3f3bd90114345977dd31,buzus,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_ba656a0b3ffb1d49dd8dff146657c933,buzus,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_ba656a0b3ffb1d49dd8dff146657c933,buzus,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_ba656a0b3ffb1d49dd8dff146657c933,buzus,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_ba656a0b3ffb1d49dd8dff146657c933,buzus,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_34d6829edbc62eb0c3983f4eae62c050,buzus,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_34d6829edbc62eb0c3983f4eae62c050,buzus,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Ashburn,VirusShare_34d6829edbc62eb0c3983f4eae62c050,buzus,United States,2014,-77.4874,US,USA,184.26.93.48,39.0438,0
Mountain View,VirusShare_34d6829edbc62eb0c3983f4eae62c050,buzus,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_f0fd2164f39abfbc1cbb45fc90f857b0,buzus,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_f0fd2164f39abfbc1cbb45fc90f857b0,buzus,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Mountain View,VirusShare_f0fd2164f39abfbc1cbb45fc90f857b0,buzus,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_ba13183e1fcc00d0fcdc81d260de06d8,buzus,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Atlanta,VirusShare_ba13183e1fcc00d0fcdc81d260de06d8,buzus,United States,2014,-84.388,US,USA,184.51.150.8,33.749,0
Redmond,VirusShare_ba13183e1fcc00d0fcdc81d260de06d8,buzus,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_ba13183e1fcc00d0fcdc81d260de06d8,buzus,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_78c2a3d6429cc8613f715bb6609266c0,buzus,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_78c2a3d6429cc8613f715bb6609266c0,buzus,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_78c2a3d6429cc8613f715bb6609266c0,buzus,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_78c2a3d6429cc8613f715bb6609266c0,buzus,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_33ab740b2932eba8f370ab51a0fd3904,buzus,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_33ab740b2932eba8f370ab51a0fd3904,buzus,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_33ab740b2932eba8f370ab51a0fd3904,buzus,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_33ab740b2932eba8f370ab51a0fd3904,buzus,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_cbb9c4e93998bd5abfcd3a66af36fca9,buzus,United States,2013,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_cbb9c4e93998bd5abfcd3a66af36fca9,buzus,United States,2013,-122.085,US,USA,8.8.8.8,37.4229,0
Ashburn,VirusShare_cbb9c4e93998bd5abfcd3a66af36fca9,buzus,United States,2013,-77.4874,US,USA,184.26.93.58,39.0438,0
Dallas,VirusShare_cacb17baf2841eba500e64bedd27be87,buzus,United States,2014,-96.797,US,USA,23.218.156.11,32.7767,0
