city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_b8a456d7279c7578372e6b76eb1a27e3,c99shell,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b8a456d7279c7578372e6b76eb1a27e3,c99shell,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b8a456d7279c7578372e6b76eb1a27e3,c99shell,United States,2014,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_b8a456d7279c7578372e6b76eb1a27e3,c99shell,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_4d97f477530c9605424e19673bd3c150,c99shell,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_4d97f477530c9605424e19673bd3c150,c99shell,United States,2017,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_4d97f477530c9605424e19673bd3c150,c99shell,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_4d97f477530c9605424e19673bd3c150,c99shell,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_39af172837759c4455183b2ed46efa4a,c99shell,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_39af172837759c4455183b2ed46efa4a,c99shell,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Paris,VirusShare_39af172837759c4455183b2ed46efa4a,c99shell,France,2014,2.35222,FR,FRA,23.219.160.65,48.8566,0
Mountain View,VirusShare_39af172837759c4455183b2ed46efa4a,c99shell,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_f9f5a93ac158862ce396bb1b4dd1d1dd,c99shell,United States,2016,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_f9f5a93ac158862ce396bb1b4dd1d1dd,c99shell,United States,2016,-77.0369,US,USA,23.2.17.179,38.9072,0
Redmond,VirusShare_f9f5a93ac158862ce396bb1b4dd1d1dd,c99shell,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_f9f5a93ac158862ce396bb1b4dd1d1dd,c99shell,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_e012ed4e1807a62deb0794d6c0b4f27d,c99shell,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_e012ed4e1807a62deb0794d6c0b4f27d,c99shell,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
