city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_798130636dcdf2c1fb631ebafae930b4,confidence,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_798130636dcdf2c1fb631ebafae930b4,confidence,United States,2017,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_798130636dcdf2c1fb631ebafae930b4,confidence,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_798130636dcdf2c1fb631ebafae930b4,confidence,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_59ee6f0e64af2e42130884fb87811e06,confidence,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_59ee6f0e64af2e42130884fb87811e06,confidence,United States,2017,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_59ee6f0e64af2e42130884fb87811e06,confidence,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_59ee6f0e64af2e42130884fb87811e06,confidence,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_65e0ec84b69fd5ac481f7610db9adf10,confidence,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_65e0ec84b69fd5ac481f7610db9adf10,confidence,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_65e0ec84b69fd5ac481f7610db9adf10,confidence,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Ashburn,VirusShare_65e0ec84b69fd5ac481f7610db9adf10,confidence,United States,2017,-77.4874,US,USA,184.26.93.58,39.0438,0
Redmond,VirusShare_c810189b6db75bd966b3bb62ee93d659,confidence,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_c810189b6db75bd966b3bb62ee93d659,confidence,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_c810189b6db75bd966b3bb62ee93d659,confidence,United States,2017,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_c810189b6db75bd966b3bb62ee93d659,confidence,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_0542cdba196beff747e0bab6845a0069,confidence,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_0542cdba196beff747e0bab6845a0069,confidence,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_0542cdba196beff747e0bab6845a0069,confidence,United States,2017,-96.797,US,USA,23.218.156.26,32.7767,0
Mountain View,VirusShare_0542cdba196beff747e0bab6845a0069,confidence,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_078edd78a763cef4c03afa46a46b4de3,confidence,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_078edd78a763cef4c03afa46a46b4de3,confidence,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_078edd78a763cef4c03afa46a46b4de3,confidence,United States,2017,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_078edd78a763cef4c03afa46a46b4de3,confidence,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_0ebcfbe3c7c7ef099956036e66057e66,confidence,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_0ebcfbe3c7c7ef099956036e66057e66,confidence,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_0ebcfbe3c7c7ef099956036e66057e66,confidence,United States,2017,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_0ebcfbe3c7c7ef099956036e66057e66,confidence,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Dallas,VirusShare_f5ba6ab51bbc03749f382129141a57da,confidence,United States,2017,-96.797,US,USA,96.17.177.24,32.7767,0
Redmond,VirusShare_f5ba6ab51bbc03749f382129141a57da,confidence,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_f5ba6ab51bbc03749f382129141a57da,confidence,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_f5ba6ab51bbc03749f382129141a57da,confidence,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_269bd73379acfec156dbc24857a954f7,confidence,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_269bd73379acfec156dbc24857a954f7,confidence,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_269bd73379acfec156dbc24857a954f7,confidence,United States,2017,-96.797,US,USA,23.218.156.26,32.7767,0
Mountain View,VirusShare_269bd73379acfec156dbc24857a954f7,confidence,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_3419e958aa8635ce41a9ca1fe06c88ec,confidence,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_3419e958aa8635ce41a9ca1fe06c88ec,confidence,United States,2017,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_3419e958aa8635ce41a9ca1fe06c88ec,confidence,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_3419e958aa8635ce41a9ca1fe06c88ec,confidence,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_ed7bd39ba65786a08613ea8b1991d7ef,confidence,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_ed7bd39ba65786a08613ea8b1991d7ef,confidence,United States,2017,-77.0369,US,USA,23.2.17.246,38.9072,0
New York,VirusShare_ed7bd39ba65786a08613ea8b1991d7ef,confidence,United States,2017,-74.0059,US,USA,204.79.197.200,40.7128,0
Mountain View,VirusShare_ed7bd39ba65786a08613ea8b1991d7ef,confidence,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_ed7bd39ba65786a08613ea8b1991d7ef,confidence,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Redmond,VirusShare_b44394fafee02bce5e4d87c88d74433f,confidence,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_b44394fafee02bce5e4d87c88d74433f,confidence,United States,2017,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_b44394fafee02bce5e4d87c88d74433f,confidence,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b44394fafee02bce5e4d87c88d74433f,confidence,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_8a1557af0a9b3b92447b7c437dab9303,confidence,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_8a1557af0a9b3b92447b7c437dab9303,confidence,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_8a1557af0a9b3b92447b7c437dab9303,confidence,United States,2017,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_8a1557af0a9b3b92447b7c437dab9303,confidence,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_0b1c9bc87aa41191eb060e45d1be1830,confidence,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_0b1c9bc87aa41191eb060e45d1be1830,confidence,United States,2017,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_0b1c9bc87aa41191eb060e45d1be1830,confidence,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_0b1c9bc87aa41191eb060e45d1be1830,confidence,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_3753061088fe1890149059ae7d98ca5d,confidence,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_3753061088fe1890149059ae7d98ca5d,confidence,United States,2017,-96.797,US,USA,23.67.252.32,32.7767,0
Redmond,VirusShare_3753061088fe1890149059ae7d98ca5d,confidence,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_3753061088fe1890149059ae7d98ca5d,confidence,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_870ba415d2752c1316e4809e38903b40,confidence,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_870ba415d2752c1316e4809e38903b40,confidence,United States,2017,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_870ba415d2752c1316e4809e38903b40,confidence,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_870ba415d2752c1316e4809e38903b40,confidence,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_c242ec87e7df7d32cb2716ee8f118462,confidence,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Atlanta,VirusShare_c242ec87e7df7d32cb2716ee8f118462,confidence,United States,2017,-84.388,US,USA,23.73.181.64,33.749,0
Mountain View,VirusShare_c242ec87e7df7d32cb2716ee8f118462,confidence,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_c242ec87e7df7d32cb2716ee8f118462,confidence,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Redmond,VirusShare_4670c1ce0fbe40ab89bd5cf92a8e6ac3,confidence,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_4670c1ce0fbe40ab89bd5cf92a8e6ac3,confidence,United States,2017,-96.797,US,USA,23.67.252.18,32.7767,0
