city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_bb8a155325d9216cba2a82e3697f2110,cosmu,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_bb8a155325d9216cba2a82e3697f2110,cosmu,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_bb8a155325d9216cba2a82e3697f2110,cosmu,United States,2014,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_bb8a155325d9216cba2a82e3697f2110,cosmu,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b6ae1084d68a14248e93b1b2073a8b8d,cosmu,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b6ae1084d68a14248e93b1b2073a8b8d,cosmu,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b6ae1084d68a14248e93b1b2073a8b8d,cosmu,United States,2014,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_b6ae1084d68a14248e93b1b2073a8b8d,cosmu,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Mountain View,VirusShare_740e25d4ea12a757bc6061fc36f9c454,cosmu,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_e1e55175903e02c51b0c6a5d5b903297,cosmu,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_e1e55175903e02c51b0c6a5d5b903297,cosmu,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_e1e55175903e02c51b0c6a5d5b903297,cosmu,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b6d0bdb39b434a7cd240dbaeaf945920,cosmu,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b6d0bdb39b434a7cd240dbaeaf945920,cosmu,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b6d0bdb39b434a7cd240dbaeaf945920,cosmu,United States,2014,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_b6d0bdb39b434a7cd240dbaeaf945920,cosmu,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b836fc30062d14fe37c728a303ea9720,cosmu,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b836fc30062d14fe37c728a303ea9720,cosmu,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b836fc30062d14fe37c728a303ea9720,cosmu,United States,2014,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_b836fc30062d14fe37c728a303ea9720,cosmu,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b8ee6e1a85563db7c8b8c8f6efcec090,cosmu,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Chicago,VirusShare_b8ee6e1a85563db7c8b8c8f6efcec090,cosmu,United States,2015,-87.6298,US,USA,23.212.53.221,41.8781,0
Redmond,VirusShare_b8ee6e1a85563db7c8b8c8f6efcec090,cosmu,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b8ee6e1a85563db7c8b8c8f6efcec090,cosmu,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b86e7083c904f339c7a0c108a776da50,cosmu,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b86e7083c904f339c7a0c108a776da50,cosmu,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b86e7083c904f339c7a0c108a776da50,cosmu,United States,2014,-96.797,US,USA,96.17.177.18,32.7767,0
Mountain View,VirusShare_b86e7083c904f339c7a0c108a776da50,cosmu,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b8b45315b32a6056455043f7865c24a0,cosmu,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b8b45315b32a6056455043f7865c24a0,cosmu,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b8b45315b32a6056455043f7865c24a0,cosmu,United States,2014,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_b8b45315b32a6056455043f7865c24a0,cosmu,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_3d312cc595cd1d7263c329b43cd64266,cosmu,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Mountain View,VirusShare_3d312cc595cd1d7263c329b43cd64266,cosmu,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b4b18704af176574e1fd2f35b35e5600,cosmu,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_b4b18704af176574e1fd2f35b35e5600,cosmu,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_b4b18704af176574e1fd2f35b35e5600,cosmu,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b4b18704af176574e1fd2f35b35e5600,cosmu,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bfbd4744b04911e903a87e861474b9c0,cosmu,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bfbd4744b04911e903a87e861474b9c0,cosmu,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Ashburn,VirusShare_bfbd4744b04911e903a87e861474b9c0,cosmu,United States,2014,-77.4874,US,USA,184.26.93.58,39.0438,0
Redmond,VirusShare_ba3e4b617f0f77604760c1d2f4513a20,cosmu,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_ba3e4b617f0f77604760c1d2f4513a20,cosmu,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_ba3e4b617f0f77604760c1d2f4513a20,cosmu,United States,2017,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_ba3e4b617f0f77604760c1d2f4513a20,cosmu,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bb56f711a3f5c752ca2c4406e7cf1780,cosmu,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_bb56f711a3f5c752ca2c4406e7cf1780,cosmu,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_bb56f711a3f5c752ca2c4406e7cf1780,cosmu,United States,2014,-96.797,US,USA,23.67.252.19,32.7767,0
