city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_367153df865db08211c0314a7032985b,delf,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_367153df865db08211c0314a7032985b,delf,United States,2015,-77.0369,US,USA,23.2.17.169,38.9072,0
Redmond,VirusShare_367153df865db08211c0314a7032985b,delf,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_367153df865db08211c0314a7032985b,delf,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_e0429ce109bdb05d5f639ace01ec9030,delf,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_e0429ce109bdb05d5f639ace01ec9030,delf,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_e0429ce109bdb05d5f639ace01ec9030,delf,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bbb0a381be2ddb479a6542ccd4747d10,delf,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_bbb0a381be2ddb479a6542ccd4747d10,delf,United States,2014,-96.797,US,USA,96.17.177.24,32.7767,0
Redmond,VirusShare_bbb0a381be2ddb479a6542ccd4747d10,delf,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bbb0a381be2ddb479a6542ccd4747d10,delf,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bb8331f06140b38dfefe41a36a20cee8,delf,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_bb8331f06140b38dfefe41a36a20cee8,delf,United States,2014,-96.797,US,USA,96.16.7.83,32.7767,0
Redmond,VirusShare_bb8331f06140b38dfefe41a36a20cee8,delf,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bb8331f06140b38dfefe41a36a20cee8,delf,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_bdaabd70c3dc4cc2c2d7d9b6719db6e0,delf,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_bdaabd70c3dc4cc2c2d7d9b6719db6e0,delf,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_bdaabd70c3dc4cc2c2d7d9b6719db6e0,delf,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bdaabd70c3dc4cc2c2d7d9b6719db6e0,delf,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b68b8e247bdd436015a571ad92922530,delf,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b68b8e247bdd436015a571ad92922530,delf,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b68b8e247bdd436015a571ad92922530,delf,United States,2015,-96.797,US,USA,96.17.177.18,32.7767,0
Mountain View,VirusShare_b68b8e247bdd436015a571ad92922530,delf,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_e36ef6ddf1fba743171777b4398fb150,delf,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_e36ef6ddf1fba743171777b4398fb150,delf,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Ashburn,VirusShare_e36ef6ddf1fba743171777b4398fb150,delf,United States,2014,-77.4874,US,USA,184.26.93.58,39.0438,0
Newark,VirusShare_e052a4fc1ed505a1ca9abbd97d57bae0,delf,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_e052a4fc1ed505a1ca9abbd97d57bae0,delf,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_e052a4fc1ed505a1ca9abbd97d57bae0,delf,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_e052a4fc1ed505a1ca9abbd97d57bae0,delf,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_f07816c965ba8ba019d5fee9de709391,delf,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_f07816c965ba8ba019d5fee9de709391,delf,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_f07816c965ba8ba019d5fee9de709391,delf,United States,2014,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_f07816c965ba8ba019d5fee9de709391,delf,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_e3828513045e94be78d447d05a269120,delf,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Ashburn,VirusShare_e3828513045e94be78d447d05a269120,delf,United States,2015,-77.4874,US,USA,184.26.93.81,39.0438,0
Mountain View,VirusShare_e3828513045e94be78d447d05a269120,delf,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_e06d4c90baf5a4aea74b5e029218365e,delf,United States,2016,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_e06d4c90baf5a4aea74b5e029218365e,delf,United States,2016,-77.0369,US,USA,23.2.17.169,38.9072,0
Redmond,VirusShare_e06d4c90baf5a4aea74b5e029218365e,delf,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_e06d4c90baf5a4aea74b5e029218365e,delf,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Mountain View,VirusShare_db1e0f18b73b95a39cb82cadce7c459e,delf,United States,2013,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b613a38c203035a82df9183afd18bcae,delf,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_b613a38c203035a82df9183afd18bcae,delf,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_b613a38c203035a82df9183afd18bcae,delf,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b613a38c203035a82df9183afd18bcae,delf,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_e2f21c8283830c9ce7e40809140627dd,delf,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Ashburn,VirusShare_e2f21c8283830c9ce7e40809140627dd,delf,United States,2014,-77.4874,US,USA,184.26.93.81,39.0438,0
Mountain View,VirusShare_e2f21c8283830c9ce7e40809140627dd,delf,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_7074d72f062691feb71ef7f049e5e330,delf,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_7074d72f062691feb71ef7f049e5e330,delf,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_7074d72f062691feb71ef7f049e5e330,delf,United States,2014,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_7074d72f062691feb71ef7f049e5e330,delf,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_39d2fdee106d05de2be1ea898c310620,delf,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_39d2fdee106d05de2be1ea898c310620,delf,United States,2014,-96.797,US,USA,96.16.7.83,32.7767,0
Redmond,VirusShare_39d2fdee106d05de2be1ea898c310620,delf,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_39d2fdee106d05de2be1ea898c310620,delf,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_3f217704fe0f3a309dcf9d48bc72f9a7,delf,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Atlanta,VirusShare_3f217704fe0f3a309dcf9d48bc72f9a7,delf,United States,2014,-84.388,US,USA,23.72.137.59,33.749,0
Redmond,VirusShare_3f217704fe0f3a309dcf9d48bc72f9a7,delf,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_3f217704fe0f3a309dcf9d48bc72f9a7,delf,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Ashburn,VirusShare_bf72bafc23b10fb7d4e1e0f4a51a04a1,delf,United States,2015,-77.4874,US,USA,184.26.93.81,39.0438,0
Mountain View,VirusShare_bf72bafc23b10fb7d4e1e0f4a51a04a1,delf,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_39aa76df1567102719f9f231e8b68300,delf,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_39aa76df1567102719f9f231e8b68300,delf,United States,2014,-96.797,US,USA,96.16.7.83,32.7767,0
Redmond,VirusShare_39aa76df1567102719f9f231e8b68300,delf,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_39aa76df1567102719f9f231e8b68300,delf,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_7458244945b3b63b10abd7805cb68150,delf,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_7458244945b3b63b10abd7805cb68150,delf,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_baddb125e15f47a2af90fc39e900a663,delf,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_baddb125e15f47a2af90fc39e900a663,delf,United States,2014,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_baddb125e15f47a2af90fc39e900a663,delf,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_baddb125e15f47a2af90fc39e900a663,delf,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_3e7c6477770b919bcdb45c71d75c235c,delf,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_3e7c6477770b919bcdb45c71d75c235c,delf,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_3e7c6477770b919bcdb45c71d75c235c,delf,United States,2014,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_3e7c6477770b919bcdb45c71d75c235c,delf,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b42dce3f93d031c7a11d4cad85db9fa0,delf,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b42dce3f93d031c7a11d4cad85db9fa0,delf,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_b42dce3f93d031c7a11d4cad85db9fa0,delf,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_b42dce3f93d031c7a11d4cad85db9fa0,delf,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_3761a3f5f7cb3ff4369b89821312e55a,delf,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_3761a3f5f7cb3ff4369b89821312e55a,delf,United States,2014,-96.797,US,USA,96.16.7.80,32.7767,0
Redmond,VirusShare_3761a3f5f7cb3ff4369b89821312e55a,delf,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_3761a3f5f7cb3ff4369b89821312e55a,delf,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b8c5be57a475b63c5a1fd5f845c73562,delf,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b8c5be57a475b63c5a1fd5f845c73562,delf,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_b8c5be57a475b63c5a1fd5f845c73562,delf,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_b8c5be57a475b63c5a1fd5f845c73562,delf,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_ba54c0f4458f53869171219bb9c69930,delf,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_ba54c0f4458f53869171219bb9c69930,delf,United States,2014,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_ba54c0f4458f53869171219bb9c69930,delf,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_ba54c0f4458f53869171219bb9c69930,delf,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b8429164b742d6639d951e5d2d822020,delf,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b8429164b742d6639d951e5d2d822020,delf,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Ashburn,VirusShare_b8429164b742d6639d951e5d2d822020,delf,United States,2017,-77.4874,US,USA,184.26.93.48,39.0438,0
Mountain View,VirusShare_b8429164b742d6639d951e5d2d822020,delf,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_ba51cebaf3e0f5f35f682c3f3baf5ec0,delf,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_ba51cebaf3e0f5f35f682c3f3baf5ec0,delf,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_ba51cebaf3e0f5f35f682c3f3baf5ec0,delf,United States,2014,-96.797,US,USA,23.218.156.26,32.7767,0
Mountain View,VirusShare_ba51cebaf3e0f5f35f682c3f3baf5ec0,delf,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b8129cc1da87584c2dcfaa5ce14640b4,delf,United States,2013,-122.139,US,USA,65.55.158.118,47.6475,0
Atlanta,VirusShare_b8129cc1da87584c2dcfaa5ce14640b4,delf,United States,2013,-84.388,US,USA,23.72.137.59,33.749,0
Redmond,VirusShare_b8129cc1da87584c2dcfaa5ce14640b4,delf,United States,2013,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b8129cc1da87584c2dcfaa5ce14640b4,delf,United States,2013,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_3038531478c111fe4a50ff2ee2be84d5,delf,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_3038531478c111fe4a50ff2ee2be84d5,delf,United States,2014,-96.797,US,USA,96.17.177.24,32.7767,0
Redmond,VirusShare_3038531478c111fe4a50ff2ee2be84d5,delf,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_3038531478c111fe4a50ff2ee2be84d5,delf,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b801b9fbed94831e960ce17f175858c0,delf,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b801b9fbed94831e960ce17f175858c0,delf,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b801b9fbed94831e960ce17f175858c0,delf,United States,2014,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_b801b9fbed94831e960ce17f175858c0,delf,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b8b465aa2c05a587854000e1f17a9998,delf,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_b8b465aa2c05a587854000e1f17a9998,delf,United States,2014,-96.797,US,USA,96.16.7.80,32.7767,0
Redmond,VirusShare_b8b465aa2c05a587854000e1f17a9998,delf,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b8b465aa2c05a587854000e1f17a9998,delf,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b871e5ff60994307895be29a98820bd0,delf,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_b871e5ff60994307895be29a98820bd0,delf,United States,2014,-96.797,US,USA,96.16.7.80,32.7767,0
Redmond,VirusShare_b871e5ff60994307895be29a98820bd0,delf,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b871e5ff60994307895be29a98820bd0,delf,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bab0fdc3a5f42ef579e6b75cc6a9688b,delf,United States,2016,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_bab0fdc3a5f42ef579e6b75cc6a9688b,delf,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_bab0fdc3a5f42ef579e6b75cc6a9688b,delf,United States,2016,-96.797,US,USA,23.67.252.18,32.7767,0
Mountain View,VirusShare_bab0fdc3a5f42ef579e6b75cc6a9688b,delf,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_7614d29d8f887e5e4a6e69ba614cbfe1,delf,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
