city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_c62d898c7e52a8fb047839e073670bb9,downloadadmin,United States,2016,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_c62d898c7e52a8fb047839e073670bb9,downloadadmin,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_c62d898c7e52a8fb047839e073670bb9,downloadadmin,United States,2016,-96.797,US,USA,23.218.156.26,32.7767,0
Mountain View,VirusShare_c62d898c7e52a8fb047839e073670bb9,downloadadmin,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b480caa6062d976309a8d2d5e7e730ef,downloadadmin,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_b480caa6062d976309a8d2d5e7e730ef,downloadadmin,United States,2015,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_b480caa6062d976309a8d2d5e7e730ef,downloadadmin,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b480caa6062d976309a8d2d5e7e730ef,downloadadmin,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_e8be7160339c5b74c0dd4cc1f3aeb6da,downloadadmin,United States,2016,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_e8be7160339c5b74c0dd4cc1f3aeb6da,downloadadmin,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_e8be7160339c5b74c0dd4cc1f3aeb6da,downloadadmin,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Ashburn,VirusShare_e8be7160339c5b74c0dd4cc1f3aeb6da,downloadadmin,United States,2016,-77.4874,US,USA,184.26.93.58,39.0438,0
Redmond,VirusShare_bd7dcfcfd476b66ae10b50667c08849a,downloadadmin,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_bd7dcfcfd476b66ae10b50667c08849a,downloadadmin,United States,2017,-96.797,US,USA,96.16.7.83,32.7767,0
Mountain View,VirusShare_bd7dcfcfd476b66ae10b50667c08849a,downloadadmin,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b0e94b50183423385765153dc7f0c6e0,downloadadmin,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b0e94b50183423385765153dc7f0c6e0,downloadadmin,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_b0e94b50183423385765153dc7f0c6e0,downloadadmin,United States,2015,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_b0e94b50183423385765153dc7f0c6e0,downloadadmin,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_bd7f3bc66e869d6a02a6739bc36c1440,downloadadmin,United States,2015,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_bd7f3bc66e869d6a02a6739bc36c1440,downloadadmin,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_bd7f3bc66e869d6a02a6739bc36c1440,downloadadmin,United States,2015,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_bd7f3bc66e869d6a02a6739bc36c1440,downloadadmin,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_5e5459968967953416e1f70cd0f3eae9,downloadadmin,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_5e5459968967953416e1f70cd0f3eae9,downloadadmin,United States,2015,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_5e5459968967953416e1f70cd0f3eae9,downloadadmin,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_5e5459968967953416e1f70cd0f3eae9,downloadadmin,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_ba1df76f3cc6c3e182e907058b60d6f0,downloadadmin,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_ba1df76f3cc6c3e182e907058b60d6f0,downloadadmin,United States,2015,-96.797,US,USA,96.16.7.83,32.7767,0
Redmond,VirusShare_ba1df76f3cc6c3e182e907058b60d6f0,downloadadmin,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_ba1df76f3cc6c3e182e907058b60d6f0,downloadadmin,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_75281cf9775bcb197335033b52f68890,downloadadmin,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_75281cf9775bcb197335033b52f68890,downloadadmin,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_75281cf9775bcb197335033b52f68890,downloadadmin,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_74495d64be96883b8a8bed702dd15620,downloadadmin,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_74495d64be96883b8a8bed702dd15620,downloadadmin,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_74495d64be96883b8a8bed702dd15620,downloadadmin,United States,2015,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_74495d64be96883b8a8bed702dd15620,downloadadmin,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_d13c6d878ba2d85079d6155aaf4d90ee,downloadadmin,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_d13c6d878ba2d85079d6155aaf4d90ee,downloadadmin,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_d13c6d878ba2d85079d6155aaf4d90ee,downloadadmin,United States,2017,-96.797,US,USA,23.218.156.26,32.7767,0
Mountain View,VirusShare_d13c6d878ba2d85079d6155aaf4d90ee,downloadadmin,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_86a88f8715a4173838fabd2ba26f08ca,downloadadmin,United States,2016,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_86a88f8715a4173838fabd2ba26f08ca,downloadadmin,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_86a88f8715a4173838fabd2ba26f08ca,downloadadmin,United States,2016,-96.797,US,USA,23.218.156.26,32.7767,0
Mountain View,VirusShare_86a88f8715a4173838fabd2ba26f08ca,downloadadmin,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b6c3d9280bbb990928e95ef55d9598e0,downloadadmin,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_b6c3d9280bbb990928e95ef55d9598e0,downloadadmin,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_b6c3d9280bbb990928e95ef55d9598e0,downloadadmin,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b6c3d9280bbb990928e95ef55d9598e0,downloadadmin,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_bd7863208f9e17463c26101c68549658,downloadadmin,United States,2015,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_bd7863208f9e17463c26101c68549658,downloadadmin,United States,2015,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_bd7863208f9e17463c26101c68549658,downloadadmin,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bd7863208f9e17463c26101c68549658,downloadadmin,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Atlanta,VirusShare_c9aee81c9f6e8fbc933c3db88080e347,downloadadmin,United States,2015,-84.388,US,USA,23.72.137.59,33.749,0
Redmond,VirusShare_c9aee81c9f6e8fbc933c3db88080e347,downloadadmin,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_c9aee81c9f6e8fbc933c3db88080e347,downloadadmin,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_afe7ed98ca269aa647cb89f6d72fd399,downloadadmin,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_afe7ed98ca269aa647cb89f6d72fd399,downloadadmin,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_afe7ed98ca269aa647cb89f6d72fd399,downloadadmin,United States,2017,-96.797,US,USA,23.218.156.26,32.7767,0
Mountain View,VirusShare_afe7ed98ca269aa647cb89f6d72fd399,downloadadmin,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_5c03ca9330381d3d98b640964bf3f647,downloadadmin,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Chicago,VirusShare_5c03ca9330381d3d98b640964bf3f647,downloadadmin,United States,2017,-87.6298,US,USA,23.212.53.214,41.8781,0
Mountain View,VirusShare_5c03ca9330381d3d98b640964bf3f647,downloadadmin,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_7a89896cb5f34c8ec613e51839b2f7c0,downloadadmin,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_7a89896cb5f34c8ec613e51839b2f7c0,downloadadmin,United States,2015,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_7a89896cb5f34c8ec613e51839b2f7c0,downloadadmin,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_7a89896cb5f34c8ec613e51839b2f7c0,downloadadmin,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
