city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_b0f67f693367ee3942015cfd1eaaa01a,expiro,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_b0f67f693367ee3942015cfd1eaaa01a,expiro,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_b0f67f693367ee3942015cfd1eaaa01a,expiro,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b0f67f693367ee3942015cfd1eaaa01a,expiro,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_baa346efa80160b664cfa60c63ed0440,expiro,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_baa346efa80160b664cfa60c63ed0440,expiro,United States,2015,-77.0369,US,USA,23.2.17.169,38.9072,0
Redmond,VirusShare_baa346efa80160b664cfa60c63ed0440,expiro,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_baa346efa80160b664cfa60c63ed0440,expiro,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_7720d21109cf4e04dc60b5bd5bec2830,expiro,United States,2016,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_7720d21109cf4e04dc60b5bd5bec2830,expiro,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_7720d21109cf4e04dc60b5bd5bec2830,expiro,United States,2016,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_7720d21109cf4e04dc60b5bd5bec2830,expiro,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Mountain View,VirusShare_b1d6845832308a0d07efcc41e0b84ac0,expiro,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Mountain View,VirusShare_cc26c5683509c7988b8e9d9d9322411c,expiro,United States,2013,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_74b1b08e7438112b1cf9e7ae40ce6730,expiro,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_74b1b08e7438112b1cf9e7ae40ce6730,expiro,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_74b1b08e7438112b1cf9e7ae40ce6730,expiro,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_74b1b08e7438112b1cf9e7ae40ce6730,expiro,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_e36402967a3d5a90fa8b868f12c37773,expiro,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Ashburn,VirusShare_e36402967a3d5a90fa8b868f12c37773,expiro,United States,2014,-77.4874,US,USA,184.26.93.81,39.0438,0
Mountain View,VirusShare_e36402967a3d5a90fa8b868f12c37773,expiro,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b864984d3bf9f1ca15e7d664a908e240,expiro,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b864984d3bf9f1ca15e7d664a908e240,expiro,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b864984d3bf9f1ca15e7d664a908e240,expiro,United States,2014,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_b864984d3bf9f1ca15e7d664a908e240,expiro,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_e10cf1ded5ee680ad91d9243eb3d9503,expiro,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_e10cf1ded5ee680ad91d9243eb3d9503,expiro,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_e10cf1ded5ee680ad91d9243eb3d9503,expiro,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_e10cf1ded5ee680ad91d9243eb3d9503,expiro,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b86309c2e216dd7f2cb6a594695b5530,expiro,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_b86309c2e216dd7f2cb6a594695b5530,expiro,United States,2014,-96.797,US,USA,96.16.7.83,32.7767,0
Mountain View,VirusShare_b86309c2e216dd7f2cb6a594695b5530,expiro,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_dae5918d1431e77e85ef7b1c04570740,expiro,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_dae5918d1431e77e85ef7b1c04570740,expiro,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_ba3cbfaf970a1d79575f16cc1ea4cfdc,expiro,United States,2013,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_ba3cbfaf970a1d79575f16cc1ea4cfdc,expiro,United States,2013,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_ba3cbfaf970a1d79575f16cc1ea4cfdc,expiro,United States,2013,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_ba3cbfaf970a1d79575f16cc1ea4cfdc,expiro,United States,2013,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_be140761d9fcc71b4bbefa5bfb56a630,expiro,United States,2015,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_be140761d9fcc71b4bbefa5bfb56a630,expiro,United States,2015,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_be140761d9fcc71b4bbefa5bfb56a630,expiro,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_be140761d9fcc71b4bbefa5bfb56a630,expiro,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_baa1e33c982c5746512b34f7322e7d80,expiro,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_baa1e33c982c5746512b34f7322e7d80,expiro,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_baa1e33c982c5746512b34f7322e7d80,expiro,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_baa1e33c982c5746512b34f7322e7d80,expiro,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_e0ad775d12b4488b3d6768f9c98c9f10,expiro,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_e0ad775d12b4488b3d6768f9c98c9f10,expiro,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
