city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_137c237fa226bbf7f9ade9b656e3b109,fakejquery,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_137c237fa226bbf7f9ade9b656e3b109,fakejquery,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_137c237fa226bbf7f9ade9b656e3b109,fakejquery,United States,2017,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_137c237fa226bbf7f9ade9b656e3b109,fakejquery,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_8a6f127e27aac3a8ff8fcef6d723809e,fakejquery,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
New York,VirusShare_8a6f127e27aac3a8ff8fcef6d723809e,fakejquery,United States,2017,-74.0059,US,USA,13.107.21.200,40.7128,0
Washington,VirusShare_8a6f127e27aac3a8ff8fcef6d723809e,fakejquery,United States,2017,-77.0369,US,USA,23.2.17.169,38.9072,0
Redmond,VirusShare_8a6f127e27aac3a8ff8fcef6d723809e,fakejquery,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_8a6f127e27aac3a8ff8fcef6d723809e,fakejquery,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_e09fb6a634738aa7271eb9711eaf28cf,fakejquery,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_e09fb6a634738aa7271eb9711eaf28cf,fakejquery,United States,2017,-77.0369,US,USA,23.2.17.246,38.9072,0
New York,VirusShare_e09fb6a634738aa7271eb9711eaf28cf,fakejquery,United States,2017,-74.0059,US,USA,13.107.21.200,40.7128,0
Redmond,VirusShare_e09fb6a634738aa7271eb9711eaf28cf,fakejquery,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_e09fb6a634738aa7271eb9711eaf28cf,fakejquery,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_003fd06dadc57862641f1137811f8ebc,fakejquery,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Mountain View,VirusShare_003fd06dadc57862641f1137811f8ebc,fakejquery,United States,2017,-122.0839,US,USA,216.58.194.106,37.3861,0
