city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_bbccfa413ef37ae37303a089ca1736a0,fareit,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_bbccfa413ef37ae37303a089ca1736a0,fareit,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Redmond,VirusShare_bbccfa413ef37ae37303a089ca1736a0,fareit,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bbccfa413ef37ae37303a089ca1736a0,fareit,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_ba9ee9f030cb2835d4d7013068416ad0,fareit,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_ba9ee9f030cb2835d4d7013068416ad0,fareit,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_ba9ee9f030cb2835d4d7013068416ad0,fareit,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_ba9ee9f030cb2835d4d7013068416ad0,fareit,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b18874c3baf983cd7edb279500799990,fareit,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b18874c3baf983cd7edb279500799990,fareit,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b18874c3baf983cd7edb279500799990,fareit,United States,2014,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_b18874c3baf983cd7edb279500799990,fareit,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b81d8e0223d77584dc99648c33b18aa0,fareit,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b81d8e0223d77584dc99648c33b18aa0,fareit,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b81d8e0223d77584dc99648c33b18aa0,fareit,United States,2014,-96.797,US,USA,23.67.252.11,32.7767,0
