city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_bacf71c9f72b519d9f3e747c28706a70,fearso,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_bacf71c9f72b519d9f3e747c28706a70,fearso,United States,2014,-96.797,US,USA,96.16.7.80,32.7767,0
Redmond,VirusShare_bacf71c9f72b519d9f3e747c28706a70,fearso,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bacf71c9f72b519d9f3e747c28706a70,fearso,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b1b7565d173594035e53e05e2511a680,fearso,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b1b7565d173594035e53e05e2511a680,fearso,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b1b7565d173594035e53e05e2511a680,fearso,United States,2014,-96.797,US,USA,23.218.156.26,32.7767,0
Mountain View,VirusShare_b1b7565d173594035e53e05e2511a680,fearso,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bbcbc3349356ece9ba73bdfd41ab0410,fearso,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Atlanta,VirusShare_bbcbc3349356ece9ba73bdfd41ab0410,fearso,United States,2014,-84.388,US,USA,184.51.150.8,33.749,0
Redmond,VirusShare_bbcbc3349356ece9ba73bdfd41ab0410,fearso,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bbcbc3349356ece9ba73bdfd41ab0410,fearso,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bed5ff8d4d2a75ede2d8f4db5179f7b0,fearso,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Ashburn,VirusShare_bed5ff8d4d2a75ede2d8f4db5179f7b0,fearso,United States,2014,-77.4874,US,USA,184.26.93.81,39.0438,0
Mountain View,VirusShare_bed5ff8d4d2a75ede2d8f4db5179f7b0,fearso,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b86f89e5f6470c68b462687905854f80,fearso,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_b86f89e5f6470c68b462687905854f80,fearso,United States,2014,-96.797,US,USA,96.16.7.83,32.7767,0
Redmond,VirusShare_b86f89e5f6470c68b462687905854f80,fearso,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b86f89e5f6470c68b462687905854f80,fearso,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
