city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_75d74a66cadef46c41a2b1afea9ca848,firseria,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_75d74a66cadef46c41a2b1afea9ca848,firseria,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_75d74a66cadef46c41a2b1afea9ca848,firseria,United States,2017,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_75d74a66cadef46c41a2b1afea9ca848,firseria,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Mountain View,VirusShare_dc50c8ef10872950828f23537a27cf20,firseria,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_ba895869566a3946e5df0bd9cc96abf0,firseria,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_ba895869566a3946e5df0bd9cc96abf0,firseria,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_ba895869566a3946e5df0bd9cc96abf0,firseria,United States,2015,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_ba895869566a3946e5df0bd9cc96abf0,firseria,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_38d13aa7dfb39910eac712ede17334e0,firseria,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_38d13aa7dfb39910eac712ede17334e0,firseria,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_38d13aa7dfb39910eac712ede17334e0,firseria,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_38d13aa7dfb39910eac712ede17334e0,firseria,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_cb142ee4f362315c0b3ba277e6c1d8b0,firseria,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_cb142ee4f362315c0b3ba277e6c1d8b0,firseria,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_a74b41bfc033a9ef5034d4be1864cf97,firseria,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_a74b41bfc033a9ef5034d4be1864cf97,firseria,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_a74b41bfc033a9ef5034d4be1864cf97,firseria,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Dallas,VirusShare_e3e48d1dbfd1a1efda193e267f94e930,firseria,United States,2014,-96.797,US,USA,96.16.7.83,32.7767,0
Mountain View,VirusShare_e3e48d1dbfd1a1efda193e267f94e930,firseria,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_e05a6fc9806a1d89f19d6bfc090bb5f0,firseria,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Atlanta,VirusShare_e05a6fc9806a1d89f19d6bfc090bb5f0,firseria,United States,2014,-84.388,US,USA,23.72.137.59,33.749,0
Redmond,VirusShare_e05a6fc9806a1d89f19d6bfc090bb5f0,firseria,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_e05a6fc9806a1d89f19d6bfc090bb5f0,firseria,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Mountain View,VirusShare_b1a81b57857411949874e7f518ed9650,firseria,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
