city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_4e6d85b390cc46c5739dbd81e469e8fa,flystudio,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_4e6d85b390cc46c5739dbd81e469e8fa,flystudio,United States,2017,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_4e6d85b390cc46c5739dbd81e469e8fa,flystudio,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_4e6d85b390cc46c5739dbd81e469e8fa,flystudio,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_f112ac5bcd89e04960e7e3fc8882146e,flystudio,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_f112ac5bcd89e04960e7e3fc8882146e,flystudio,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_f112ac5bcd89e04960e7e3fc8882146e,flystudio,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Ashburn,VirusShare_f112ac5bcd89e04960e7e3fc8882146e,flystudio,United States,2017,-77.4874,US,USA,184.26.93.58,39.0438,0
Redmond,VirusShare_e23840085eb1b88651d9b7e26ea30b26,flystudio,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_e23840085eb1b88651d9b7e26ea30b26,flystudio,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Ashburn,VirusShare_e23840085eb1b88651d9b7e26ea30b26,flystudio,United States,2016,-77.4874,US,USA,184.26.93.58,39.0438,0
Redmond,VirusShare_b256fdeb50b819ef47d8af87d65638c0,flystudio,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b256fdeb50b819ef47d8af87d65638c0,flystudio,United States,2015,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_b256fdeb50b819ef47d8af87d65638c0,flystudio,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b6a034980dca69bb9a3c5025d0b0dbc0,flystudio,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_b6a034980dca69bb9a3c5025d0b0dbc0,flystudio,United States,2015,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_b6a034980dca69bb9a3c5025d0b0dbc0,flystudio,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b6a034980dca69bb9a3c5025d0b0dbc0,flystudio,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b463e286265e03928404d4430f96beab,flystudio,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b463e286265e03928404d4430f96beab,flystudio,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Ashburn,VirusShare_b463e286265e03928404d4430f96beab,flystudio,United States,2014,-77.4874,US,USA,184.26.93.48,39.0438,0
Mountain View,VirusShare_b463e286265e03928404d4430f96beab,flystudio,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b84bb1ec5102fc959b09d7473d61b4b0,flystudio,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_b84bb1ec5102fc959b09d7473d61b4b0,flystudio,United States,2014,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_b84bb1ec5102fc959b09d7473d61b4b0,flystudio,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_30e710a88edf077c0a81781169ca0d70,flystudio,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_30e710a88edf077c0a81781169ca0d70,flystudio,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Mountain View,VirusShare_30e710a88edf077c0a81781169ca0d70,flystudio,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b883582aff3aff77c61df9691b51f0ed,flystudio,United States,2016,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b883582aff3aff77c61df9691b51f0ed,flystudio,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b883582aff3aff77c61df9691b51f0ed,flystudio,United States,2016,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_b883582aff3aff77c61df9691b51f0ed,flystudio,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b8c54ffddb2bce0311fd44cace792de7,flystudio,United States,2016,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b8c54ffddb2bce0311fd44cace792de7,flystudio,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b8c54ffddb2bce0311fd44cace792de7,flystudio,United States,2016,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_b8c54ffddb2bce0311fd44cace792de7,flystudio,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b8df4cf22ef37cb67381e0faa8e11804,flystudio,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_b8df4cf22ef37cb67381e0faa8e11804,flystudio,United States,2017,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_b8df4cf22ef37cb67381e0faa8e11804,flystudio,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b8df4cf22ef37cb67381e0faa8e11804,flystudio,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b8963dc206bb17a6fb971a3a1922a470,flystudio,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
