city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_b8bf182f4d992d53163c45f11ddd41d0,gamarue,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b8bf182f4d992d53163c45f11ddd41d0,gamarue,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_b8bf182f4d992d53163c45f11ddd41d0,gamarue,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_b8bf182f4d992d53163c45f11ddd41d0,gamarue,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_e17f0cd084e0f848662b5e3746ee7fd0,gamarue,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_e17f0cd084e0f848662b5e3746ee7fd0,gamarue,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_e17f0cd084e0f848662b5e3746ee7fd0,gamarue,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_e17f0cd084e0f848662b5e3746ee7fd0,gamarue,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Mountain View,VirusShare_b2320561c5391c2e464405d27d7783a2,gamarue,United States,2013,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b18a6a23ba85f470e504ff09c1f39188,gamarue,United States,2013,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_b18a6a23ba85f470e504ff09c1f39188,gamarue,United States,2013,-77.0369,US,USA,23.2.17.169,38.9072,0
Redmond,VirusShare_b18a6a23ba85f470e504ff09c1f39188,gamarue,United States,2013,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b18a6a23ba85f470e504ff09c1f39188,gamarue,United States,2013,-122.085,US,USA,8.8.8.8,37.4229,0
Dallas,VirusShare_34e4b4c4df17f18a0d08d6881f6a5920,gamarue,United States,2016,-96.797,US,USA,23.67.253.171,32.7767,0
