city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_56ef85f90061f74a1c7982eefbedc763,gamevance,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_56ef85f90061f74a1c7982eefbedc763,gamevance,United States,2015,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_56ef85f90061f74a1c7982eefbedc763,gamevance,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_56ef85f90061f74a1c7982eefbedc763,gamevance,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Ashburn,VirusShare_712b79f8f829c8d5e54d2330bc7e04be,gamevance,United States,2014,-77.4874,US,USA,184.26.93.81,39.0438,0
Mountain View,VirusShare_712b79f8f829c8d5e54d2330bc7e04be,gamevance,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Dallas,VirusShare_f1af0fb9394ad7a4203fcc2ee9f91a80,gamevance,United States,2014,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_f1af0fb9394ad7a4203fcc2ee9f91a80,gamevance,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_f1f36b157faff1e8aaa530888218e0a3,gamevance,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_f1f36b157faff1e8aaa530888218e0a3,gamevance,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_7bbc406059ab56be4b33102ae4a221dd,gamevance,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_7bbc406059ab56be4b33102ae4a221dd,gamevance,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_cb7dca71d61401082ff8d85c2b14dc71,gamevance,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_cb7dca71d61401082ff8d85c2b14dc71,gamevance,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bb20e4bef1af2640e68092ddec35a150,gamevance,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_bb20e4bef1af2640e68092ddec35a150,gamevance,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_bb20e4bef1af2640e68092ddec35a150,gamevance,United States,2014,-96.797,US,USA,23.218.156.26,32.7767,0
Mountain View,VirusShare_bb20e4bef1af2640e68092ddec35a150,gamevance,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_f0fc593428127b6da7b880490387a2f2,gamevance,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Chicago,VirusShare_f0fc593428127b6da7b880490387a2f2,gamevance,United States,2014,-87.6298,US,USA,23.212.53.221,41.8781,0
Redmond,VirusShare_f0fc593428127b6da7b880490387a2f2,gamevance,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_f0fc593428127b6da7b880490387a2f2,gamevance,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_be32502e84f483b0a17cc5fb8a898752,gamevance,United States,2016,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_be32502e84f483b0a17cc5fb8a898752,gamevance,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_be32502e84f483b0a17cc5fb8a898752,gamevance,United States,2016,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_be32502e84f483b0a17cc5fb8a898752,gamevance,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_cb30209b6a0dcbd8b93f294ee8438747,gamevance,United States,2013,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_cb30209b6a0dcbd8b93f294ee8438747,gamevance,United States,2013,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_72c84283d780652069779512c7b5f300,gamevance,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_72c84283d780652069779512c7b5f300,gamevance,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
