city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_b1cdebb77c0663f2ada54e1afa92d557,gepys,United States,2013,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_b1cdebb77c0663f2ada54e1afa92d557,gepys,United States,2013,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_b1cdebb77c0663f2ada54e1afa92d557,gepys,United States,2013,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b1cdebb77c0663f2ada54e1afa92d557,gepys,United States,2013,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_374cb0d6f138042606f8ed60448bf1d0,gepys,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_374cb0d6f138042606f8ed60448bf1d0,gepys,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_374cb0d6f138042606f8ed60448bf1d0,gepys,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_374cb0d6f138042606f8ed60448bf1d0,gepys,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_3323a2a0649a50db958339803691bdf0,gepys,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_3323a2a0649a50db958339803691bdf0,gepys,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Redmond,VirusShare_3323a2a0649a50db958339803691bdf0,gepys,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_3323a2a0649a50db958339803691bdf0,gepys,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_79727e870805b9c3d934484d904b3860,gepys,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_79727e870805b9c3d934484d904b3860,gepys,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_79727e870805b9c3d934484d904b3860,gepys,United States,2014,-96.797,US,USA,23.218.156.26,32.7767,0
Mountain View,VirusShare_79727e870805b9c3d934484d904b3860,gepys,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bb5abe199c663d327656aa9aa7eb7b80,gepys,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_bb5abe199c663d327656aa9aa7eb7b80,gepys,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_bb5abe199c663d327656aa9aa7eb7b80,gepys,United States,2014,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_bb5abe199c663d327656aa9aa7eb7b80,gepys,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b46c93c35115331295608951bee99aa0,gepys,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_b46c93c35115331295608951bee99aa0,gepys,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_b46c93c35115331295608951bee99aa0,gepys,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b46c93c35115331295608951bee99aa0,gepys,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_7b201ab6d8fa63f9093a926e2b37c9e0,gepys,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_7b201ab6d8fa63f9093a926e2b37c9e0,gepys,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_7b201ab6d8fa63f9093a926e2b37c9e0,gepys,United States,2014,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_7b201ab6d8fa63f9093a926e2b37c9e0,gepys,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_3df53201c08a3b543fb981c5700b9fc0,gepys,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_3df53201c08a3b543fb981c5700b9fc0,gepys,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_3df53201c08a3b543fb981c5700b9fc0,gepys,United States,2014,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_3df53201c08a3b543fb981c5700b9fc0,gepys,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b8c7dab54b117983871503ff15bfea40,gepys,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b8c7dab54b117983871503ff15bfea40,gepys,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b8c7dab54b117983871503ff15bfea40,gepys,United States,2014,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_b8c7dab54b117983871503ff15bfea40,gepys,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_e03abf898bba80f39d84889f30b9d780,gepys,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_e03abf898bba80f39d84889f30b9d780,gepys,United States,2014,-96.797,US,USA,96.17.177.24,32.7767,0
Redmond,VirusShare_e03abf898bba80f39d84889f30b9d780,gepys,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_e03abf898bba80f39d84889f30b9d780,gepys,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_e1025488229c656aca8421df12c79350,gepys,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
