city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_8cec4d2ae18ad82809870e2e75fe4104,hlux,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_8cec4d2ae18ad82809870e2e75fe4104,hlux,United States,2015,-77.0369,US,USA,23.2.17.169,38.9072,0
Redmond,VirusShare_8cec4d2ae18ad82809870e2e75fe4104,hlux,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_8cec4d2ae18ad82809870e2e75fe4104,hlux,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_8d9dee3ea1844f1b45e94bb66c1b828d,hlux,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_8d9dee3ea1844f1b45e94bb66c1b828d,hlux,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_8d9dee3ea1844f1b45e94bb66c1b828d,hlux,United States,2015,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_8d9dee3ea1844f1b45e94bb66c1b828d,hlux,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_5e0fcfce6416f574757228356e90b47c,hlux,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_5e0fcfce6416f574757228356e90b47c,hlux,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Atlanta,VirusShare_5e0fcfce6416f574757228356e90b47c,hlux,United States,2015,-84.388,US,USA,23.72.137.81,33.749,0
Mountain View,VirusShare_5e0fcfce6416f574757228356e90b47c,hlux,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_dc8fa4a0991b52f8a954326f39df3ea2,hlux,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Atlanta,VirusShare_dc8fa4a0991b52f8a954326f39df3ea2,hlux,United States,2015,-84.388,US,USA,23.72.137.81,33.749,0
Mountain View,VirusShare_dc8fa4a0991b52f8a954326f39df3ea2,hlux,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Mountain View,VirusShare_b11ce74ee1652bb63f57422c53b85afb,hlux,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_2c38298d6a8cfb8ae2af6b58ae2dc418,hlux,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_2c38298d6a8cfb8ae2af6b58ae2dc418,hlux,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_2c38298d6a8cfb8ae2af6b58ae2dc418,hlux,United States,2015,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_2c38298d6a8cfb8ae2af6b58ae2dc418,hlux,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_f0ea54cd0b3cddfb9bfc60d6ce7bbc70,hlux,United States,2016,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_f0ea54cd0b3cddfb9bfc60d6ce7bbc70,hlux,United States,2016,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_f0ea54cd0b3cddfb9bfc60d6ce7bbc70,hlux,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_f0ea54cd0b3cddfb9bfc60d6ce7bbc70,hlux,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_f217009b834b8ce9c52175471d57a619,hlux,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_f217009b834b8ce9c52175471d57a619,hlux,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Ashburn,VirusShare_f217009b834b8ce9c52175471d57a619,hlux,United States,2015,-77.4874,US,USA,184.26.93.48,39.0438,0
Mountain View,VirusShare_f217009b834b8ce9c52175471d57a619,hlux,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_180360bf64ee89d4ed618e4e09621658,hlux,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_180360bf64ee89d4ed618e4e09621658,hlux,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_180360bf64ee89d4ed618e4e09621658,hlux,United States,2015,-96.797,US,USA,23.67.252.18,32.7767,0
Mountain View,VirusShare_180360bf64ee89d4ed618e4e09621658,hlux,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_70ac5d8fd1923b0f3b339d8536563e91,hlux,United States,2016,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_70ac5d8fd1923b0f3b339d8536563e91,hlux,United States,2016,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_70ac5d8fd1923b0f3b339d8536563e91,hlux,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_70ac5d8fd1923b0f3b339d8536563e91,hlux,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_7a56b1717dc7f6b1073c388034e62aee,hlux,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_7a56b1717dc7f6b1073c388034e62aee,hlux,United States,2015,-96.797,US,USA,96.16.7.80,32.7767,0
Redmond,VirusShare_7a56b1717dc7f6b1073c388034e62aee,hlux,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_7a56b1717dc7f6b1073c388034e62aee,hlux,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_e3376c034ebb0b735037332c1de33a43,hlux,United States,2013,-122.128,US,USA,131.107.255.255,47.6393,0
Ashburn,VirusShare_e3376c034ebb0b735037332c1de33a43,hlux,United States,2013,-77.4874,US,USA,184.26.93.81,39.0438,0
Mountain View,VirusShare_e3376c034ebb0b735037332c1de33a43,hlux,United States,2013,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_8ce5ffcdb014e28773ae6c6ea2919f2d,hlux,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_8ce5ffcdb014e28773ae6c6ea2919f2d,hlux,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_8ce5ffcdb014e28773ae6c6ea2919f2d,hlux,United States,2015,-96.797,US,USA,96.17.177.18,32.7767,0
Mountain View,VirusShare_8ce5ffcdb014e28773ae6c6ea2919f2d,hlux,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_308997bab3feea0fccf2c546b36d1e41,hlux,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_308997bab3feea0fccf2c546b36d1e41,hlux,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_308997bab3feea0fccf2c546b36d1e41,hlux,United States,2015,-96.797,US,USA,23.67.252.18,32.7767,0
Mountain View,VirusShare_308997bab3feea0fccf2c546b36d1e41,hlux,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b4f6ee53b3d6d0e6910c647ad844dd50,hlux,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_b4f6ee53b3d6d0e6910c647ad844dd50,hlux,United States,2014,-96.797,US,USA,96.16.7.83,32.7767,0
Redmond,VirusShare_b4f6ee53b3d6d0e6910c647ad844dd50,hlux,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b4f6ee53b3d6d0e6910c647ad844dd50,hlux,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_df1a5938baa9128f7823d69770e552b2,hlux,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_df1a5938baa9128f7823d69770e552b2,hlux,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_df1a5938baa9128f7823d69770e552b2,hlux,United States,2015,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_df1a5938baa9128f7823d69770e552b2,hlux,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_8c676f478b4afaeaff24b7165835d582,hlux,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_8c676f478b4afaeaff24b7165835d582,hlux,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_8c676f478b4afaeaff24b7165835d582,hlux,United States,2017,-96.797,US,USA,23.218.156.26,32.7767,0
Mountain View,VirusShare_8c676f478b4afaeaff24b7165835d582,hlux,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_c91233aa0e3255abf3502924e8336b48,hlux,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_c91233aa0e3255abf3502924e8336b48,hlux,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_c91233aa0e3255abf3502924e8336b48,hlux,United States,2015,-96.797,US,USA,23.218.156.26,32.7767,0
Mountain View,VirusShare_c91233aa0e3255abf3502924e8336b48,hlux,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bf07699e9a5ecc98666c04b9c99a54d1,hlux,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_bf07699e9a5ecc98666c04b9c99a54d1,hlux,United States,2015,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_bf07699e9a5ecc98666c04b9c99a54d1,hlux,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_bd8bea40c83da0739980facb73bb2277,hlux,United States,2015,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_bd8bea40c83da0739980facb73bb2277,hlux,United States,2015,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_bd8bea40c83da0739980facb73bb2277,hlux,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bd8bea40c83da0739980facb73bb2277,hlux,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_346bce7419b074ae162aba4ffc06f355,hlux,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_346bce7419b074ae162aba4ffc06f355,hlux,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_346bce7419b074ae162aba4ffc06f355,hlux,United States,2017,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_346bce7419b074ae162aba4ffc06f355,hlux,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bae9d6f3f614d9fbc0c4cf12dd1871e0,hlux,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_bae9d6f3f614d9fbc0c4cf12dd1871e0,hlux,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_bae9d6f3f614d9fbc0c4cf12dd1871e0,hlux,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_bae9d6f3f614d9fbc0c4cf12dd1871e0,hlux,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bbbe2122241a57303e6fa776110e3c0c,hlux,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_bbbe2122241a57303e6fa776110e3c0c,hlux,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_bbbe2122241a57303e6fa776110e3c0c,hlux,United States,2015,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_bbbe2122241a57303e6fa776110e3c0c,hlux,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b33b59423bb8dbe4816ba726cb80b400,hlux,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b33b59423bb8dbe4816ba726cb80b400,hlux,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_b33b59423bb8dbe4816ba726cb80b400,hlux,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_b33b59423bb8dbe4816ba726cb80b400,hlux,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bab302aa9abb1632cc1d139bdbe72828,hlux,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_bab302aa9abb1632cc1d139bdbe72828,hlux,United States,2015,-96.797,US,USA,96.16.7.80,32.7767,0
Redmond,VirusShare_bab302aa9abb1632cc1d139bdbe72828,hlux,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bab302aa9abb1632cc1d139bdbe72828,hlux,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b8c83b3a6d8d6a4355e16e2622ae5250,hlux,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b8c83b3a6d8d6a4355e16e2622ae5250,hlux,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b8c83b3a6d8d6a4355e16e2622ae5250,hlux,United States,2014,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_b8c83b3a6d8d6a4355e16e2622ae5250,hlux,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bb2e0c3bfa5bdb320f07fd1f3da04e60,hlux,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_bb2e0c3bfa5bdb320f07fd1f3da04e60,hlux,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_bb2e0c3bfa5bdb320f07fd1f3da04e60,hlux,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bb2e0c3bfa5bdb320f07fd1f3da04e60,hlux,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_3153c4d8151dc0e00e5e564f4819b4e0,hlux,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_3153c4d8151dc0e00e5e564f4819b4e0,hlux,United States,2015,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_3153c4d8151dc0e00e5e564f4819b4e0,hlux,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_3153c4d8151dc0e00e5e564f4819b4e0,hlux,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b6f166f04fb309c3c5a393e70dd543d0,hlux,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_b6f166f04fb309c3c5a393e70dd543d0,hlux,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Redmond,VirusShare_b6f166f04fb309c3c5a393e70dd543d0,hlux,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b6f166f04fb309c3c5a393e70dd543d0,hlux,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_03150b35f1c9844cdc044aa1d7853a8f,hlux,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_03150b35f1c9844cdc044aa1d7853a8f,hlux,United States,2017,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_03150b35f1c9844cdc044aa1d7853a8f,hlux,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_03150b35f1c9844cdc044aa1d7853a8f,hlux,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Chicago,VirusShare_dc84bc0656d2bc3595eefdfc6fb50ddd,hlux,United States,2017,-87.6298,US,USA,23.212.53.221,41.8781,0
Redmond,VirusShare_dc84bc0656d2bc3595eefdfc6fb50ddd,hlux,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_dc84bc0656d2bc3595eefdfc6fb50ddd,hlux,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Mountain View,VirusShare_713234522ad4fdbd5964c2cca9bd2740,hlux,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Ashburn,VirusShare_713234522ad4fdbd5964c2cca9bd2740,hlux,United States,2014,-77.4874,US,USA,184.26.93.58,39.0438,0
Redmond,VirusShare_bac5e709a3b94737f393d10bfcbc08f8,hlux,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Atlanta,VirusShare_bac5e709a3b94737f393d10bfcbc08f8,hlux,United States,2015,-84.388,US,USA,23.73.181.59,33.749,0
Redmond,VirusShare_bac5e709a3b94737f393d10bfcbc08f8,hlux,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bac5e709a3b94737f393d10bfcbc08f8,hlux,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b6a324bf64a6420021ca3fd026084cb0,hlux,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_b6a324bf64a6420021ca3fd026084cb0,hlux,United States,2014,-96.797,US,USA,96.16.7.83,32.7767,0
Redmond,VirusShare_b6a324bf64a6420021ca3fd026084cb0,hlux,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b6a324bf64a6420021ca3fd026084cb0,hlux,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_762804971521b2a9e0db2d414900daa0,hlux,United States,2015,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_762804971521b2a9e0db2d414900daa0,hlux,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Paris,VirusShare_762804971521b2a9e0db2d414900daa0,hlux,France,2015,2.35222,FR,FRA,23.219.160.65,48.8566,0
Mountain View,VirusShare_762804971521b2a9e0db2d414900daa0,hlux,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_34286cdcc0d5649f23c0b558b28dcacc,hlux,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_34286cdcc0d5649f23c0b558b28dcacc,hlux,United States,2015,-96.797,US,USA,96.16.7.83,32.7767,0
Redmond,VirusShare_34286cdcc0d5649f23c0b558b28dcacc,hlux,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_34286cdcc0d5649f23c0b558b28dcacc,hlux,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_384f6c8fc65d5f01eed323f8f6626cc0,hlux,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_384f6c8fc65d5f01eed323f8f6626cc0,hlux,United States,2015,-77.0369,US,USA,23.2.17.169,38.9072,0
Redmond,VirusShare_384f6c8fc65d5f01eed323f8f6626cc0,hlux,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_384f6c8fc65d5f01eed323f8f6626cc0,hlux,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bb527cfe780d1b1f306d2a572f203970,hlux,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_bb527cfe780d1b1f306d2a572f203970,hlux,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_bb527cfe780d1b1f306d2a572f203970,hlux,United States,2014,-96.797,US,USA,23.67.252.18,32.7767,0
Mountain View,VirusShare_bb527cfe780d1b1f306d2a572f203970,hlux,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b8cc9b34b217cc7bf5e70c2fb952c890,hlux,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b8cc9b34b217cc7bf5e70c2fb952c890,hlux,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b8cc9b34b217cc7bf5e70c2fb952c890,hlux,United States,2017,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_b8cc9b34b217cc7bf5e70c2fb952c890,hlux,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bb8c4e0fa652b8ed656edc1e1ca17dc0,hlux,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_bb8c4e0fa652b8ed656edc1e1ca17dc0,hlux,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_bb8c4e0fa652b8ed656edc1e1ca17dc0,hlux,United States,2014,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_bb8c4e0fa652b8ed656edc1e1ca17dc0,hlux,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b8ebf6a229bdb626ea3822f976691da5,hlux,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b8ebf6a229bdb626ea3822f976691da5,hlux,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b8ebf6a229bdb626ea3822f976691da5,hlux,United States,2015,-96.797,US,USA,96.17.177.18,32.7767,0
Mountain View,VirusShare_b8ebf6a229bdb626ea3822f976691da5,hlux,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_7ca79d0071bde13cdc1a5b6cc9d38ca6,hlux,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_7ca79d0071bde13cdc1a5b6cc9d38ca6,hlux,United States,2015,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_7ca79d0071bde13cdc1a5b6cc9d38ca6,hlux,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_7ca79d0071bde13cdc1a5b6cc9d38ca6,hlux,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b830a7132610e27eb2b5c460bdba04c0,hlux,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_b830a7132610e27eb2b5c460bdba04c0,hlux,United States,2015,-96.797,US,USA,96.16.7.83,32.7767,0
Redmond,VirusShare_b830a7132610e27eb2b5c460bdba04c0,hlux,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b830a7132610e27eb2b5c460bdba04c0,hlux,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_f02bd8f33023702a25dd915befa61fa0,hlux,United States,2017,-74.1724,US,USA,157.56.144.215,40.7357,0
Dallas,VirusShare_f02bd8f33023702a25dd915befa61fa0,hlux,United States,2017,-96.797,US,USA,96.16.7.83,32.7767,0
Redmond,VirusShare_f02bd8f33023702a25dd915befa61fa0,hlux,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_f02bd8f33023702a25dd915befa61fa0,hlux,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_45cd13d6e68261f8dd70a3c27a12feff,hlux,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_45cd13d6e68261f8dd70a3c27a12feff,hlux,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_45cd13d6e68261f8dd70a3c27a12feff,hlux,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_8fa428fb5eff0840cc53e9fc438b91cc,hlux,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_8fa428fb5eff0840cc53e9fc438b91cc,hlux,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_8fa428fb5eff0840cc53e9fc438b91cc,hlux,United States,2014,-77.0369,US,USA,184.25.63.41,38.9072,0
Mountain View,VirusShare_8fa428fb5eff0840cc53e9fc438b91cc,hlux,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_3303dd34153094cbebadaec2904ffac6,hlux,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_3303dd34153094cbebadaec2904ffac6,hlux,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_3303dd34153094cbebadaec2904ffac6,hlux,United States,2015,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_3303dd34153094cbebadaec2904ffac6,hlux,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_3cbda4a42eab90ea4a8c0c239ee3bd4a,hlux,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_3cbda4a42eab90ea4a8c0c239ee3bd4a,hlux,United States,2015,-96.797,US,USA,96.16.7.80,32.7767,0
Redmond,VirusShare_3cbda4a42eab90ea4a8c0c239ee3bd4a,hlux,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_3cbda4a42eab90ea4a8c0c239ee3bd4a,hlux,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b401e5f305bc7f8bc687bef0e31a4400,hlux,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b401e5f305bc7f8bc687bef0e31a4400,hlux,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Ashburn,VirusShare_b401e5f305bc7f8bc687bef0e31a4400,hlux,United States,2014,-77.4874,US,USA,184.26.93.48,39.0438,0
Mountain View,VirusShare_b401e5f305bc7f8bc687bef0e31a4400,hlux,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bfbeb3cc742d1b4134ce6bbb48901fa0,hlux,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
