city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_b1c78fcb95097454a5c9cbc2900ba1c0,ibryte,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Chicago,VirusShare_b1c78fcb95097454a5c9cbc2900ba1c0,ibryte,United States,2014,-87.6298,US,USA,45.33.9.234,41.8781,0
Washington,VirusShare_b1c78fcb95097454a5c9cbc2900ba1c0,ibryte,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_b1c78fcb95097454a5c9cbc2900ba1c0,ibryte,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b1c78fcb95097454a5c9cbc2900ba1c0,ibryte,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b23e6e1f82a7df29e7d87076675d0d90,ibryte,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b23e6e1f82a7df29e7d87076675d0d90,ibryte,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Ashburn,VirusShare_b23e6e1f82a7df29e7d87076675d0d90,ibryte,United States,2014,-77.4874,US,USA,184.26.93.58,39.0438,0
Redmond,VirusShare_cb9b0f88387bacbc354d0fb24e2d84d0,ibryte,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Ashburn,VirusShare_cb9b0f88387bacbc354d0fb24e2d84d0,ibryte,United States,2014,-77.4874,US,USA,184.26.93.81,39.0438,0
Mountain View,VirusShare_cb9b0f88387bacbc354d0fb24e2d84d0,ibryte,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Chicago,VirusShare_be8e5643d2633e65687a017679a632a0,ibryte,United States,2016,-87.6298,US,USA,45.33.9.234,41.8781,0
New York,VirusShare_be8e5643d2633e65687a017679a632a0,ibryte,United States,2016,-74.0059,US,USA,13.107.21.200,40.7128,0
Redmond,VirusShare_be8e5643d2633e65687a017679a632a0,ibryte,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Road Town,VirusShare_be8e5643d2633e65687a017679a632a0,ibryte,British Virgin Islands,2016,-64.6131,VG,VGB,204.11.56.48,18.4285,0
Mountain View,VirusShare_be8e5643d2633e65687a017679a632a0,ibryte,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Ashburn,VirusShare_be8e5643d2633e65687a017679a632a0,ibryte,United States,2016,-77.4874,US,USA,184.26.93.58,39.0438,0
Redmond,VirusShare_a2b14274d6e09cbd0dc531eaf2882e18,ibryte,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_a2b14274d6e09cbd0dc531eaf2882e18,ibryte,United States,2015,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_a2b14274d6e09cbd0dc531eaf2882e18,ibryte,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_a2b14274d6e09cbd0dc531eaf2882e18,ibryte,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_e0c2525a1177caadf71acab6b93d7ee0,ibryte,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_e0c2525a1177caadf71acab6b93d7ee0,ibryte,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_e0c2525a1177caadf71acab6b93d7ee0,ibryte,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_e0c2525a1177caadf71acab6b93d7ee0,ibryte,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
