city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_ad6c8314d13a104ff3cab46e8933a3ce,imali,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_ad6c8314d13a104ff3cab46e8933a3ce,imali,United States,2015,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_ad6c8314d13a104ff3cab46e8933a3ce,imali,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Road Town,VirusShare_ad6c8314d13a104ff3cab46e8933a3ce,imali,British Virgin Islands,2015,-64.6131,VG,VGB,204.11.56.48,18.4285,0
Mountain View,VirusShare_ad6c8314d13a104ff3cab46e8933a3ce,imali,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_954e0f5d1eaf0cab8acbd1e0643c1bfe,imali,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_954e0f5d1eaf0cab8acbd1e0643c1bfe,imali,United States,2017,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_954e0f5d1eaf0cab8acbd1e0643c1bfe,imali,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Road Town,VirusShare_954e0f5d1eaf0cab8acbd1e0643c1bfe,imali,British Virgin Islands,2017,-64.6131,VG,VGB,204.11.56.48,18.4285,0
Mountain View,VirusShare_954e0f5d1eaf0cab8acbd1e0643c1bfe,imali,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_c462ebdddadf2a872c8138462d82e922,imali,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_c462ebdddadf2a872c8138462d82e922,imali,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_c462ebdddadf2a872c8138462d82e922,imali,United States,2015,-96.797,US,USA,23.67.252.11,32.7767,0
Road Town,VirusShare_c462ebdddadf2a872c8138462d82e922,imali,British Virgin Islands,2015,-64.6131,VG,VGB,204.11.56.48,18.4285,0
Mountain View,VirusShare_c462ebdddadf2a872c8138462d82e922,imali,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_6d2ac5c54200c8a842904a410782ca0f,imali,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_6d2ac5c54200c8a842904a410782ca0f,imali,United States,2015,-96.797,US,USA,96.16.7.80,32.7767,0
Redmond,VirusShare_6d2ac5c54200c8a842904a410782ca0f,imali,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Road Town,VirusShare_6d2ac5c54200c8a842904a410782ca0f,imali,British Virgin Islands,2015,-64.6131,VG,VGB,204.11.56.48,18.4285,0
Mountain View,VirusShare_6d2ac5c54200c8a842904a410782ca0f,imali,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_4727452100a17bf8a30edbd50f52df8d,imali,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Chicago,VirusShare_4727452100a17bf8a30edbd50f52df8d,imali,United States,2017,-87.6298,US,USA,23.212.53.221,41.8781,0
