city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_7f1cac7128b277bafc236f0aecc7034f,inbox,United States,2016,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_7f1cac7128b277bafc236f0aecc7034f,inbox,United States,2016,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_7f1cac7128b277bafc236f0aecc7034f,inbox,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_7f1cac7128b277bafc236f0aecc7034f,inbox,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_cc414a13ab54313b782a825d47670bda,inbox,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_cc414a13ab54313b782a825d47670bda,inbox,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_cc414a13ab54313b782a825d47670bda,inbox,United States,2017,-96.797,US,USA,23.67.252.18,32.7767,0
Mountain View,VirusShare_cc414a13ab54313b782a825d47670bda,inbox,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_ce03bcfb4c9b8a7c2295f52f7a0330df,inbox,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_ce03bcfb4c9b8a7c2295f52f7a0330df,inbox,United States,2015,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_ce03bcfb4c9b8a7c2295f52f7a0330df,inbox,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_ce03bcfb4c9b8a7c2295f52f7a0330df,inbox,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_667dc9ad1cb663ec8daf3027be1f45fc,inbox,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_667dc9ad1cb663ec8daf3027be1f45fc,inbox,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_667dc9ad1cb663ec8daf3027be1f45fc,inbox,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Ashburn,VirusShare_667dc9ad1cb663ec8daf3027be1f45fc,inbox,United States,2017,-77.4874,US,USA,184.26.93.58,39.0438,0
Redmond,VirusShare_152fd7a7f0032323f209792eb7b9ba4c,inbox,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_152fd7a7f0032323f209792eb7b9ba4c,inbox,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_152fd7a7f0032323f209792eb7b9ba4c,inbox,United States,2014,-96.797,US,USA,23.218.156.26,32.7767,0
