city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_83294387f218e49ac6ae13a7b99861db,inor,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_83294387f218e49ac6ae13a7b99861db,inor,United States,2017,-77.0369,US,USA,23.2.17.246,38.9072,0
New York,VirusShare_83294387f218e49ac6ae13a7b99861db,inor,United States,2017,-74.0059,US,USA,204.79.197.200,40.7128,0
Redmond,VirusShare_83294387f218e49ac6ae13a7b99861db,inor,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_83294387f218e49ac6ae13a7b99861db,inor,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_8c981dc6f53e71c44586e8d357c23ab2,inor,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Los Angeles,VirusShare_8c981dc6f53e71c44586e8d357c23ab2,inor,United States,2017,-118.426,US,USA,93.184.216.169,33.9757,0
New York,VirusShare_8c981dc6f53e71c44586e8d357c23ab2,inor,United States,2017,-74.0059,US,USA,204.79.197.200,40.7128,0
Redmond,VirusShare_8c981dc6f53e71c44586e8d357c23ab2,inor,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_8c981dc6f53e71c44586e8d357c23ab2,inor,United States,2017,-96.797,US,USA,23.218.156.26,32.7767,0
Mountain View,VirusShare_8c981dc6f53e71c44586e8d357c23ab2,inor,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_fdcf56e3bab9dbf84a01eac0d8f2495d,inor,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
New York,VirusShare_fdcf56e3bab9dbf84a01eac0d8f2495d,inor,United States,2017,-74.0059,US,USA,13.107.21.200,40.7128,0
Dallas,VirusShare_fdcf56e3bab9dbf84a01eac0d8f2495d,inor,United States,2017,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_fdcf56e3bab9dbf84a01eac0d8f2495d,inor,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_fdcf56e3bab9dbf84a01eac0d8f2495d,inor,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_e6555fb4205ab99e3b34a1c81666bc74,inor,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_e6555fb4205ab99e3b34a1c81666bc74,inor,United States,2017,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_e6555fb4205ab99e3b34a1c81666bc74,inor,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_e6555fb4205ab99e3b34a1c81666bc74,inor,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_954eb66dd31c5b6226690dcb73b5f92b,inor,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
New York,VirusShare_954eb66dd31c5b6226690dcb73b5f92b,inor,United States,2017,-74.0059,US,USA,13.107.21.200,40.7128,0
Redmond,VirusShare_954eb66dd31c5b6226690dcb73b5f92b,inor,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_954eb66dd31c5b6226690dcb73b5f92b,inor,United States,2017,-96.797,US,USA,23.67.252.18,32.7767,0
Mountain View,VirusShare_954eb66dd31c5b6226690dcb73b5f92b,inor,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
