city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Chicago,VirusShare_797ecc6e4a9bb856c4d3bd73fc39f31a,installbrain,United States,2014,-87.6298,US,USA,23.212.53.214,41.8781,0
Redmond,VirusShare_797ecc6e4a9bb856c4d3bd73fc39f31a,installbrain,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_797ecc6e4a9bb856c4d3bd73fc39f31a,installbrain,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b86201fa30b6613dfc0cd3521c05a880,installbrain,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b86201fa30b6613dfc0cd3521c05a880,installbrain,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b86201fa30b6613dfc0cd3521c05a880,installbrain,United States,2014,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_b86201fa30b6613dfc0cd3521c05a880,installbrain,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_e0a9855f45c2c0a7d634c6f4ab07e410,installbrain,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_e0a9855f45c2c0a7d634c6f4ab07e410,installbrain,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_e0a9855f45c2c0a7d634c6f4ab07e410,installbrain,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_e0a9855f45c2c0a7d634c6f4ab07e410,installbrain,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_7884ddd68385dda3c5302aefdb00fb30,installbrain,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_7884ddd68385dda3c5302aefdb00fb30,installbrain,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_7884ddd68385dda3c5302aefdb00fb30,installbrain,United States,2014,-96.797,US,USA,23.218.156.26,32.7767,0
