city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_f9b7bfeeb3b21bb5f2a5f6095348904a,installcore,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_f9b7bfeeb3b21bb5f2a5f6095348904a,installcore,United States,2014,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_f9b7bfeeb3b21bb5f2a5f6095348904a,installcore,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_f9b7bfeeb3b21bb5f2a5f6095348904a,installcore,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_edffd148bb56354bb00685ab9957cc8c,installcore,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_edffd148bb56354bb00685ab9957cc8c,installcore,United States,2017,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_edffd148bb56354bb00685ab9957cc8c,installcore,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_edffd148bb56354bb00685ab9957cc8c,installcore,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_ba1d688927e0047a063a6ff13f972562,installcore,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_ba1d688927e0047a063a6ff13f972562,installcore,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_ba1d688927e0047a063a6ff13f972562,installcore,United States,2014,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_ba1d688927e0047a063a6ff13f972562,installcore,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Mountain View,VirusShare_dacfb756e9230c884f41dad7abe0d610,installcore,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Mountain View,VirusShare_cb58693060dbe936f4466c02840db6f0,installcore,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b062373403c1b40ffaedbd667a392145,installcore,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Ashburn,VirusShare_b062373403c1b40ffaedbd667a392145,installcore,United States,2017,-77.4874,US,USA,184.26.93.48,39.0438,0
Mountain View,VirusShare_b062373403c1b40ffaedbd667a392145,installcore,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_f047f0885fbcf730d9b932db8ce5d1db,installcore,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Chicago,VirusShare_f047f0885fbcf730d9b932db8ce5d1db,installcore,United States,2014,-87.6298,US,USA,23.212.53.221,41.8781,0
Redmond,VirusShare_f047f0885fbcf730d9b932db8ce5d1db,installcore,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_f047f0885fbcf730d9b932db8ce5d1db,installcore,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_cb218c5148f162a124d1e4a0eb681560,installcore,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Ashburn,VirusShare_cb218c5148f162a124d1e4a0eb681560,installcore,United States,2014,-77.4874,US,USA,184.26.93.81,39.0438,0
Mountain View,VirusShare_cb218c5148f162a124d1e4a0eb681560,installcore,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_27d96a3ffa0fe25ef3e3dd4a91149ea3,installcore,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Atlanta,VirusShare_27d96a3ffa0fe25ef3e3dd4a91149ea3,installcore,United States,2017,-84.388,US,USA,23.73.181.59,33.749,0
Redmond,VirusShare_27d96a3ffa0fe25ef3e3dd4a91149ea3,installcore,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_27d96a3ffa0fe25ef3e3dd4a91149ea3,installcore,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b38439890b846b20379f72d7a6e8bb10,installcore,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_b38439890b846b20379f72d7a6e8bb10,installcore,United States,2014,-96.797,US,USA,96.16.7.83,32.7767,0
Redmond,VirusShare_b38439890b846b20379f72d7a6e8bb10,installcore,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b38439890b846b20379f72d7a6e8bb10,installcore,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Chicago,VirusShare_bbc011928b76eea3d34cabd8b2a0e2a0,installcore,United States,2014,-87.6298,US,USA,23.212.53.214,41.8781,0
Mountain View,VirusShare_bbc011928b76eea3d34cabd8b2a0e2a0,installcore,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bbc011928b76eea3d34cabd8b2a0e2a0,installcore,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_bbc011928b76eea3d34cabd8b2a0e2a0,installcore,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
