city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_0b37b83d675ccc8c37fe375c567a3e62,installmonster,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_0b37b83d675ccc8c37fe375c567a3e62,installmonster,United States,2017,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_0b37b83d675ccc8c37fe375c567a3e62,installmonster,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_0b37b83d675ccc8c37fe375c567a3e62,installmonster,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_f0563ec3f0e6432aabcf60eb979aaff2,installmonster,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_f0563ec3f0e6432aabcf60eb979aaff2,installmonster,United States,2017,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_f0563ec3f0e6432aabcf60eb979aaff2,installmonster,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_f0563ec3f0e6432aabcf60eb979aaff2,installmonster,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_5293dbcb157152d40c254422b9586bf9,installmonster,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
New York,VirusShare_5293dbcb157152d40c254422b9586bf9,installmonster,United States,2017,-74.0059,US,USA,13.107.21.200,40.7128,0
Redmond,VirusShare_5293dbcb157152d40c254422b9586bf9,installmonster,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_5293dbcb157152d40c254422b9586bf9,installmonster,United States,2017,-96.797,US,USA,23.67.252.18,32.7767,0
Mountain View,VirusShare_5293dbcb157152d40c254422b9586bf9,installmonster,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_ecb4aa9fb7dda37629cbb0d9f8a0c9c5,installmonster,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_ecb4aa9fb7dda37629cbb0d9f8a0c9c5,installmonster,United States,2017,-96.797,US,USA,23.67.252.32,32.7767,0
Redmond,VirusShare_ecb4aa9fb7dda37629cbb0d9f8a0c9c5,installmonster,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_ecb4aa9fb7dda37629cbb0d9f8a0c9c5,installmonster,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_e869b2b0e65b378ec571f9334eab481e,installmonster,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_e869b2b0e65b378ec571f9334eab481e,installmonster,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_e869b2b0e65b378ec571f9334eab481e,installmonster,United States,2017,-96.797,US,USA,23.218.156.26,32.7767,0
Mountain View,VirusShare_e869b2b0e65b378ec571f9334eab481e,installmonster,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_16a3c793e33a7bb680396a561a2f93dc,installmonster,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_16a3c793e33a7bb680396a561a2f93dc,installmonster,United States,2017,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_16a3c793e33a7bb680396a561a2f93dc,installmonster,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_16a3c793e33a7bb680396a561a2f93dc,installmonster,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_f96815c9fc098d8e35e6b2d9ad688680,installmonster,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_f96815c9fc098d8e35e6b2d9ad688680,installmonster,United States,2017,-96.797,US,USA,96.16.7.80,32.7767,0
Redmond,VirusShare_f96815c9fc098d8e35e6b2d9ad688680,installmonster,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_f96815c9fc098d8e35e6b2d9ad688680,installmonster,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_a20fa4ed7943acb34d0b911e49be8a1b,installmonster,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_a20fa4ed7943acb34d0b911e49be8a1b,installmonster,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_a20fa4ed7943acb34d0b911e49be8a1b,installmonster,United States,2017,-96.797,US,USA,23.218.156.26,32.7767,0
Mountain View,VirusShare_a20fa4ed7943acb34d0b911e49be8a1b,installmonster,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_4ae03855901dd478b8beb61c29cdcd13,installmonster,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_4ae03855901dd478b8beb61c29cdcd13,installmonster,United States,2017,-77.0369,US,USA,23.2.17.169,38.9072,0
New York,VirusShare_4ae03855901dd478b8beb61c29cdcd13,installmonster,United States,2017,-74.0059,US,USA,204.79.197.200,40.7128,0
Redmond,VirusShare_4ae03855901dd478b8beb61c29cdcd13,installmonster,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_4ae03855901dd478b8beb61c29cdcd13,installmonster,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_f8fa70a3cb3d34b332ec1058b78b55b4,installmonster,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_f8fa70a3cb3d34b332ec1058b78b55b4,installmonster,United States,2017,-96.797,US,USA,23.67.252.32,32.7767,0
Redmond,VirusShare_f8fa70a3cb3d34b332ec1058b78b55b4,installmonster,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_f8fa70a3cb3d34b332ec1058b78b55b4,installmonster,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_8f637607b083f73d88480c5b9c626448,installmonster,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_8f637607b083f73d88480c5b9c626448,installmonster,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_8f637607b083f73d88480c5b9c626448,installmonster,United States,2017,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_8f637607b083f73d88480c5b9c626448,installmonster,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_93cc5a132dbe681aa651aeceef68047b,installmonster,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
New York,VirusShare_93cc5a132dbe681aa651aeceef68047b,installmonster,United States,2017,-74.0059,US,USA,13.107.21.200,40.7128,0
Redmond,VirusShare_93cc5a132dbe681aa651aeceef68047b,installmonster,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_93cc5a132dbe681aa651aeceef68047b,installmonster,United States,2017,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_93cc5a132dbe681aa651aeceef68047b,installmonster,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_6d85800564dcbe1cd2fa5bfd3298baef,installmonster,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Atlanta,VirusShare_6d85800564dcbe1cd2fa5bfd3298baef,installmonster,United States,2017,-84.388,US,USA,23.72.137.59,33.749,0
Redmond,VirusShare_6d85800564dcbe1cd2fa5bfd3298baef,installmonster,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
