city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_baf2fea28dc4903ac1c3c6e27dbfe8e0,klez,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_baf2fea28dc4903ac1c3c6e27dbfe8e0,klez,United States,2017,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_baf2fea28dc4903ac1c3c6e27dbfe8e0,klez,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bb79389b0e3d72c6031eb65452602520,klez,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_bb79389b0e3d72c6031eb65452602520,klez,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_bb79389b0e3d72c6031eb65452602520,klez,United States,2014,-96.797,US,USA,23.67.252.18,32.7767,0
Mountain View,VirusShare_bb79389b0e3d72c6031eb65452602520,klez,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b334d94d4d8301c0c0051da59d6b5b10,klez,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_b334d94d4d8301c0c0051da59d6b5b10,klez,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_b334d94d4d8301c0c0051da59d6b5b10,klez,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b334d94d4d8301c0c0051da59d6b5b10,klez,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Mountain View,VirusShare_dc4eee5d6f4a40ebd2e80d1ba6c73d90,klez,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_bdc00152a8cff4f4a6aa75b48e07ee60,klez,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_bdc00152a8cff4f4a6aa75b48e07ee60,klez,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
