city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Newark,VirusShare_f0d01bc29a573ceabeb5b047841a05c3,kykymber,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_f0d01bc29a573ceabeb5b047841a05c3,kykymber,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_f0d01bc29a573ceabeb5b047841a05c3,kykymber,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_f0d01bc29a573ceabeb5b047841a05c3,kykymber,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_e1bf15103543f9ae4f25f020c7a86875,kykymber,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_e1bf15103543f9ae4f25f020c7a86875,kykymber,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_e1bf15103543f9ae4f25f020c7a86875,kykymber,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_e1bf15103543f9ae4f25f020c7a86875,kykymber,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_e077c310787e6518c07aa3964827a250,kykymber,United States,2016,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_e077c310787e6518c07aa3964827a250,kykymber,United States,2016,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_e077c310787e6518c07aa3964827a250,kykymber,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_e077c310787e6518c07aa3964827a250,kykymber,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_f0d327dd268de2d6d40462ac269d2880,kykymber,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_f0d327dd268de2d6d40462ac269d2880,kykymber,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_f0d327dd268de2d6d40462ac269d2880,kykymber,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Dallas,VirusShare_f0d327dd268de2d6d40462ac269d2880,kykymber,United States,2014,-96.797,US,USA,23.67.253.162,32.7767,0
Redmond,VirusShare_bf2664cebb1991e5b16d6c943691649e,kykymber,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_bf2664cebb1991e5b16d6c943691649e,kykymber,United States,2014,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_bf2664cebb1991e5b16d6c943691649e,kykymber,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b40741892634f6a890059331817dfeb9,kykymber,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b40741892634f6a890059331817dfeb9,kykymber,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b40741892634f6a890059331817dfeb9,kykymber,United States,2014,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_b40741892634f6a890059331817dfeb9,kykymber,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_db461849270911b5d50ad2d1245ccddb,kykymber,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_db461849270911b5d50ad2d1245ccddb,kykymber,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Ashburn,VirusShare_db461849270911b5d50ad2d1245ccddb,kykymber,United States,2014,-77.4874,US,USA,184.26.93.58,39.0438,0
Redmond,VirusShare_b8d8ea12ff3f28e62c298993934d6330,kykymber,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b8d8ea12ff3f28e62c298993934d6330,kykymber,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_b8d8ea12ff3f28e62c298993934d6330,kykymber,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_b8d8ea12ff3f28e62c298993934d6330,kykymber,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Mountain View,VirusShare_db1f413055373bd64a5e8674c415d7a0,kykymber,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_f12eea8bd0ae61b5b3605a7c453e14c0,kykymber,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_f12eea8bd0ae61b5b3605a7c453e14c0,kykymber,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_f12eea8bd0ae61b5b3605a7c453e14c0,kykymber,United States,2014,-96.797,US,USA,23.67.252.18,32.7767,0
Mountain View,VirusShare_f12eea8bd0ae61b5b3605a7c453e14c0,kykymber,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b6dc8d79afd3c41196ac68d7aa1e50fb,kykymber,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b6dc8d79afd3c41196ac68d7aa1e50fb,kykymber,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b6dc8d79afd3c41196ac68d7aa1e50fb,kykymber,United States,2014,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_b6dc8d79afd3c41196ac68d7aa1e50fb,kykymber,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b8db6fde92f17e77b70272139950809f,kykymber,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_b8db6fde92f17e77b70272139950809f,kykymber,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
