city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Newark,VirusShare_78de80b75eaef3ea6fb0df4796043df0,linkury,United States,2015,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_78de80b75eaef3ea6fb0df4796043df0,linkury,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_78de80b75eaef3ea6fb0df4796043df0,linkury,United States,2015,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_78de80b75eaef3ea6fb0df4796043df0,linkury,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_713eb7507123c2ab5b28533bd982ff20,linkury,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_713eb7507123c2ab5b28533bd982ff20,linkury,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_713eb7507123c2ab5b28533bd982ff20,linkury,United States,2015,-96.797,US,USA,23.67.252.18,32.7767,0
Mountain View,VirusShare_713eb7507123c2ab5b28533bd982ff20,linkury,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Dallas,VirusShare_dadeafab1b3297f710f73be3cadb2740,linkury,United States,2015,-96.797,US,USA,96.16.7.83,32.7767,0
Redmond,VirusShare_dadeafab1b3297f710f73be3cadb2740,linkury,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_dadeafab1b3297f710f73be3cadb2740,linkury,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bf157acef47afbcf4bf41fca39d3f840,linkury,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bf157acef47afbcf4bf41fca39d3f840,linkury,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Ashburn,VirusShare_bf157acef47afbcf4bf41fca39d3f840,linkury,United States,2015,-77.4874,US,USA,184.26.93.58,39.0438,0
Redmond,VirusShare_f1cdc4543a2c5a689fbd35229fcf7100,linkury,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_f1cdc4543a2c5a689fbd35229fcf7100,linkury,United States,2015,-77.0369,US,USA,184.25.63.56,38.9072,0
Mountain View,VirusShare_f1cdc4543a2c5a689fbd35229fcf7100,linkury,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_322750956abb59d2490bcb854ce18900,linkury,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_322750956abb59d2490bcb854ce18900,linkury,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_322750956abb59d2490bcb854ce18900,linkury,United States,2015,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_322750956abb59d2490bcb854ce18900,linkury,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bb0480528b7a95b0675eb7234d25f970,linkury,United States,2016,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_bb0480528b7a95b0675eb7234d25f970,linkury,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_bb0480528b7a95b0675eb7234d25f970,linkury,United States,2016,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_bb0480528b7a95b0675eb7234d25f970,linkury,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_bdec779e6011ac2036232b404f502630,linkury,United States,2015,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_bdec779e6011ac2036232b404f502630,linkury,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bdec779e6011ac2036232b404f502630,linkury,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Ashburn,VirusShare_bdec779e6011ac2036232b404f502630,linkury,United States,2015,-77.4874,US,USA,184.26.93.58,39.0438,0
Redmond,VirusShare_beba2dacc842d3b19e338101b1fbc500,linkury,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Ashburn,VirusShare_beba2dacc842d3b19e338101b1fbc500,linkury,United States,2015,-77.4874,US,USA,184.26.93.81,39.0438,0
Mountain View,VirusShare_beba2dacc842d3b19e338101b1fbc500,linkury,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b6b3ee7e6359c3796b5689b9f78fa8c0,linkury,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b6b3ee7e6359c3796b5689b9f78fa8c0,linkury,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b6b3ee7e6359c3796b5689b9f78fa8c0,linkury,United States,2015,-96.797,US,USA,23.218.156.26,32.7767,0
Mountain View,VirusShare_b6b3ee7e6359c3796b5689b9f78fa8c0,linkury,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_cbea0eefb90eb936d771ab41a735cc10,linkury,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_cbea0eefb90eb936d771ab41a735cc10,linkury,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_34e1d4415aed263caa8216dea9865ad0,linkury,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_34e1d4415aed263caa8216dea9865ad0,linkury,United States,2015,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_34e1d4415aed263caa8216dea9865ad0,linkury,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_34e1d4415aed263caa8216dea9865ad0,linkury,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_e3fc1666bc87895a5437b69c03ab3e00,linkury,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_e3fc1666bc87895a5437b69c03ab3e00,linkury,United States,2015,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_e3fc1666bc87895a5437b69c03ab3e00,linkury,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_7431576ba92592a1e1ccf6ac596afae0,linkury,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_7431576ba92592a1e1ccf6ac596afae0,linkury,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_f094e86d4a480975c7f775017587b780,linkury,United States,2015,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_f094e86d4a480975c7f775017587b780,linkury,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_f094e86d4a480975c7f775017587b780,linkury,United States,2015,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_f094e86d4a480975c7f775017587b780,linkury,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_3d75219c8ca7a874998b3a9012548280,linkury,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_3d75219c8ca7a874998b3a9012548280,linkury,United States,2015,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_3d75219c8ca7a874998b3a9012548280,linkury,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_3d75219c8ca7a874998b3a9012548280,linkury,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_73ea22b5fbb3a68dfb6617a372ab6920,linkury,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_73ea22b5fbb3a68dfb6617a372ab6920,linkury,United States,2015,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_73ea22b5fbb3a68dfb6617a372ab6920,linkury,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_73ea22b5fbb3a68dfb6617a372ab6920,linkury,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_ba7b43eb881075ef79a17fff336b8cd0,linkury,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_ba7b43eb881075ef79a17fff336b8cd0,linkury,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_ba7b43eb881075ef79a17fff336b8cd0,linkury,United States,2015,-96.797,US,USA,23.67.252.11,32.7767,0
