city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Newark,VirusShare_34ac94a480bc4fc7ff2f8f740577eb40,lipler,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_34ac94a480bc4fc7ff2f8f740577eb40,lipler,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_34ac94a480bc4fc7ff2f8f740577eb40,lipler,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_34ac94a480bc4fc7ff2f8f740577eb40,lipler,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b39ce5f71c4467543847070d2a7a41bf,lipler,United States,2016,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_b39ce5f71c4467543847070d2a7a41bf,lipler,United States,2016,-96.797,US,USA,96.16.7.80,32.7767,0
Redmond,VirusShare_b39ce5f71c4467543847070d2a7a41bf,lipler,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b39ce5f71c4467543847070d2a7a41bf,lipler,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_ba5f0f5aa5a14995eefd9cdfc3bcd554,lipler,United States,2016,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_ba5f0f5aa5a14995eefd9cdfc3bcd554,lipler,United States,2016,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_ba5f0f5aa5a14995eefd9cdfc3bcd554,lipler,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_ba5f0f5aa5a14995eefd9cdfc3bcd554,lipler,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b8569312993d1cf3a51cbbfbaa6a1eaf,lipler,United States,2016,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_b8569312993d1cf3a51cbbfbaa6a1eaf,lipler,United States,2016,-96.797,US,USA,96.16.7.80,32.7767,0
Redmond,VirusShare_b8569312993d1cf3a51cbbfbaa6a1eaf,lipler,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b8569312993d1cf3a51cbbfbaa6a1eaf,lipler,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b66db7f3524927d1de7b6ce947e1dcc3,lipler,United States,2016,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_b66db7f3524927d1de7b6ce947e1dcc3,lipler,United States,2016,-77.0369,US,USA,23.2.17.169,38.9072,0
Redmond,VirusShare_b66db7f3524927d1de7b6ce947e1dcc3,lipler,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b66db7f3524927d1de7b6ce947e1dcc3,lipler,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Mountain View,VirusShare_cb20eabc1bbb7b224c758fd5a9b0add5,lipler,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_7c0e7d8ce4c6710438149d247f5fba0d,lipler,United States,2016,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_7c0e7d8ce4c6710438149d247f5fba0d,lipler,United States,2016,-96.797,US,USA,96.16.7.83,32.7767,0
Redmond,VirusShare_7c0e7d8ce4c6710438149d247f5fba0d,lipler,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_7c0e7d8ce4c6710438149d247f5fba0d,lipler,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bbc8916bac35ced4190363c08295b613,lipler,United States,2016,-122.139,US,USA,65.55.158.118,47.6475,0
Atlanta,VirusShare_bbc8916bac35ced4190363c08295b613,lipler,United States,2016,-84.388,US,USA,184.51.150.57,33.749,0
Redmond,VirusShare_bbc8916bac35ced4190363c08295b613,lipler,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bbc8916bac35ced4190363c08295b613,lipler,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_702d8d01e1c69f0b5bfdda2b3fb29f05,lipler,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_702d8d01e1c69f0b5bfdda2b3fb29f05,lipler,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_702d8d01e1c69f0b5bfdda2b3fb29f05,lipler,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_702d8d01e1c69f0b5bfdda2b3fb29f05,lipler,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_ba8293d894c88fa7d8d5ed8ac44696eb,lipler,United States,2016,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_ba8293d894c88fa7d8d5ed8ac44696eb,lipler,United States,2016,-96.797,US,USA,96.16.7.80,32.7767,0
Redmond,VirusShare_ba8293d894c88fa7d8d5ed8ac44696eb,lipler,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_ba8293d894c88fa7d8d5ed8ac44696eb,lipler,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b824b2031521a5b800131772507fe34c,lipler,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_b824b2031521a5b800131772507fe34c,lipler,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_b824b2031521a5b800131772507fe34c,lipler,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b824b2031521a5b800131772507fe34c,lipler,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bb24ba751db7265fd120e7fb19a1e00d,lipler,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_bb24ba751db7265fd120e7fb19a1e00d,lipler,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_bb24ba751db7265fd120e7fb19a1e00d,lipler,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bb24ba751db7265fd120e7fb19a1e00d,lipler,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bbcd4ac38d4c01cca4e5d238d1417655,lipler,United States,2016,-122.139,US,USA,65.55.158.118,47.6475,0
