city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_bfba0bdeb78b51b32d88e73250eadefc,loadmoney,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_bfba0bdeb78b51b32d88e73250eadefc,loadmoney,United States,2014,-96.797,US,USA,96.16.7.83,32.7767,0
Redmond,VirusShare_bfba0bdeb78b51b32d88e73250eadefc,loadmoney,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bfba0bdeb78b51b32d88e73250eadefc,loadmoney,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bbbe13ae6f41664f90723f520def8cb0,loadmoney,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_bbbe13ae6f41664f90723f520def8cb0,loadmoney,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_bbbe13ae6f41664f90723f520def8cb0,loadmoney,United States,2015,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_bbbe13ae6f41664f90723f520def8cb0,loadmoney,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_f0d4d0b22ec3648ceebf1b02414bb160,loadmoney,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_f0d4d0b22ec3648ceebf1b02414bb160,loadmoney,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_f0d4d0b22ec3648ceebf1b02414bb160,loadmoney,United States,2014,-96.797,US,USA,23.67.252.18,32.7767,0
Mountain View,VirusShare_f0d4d0b22ec3648ceebf1b02414bb160,loadmoney,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_eb6cd40d74a8404479c6a5556d95015b,loadmoney,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_eb6cd40d74a8404479c6a5556d95015b,loadmoney,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Ashburn,VirusShare_eb6cd40d74a8404479c6a5556d95015b,loadmoney,United States,2017,-77.4874,US,USA,184.26.93.48,39.0438,0
Mountain View,VirusShare_eb6cd40d74a8404479c6a5556d95015b,loadmoney,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_19e3b329db0df60ec5b20061d8fa9eaf,loadmoney,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_19e3b329db0df60ec5b20061d8fa9eaf,loadmoney,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_19e3b329db0df60ec5b20061d8fa9eaf,loadmoney,United States,2017,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_19e3b329db0df60ec5b20061d8fa9eaf,loadmoney,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_e44c7e95ef77777d75473921b9ef82e0,loadmoney,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_e44c7e95ef77777d75473921b9ef82e0,loadmoney,United States,2014,-96.797,US,USA,23.67.252.18,32.7767,0
Mountain View,VirusShare_e44c7e95ef77777d75473921b9ef82e0,loadmoney,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_2553a0babbe2dc2927e7e8819e1e51e4,loadmoney,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_2553a0babbe2dc2927e7e8819e1e51e4,loadmoney,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_2553a0babbe2dc2927e7e8819e1e51e4,loadmoney,United States,2015,-96.797,US,USA,23.67.252.18,32.7767,0
Mountain View,VirusShare_2553a0babbe2dc2927e7e8819e1e51e4,loadmoney,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_e161ad38d462d4e696a32249456f36d3,loadmoney,United States,2013,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_e161ad38d462d4e696a32249456f36d3,loadmoney,United States,2013,-77.0369,US,USA,23.2.17.169,38.9072,0
Redmond,VirusShare_e161ad38d462d4e696a32249456f36d3,loadmoney,United States,2013,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_e161ad38d462d4e696a32249456f36d3,loadmoney,United States,2013,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b308dd7c0490a51e3374782b9f567150,loadmoney,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_b308dd7c0490a51e3374782b9f567150,loadmoney,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_b308dd7c0490a51e3374782b9f567150,loadmoney,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b308dd7c0490a51e3374782b9f567150,loadmoney,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b31e4217a115bbaa591574d0e220db40,loadmoney,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b31e4217a115bbaa591574d0e220db40,loadmoney,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b31e4217a115bbaa591574d0e220db40,loadmoney,United States,2014,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_b31e4217a115bbaa591574d0e220db40,loadmoney,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_e5bb14a2eaab221841f3d5e606a8c940,loadmoney,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_e5bb14a2eaab221841f3d5e606a8c940,loadmoney,United States,2014,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_e5bb14a2eaab221841f3d5e606a8c940,loadmoney,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_e5bb14a2eaab221841f3d5e606a8c940,loadmoney,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_57baddbc658e46e6dbde305e57bf8674,loadmoney,United States,2016,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_57baddbc658e46e6dbde305e57bf8674,loadmoney,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_57baddbc658e46e6dbde305e57bf8674,loadmoney,United States,2016,-96.797,US,USA,23.67.252.18,32.7767,0
Mountain View,VirusShare_57baddbc658e46e6dbde305e57bf8674,loadmoney,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_49613a41d449e79bcc31ab9dd725a319,loadmoney,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_49613a41d449e79bcc31ab9dd725a319,loadmoney,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_49613a41d449e79bcc31ab9dd725a319,loadmoney,United States,2014,-96.797,US,USA,23.218.156.26,32.7767,0
Mountain View,VirusShare_49613a41d449e79bcc31ab9dd725a319,loadmoney,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_bdff983eff43f4b062ddb909d007beb0,loadmoney,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_bdff983eff43f4b062ddb909d007beb0,loadmoney,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Redmond,VirusShare_bdff983eff43f4b062ddb909d007beb0,loadmoney,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bdff983eff43f4b062ddb909d007beb0,loadmoney,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_79a7ea1db644f44d8843f8b63d1a4670,loadmoney,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_79a7ea1db644f44d8843f8b63d1a4670,loadmoney,United States,2014,-96.797,US,USA,96.16.7.80,32.7767,0
Redmond,VirusShare_79a7ea1db644f44d8843f8b63d1a4670,loadmoney,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_79a7ea1db644f44d8843f8b63d1a4670,loadmoney,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b3690cee2a095c9a5a1abafcb76725a0,loadmoney,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_b3690cee2a095c9a5a1abafcb76725a0,loadmoney,United States,2014,-96.797,US,USA,96.16.7.83,32.7767,0
Redmond,VirusShare_b3690cee2a095c9a5a1abafcb76725a0,loadmoney,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b3690cee2a095c9a5a1abafcb76725a0,loadmoney,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_d775c3ef4ee217c44f27f5606478e1d9,loadmoney,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_d775c3ef4ee217c44f27f5606478e1d9,loadmoney,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_d775c3ef4ee217c44f27f5606478e1d9,loadmoney,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_d775c3ef4ee217c44f27f5606478e1d9,loadmoney,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b663c8fed0ed5c8765fab70250ba2f60,loadmoney,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b663c8fed0ed5c8765fab70250ba2f60,loadmoney,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b663c8fed0ed5c8765fab70250ba2f60,loadmoney,United States,2014,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_b663c8fed0ed5c8765fab70250ba2f60,loadmoney,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_be12867fbd8983da2aa88e8c586082c0,loadmoney,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_be12867fbd8983da2aa88e8c586082c0,loadmoney,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_be12867fbd8983da2aa88e8c586082c0,loadmoney,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_be12867fbd8983da2aa88e8c586082c0,loadmoney,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_7af5a600dd40e9ecc01267e14a440e30,loadmoney,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_7af5a600dd40e9ecc01267e14a440e30,loadmoney,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_7af5a600dd40e9ecc01267e14a440e30,loadmoney,United States,2014,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_7af5a600dd40e9ecc01267e14a440e30,loadmoney,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_e0946526feb99878efa0ae0fbea799f0,loadmoney,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_e0946526feb99878efa0ae0fbea799f0,loadmoney,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Redmond,VirusShare_e0946526feb99878efa0ae0fbea799f0,loadmoney,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_e0946526feb99878efa0ae0fbea799f0,loadmoney,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Chicago,VirusShare_cbb37389135c202a3e26381409c69450,loadmoney,United States,2014,-87.6298,US,USA,23.212.53.214,41.8781,0
Redmond,VirusShare_cbb37389135c202a3e26381409c69450,loadmoney,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_cbb37389135c202a3e26381409c69450,loadmoney,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_734fc6ea838764e3b8d7c604ba89fad0,loadmoney,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Newark,VirusShare_734fc6ea838764e3b8d7c604ba89fad0,loadmoney,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Mountain View,VirusShare_734fc6ea838764e3b8d7c604ba89fad0,loadmoney,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_9aa70d9e454e6727d72d478c2f590494,loadmoney,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_9aa70d9e454e6727d72d478c2f590494,loadmoney,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_9aa70d9e454e6727d72d478c2f590494,loadmoney,United States,2014,-96.797,US,USA,23.67.252.18,32.7767,0
Mountain View,VirusShare_9aa70d9e454e6727d72d478c2f590494,loadmoney,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_cc2718bec1e59afdb0393916170eaf30,loadmoney,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_cc2718bec1e59afdb0393916170eaf30,loadmoney,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_fa00bd6babaf6189bc66ab02d48b160f,loadmoney,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_fa00bd6babaf6189bc66ab02d48b160f,loadmoney,United States,2017,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_fa00bd6babaf6189bc66ab02d48b160f,loadmoney,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_fa00bd6babaf6189bc66ab02d48b160f,loadmoney,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_baf70be7dd1455658d07cec488945e50,loadmoney,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_baf70be7dd1455658d07cec488945e50,loadmoney,United States,2014,-96.797,US,USA,96.16.7.83,32.7767,0
Redmond,VirusShare_baf70be7dd1455658d07cec488945e50,loadmoney,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_baf70be7dd1455658d07cec488945e50,loadmoney,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_9a7c426e8ebf3588d9503a77ac8c2679,loadmoney,United States,2013,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_9a7c426e8ebf3588d9503a77ac8c2679,loadmoney,United States,2013,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_9a7c426e8ebf3588d9503a77ac8c2679,loadmoney,United States,2013,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_9a7c426e8ebf3588d9503a77ac8c2679,loadmoney,United States,2013,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_1f3de81194b4fb494ef2b13d8fc88283,loadmoney,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_1f3de81194b4fb494ef2b13d8fc88283,loadmoney,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_1f3de81194b4fb494ef2b13d8fc88283,loadmoney,United States,2014,-96.797,US,USA,23.218.156.26,32.7767,0
Mountain View,VirusShare_1f3de81194b4fb494ef2b13d8fc88283,loadmoney,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_c7c6005be1a9598340d223b33a09fb68,loadmoney,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_c7c6005be1a9598340d223b33a09fb68,loadmoney,United States,2014,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_c7c6005be1a9598340d223b33a09fb68,loadmoney,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_c7c6005be1a9598340d223b33a09fb68,loadmoney,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_1bab2329bc5446dab5da8320e3881e82,loadmoney,United States,2016,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_1bab2329bc5446dab5da8320e3881e82,loadmoney,United States,2016,-96.797,US,USA,96.16.7.80,32.7767,0
