city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_dc4f4d7c6228e24aa62ecd2c2d06ed60,lollipop,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Ashburn,VirusShare_dc4f4d7c6228e24aa62ecd2c2d06ed60,lollipop,United States,2014,-77.4874,US,USA,184.26.93.81,39.0438,0
Mountain View,VirusShare_dc4f4d7c6228e24aa62ecd2c2d06ed60,lollipop,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_bbd5ea2c317a88f321c370f595cbc060,lollipop,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Chicago,VirusShare_bbd5ea2c317a88f321c370f595cbc060,lollipop,United States,2014,-87.6298,US,USA,23.212.53.221,41.8781,0
Redmond,VirusShare_bbd5ea2c317a88f321c370f595cbc060,lollipop,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bbd5ea2c317a88f321c370f595cbc060,lollipop,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_f18d651d6340ed6dc35580073914db50,lollipop,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Chicago,VirusShare_f18d651d6340ed6dc35580073914db50,lollipop,United States,2014,-87.6298,US,USA,23.212.53.214,41.8781,0
Redmond,VirusShare_f18d651d6340ed6dc35580073914db50,lollipop,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_f18d651d6340ed6dc35580073914db50,lollipop,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_3c2ea8b3306d2bb6beb23a624f9d21c0,lollipop,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_3c2ea8b3306d2bb6beb23a624f9d21c0,lollipop,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_3c2ea8b3306d2bb6beb23a624f9d21c0,lollipop,United States,2014,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_3c2ea8b3306d2bb6beb23a624f9d21c0,lollipop,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Dallas,VirusShare_e391b49feafaffafba9a62385d88c120,lollipop,United States,2014,-96.797,US,USA,96.16.7.80,32.7767,0
Redmond,VirusShare_e391b49feafaffafba9a62385d88c120,lollipop,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_e391b49feafaffafba9a62385d88c120,lollipop,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b35963c3843f676a1e66ec48b44ef480,lollipop,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_b35963c3843f676a1e66ec48b44ef480,lollipop,United States,2014,-96.797,US,USA,96.16.7.83,32.7767,0
Redmond,VirusShare_b35963c3843f676a1e66ec48b44ef480,lollipop,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b35963c3843f676a1e66ec48b44ef480,lollipop,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_f0ffbcf97583bbe0209b886ea6669fb0,lollipop,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Chicago,VirusShare_f0ffbcf97583bbe0209b886ea6669fb0,lollipop,United States,2014,-87.6298,US,USA,23.212.53.221,41.8781,0
Redmond,VirusShare_f0ffbcf97583bbe0209b886ea6669fb0,lollipop,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_f0ffbcf97583bbe0209b886ea6669fb0,lollipop,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b39eeeb6fa69a75a418a9107bd102510,lollipop,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b39eeeb6fa69a75a418a9107bd102510,lollipop,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b39eeeb6fa69a75a418a9107bd102510,lollipop,United States,2014,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_b39eeeb6fa69a75a418a9107bd102510,lollipop,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_324c1bc6341321bb9b12940f38437a50,lollipop,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_324c1bc6341321bb9b12940f38437a50,lollipop,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
