city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_363a1d8a02a64eb63c34137c9dbf3cd7,mabezat,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_363a1d8a02a64eb63c34137c9dbf3cd7,mabezat,United States,2014,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_363a1d8a02a64eb63c34137c9dbf3cd7,mabezat,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Chicago,VirusShare_bf3bec87cc4c42a38f4be5fc63a4910e,mabezat,United States,2013,-87.6298,US,USA,23.212.53.221,41.8781,0
Redmond,VirusShare_bf3bec87cc4c42a38f4be5fc63a4910e,mabezat,United States,2013,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bf3bec87cc4c42a38f4be5fc63a4910e,mabezat,United States,2013,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_3a92aee98dcea65438fab7315a3e9a40,mabezat,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_3a92aee98dcea65438fab7315a3e9a40,mabezat,United States,2014,-96.797,US,USA,96.16.7.80,32.7767,0
Redmond,VirusShare_3a92aee98dcea65438fab7315a3e9a40,mabezat,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_3a92aee98dcea65438fab7315a3e9a40,mabezat,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b4e12deed5e7d98764fdd4eca8ae9410,mabezat,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_b4e12deed5e7d98764fdd4eca8ae9410,mabezat,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_b4e12deed5e7d98764fdd4eca8ae9410,mabezat,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b4e12deed5e7d98764fdd4eca8ae9410,mabezat,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b347348aad8685ce7b10d263c22e4db0,mabezat,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_b347348aad8685ce7b10d263c22e4db0,mabezat,United States,2014,-96.797,US,USA,96.16.7.83,32.7767,0
Redmond,VirusShare_b347348aad8685ce7b10d263c22e4db0,mabezat,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b347348aad8685ce7b10d263c22e4db0,mabezat,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_e3ce3126bea569a7ba62391bc8178ed0,mabezat,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_e3ce3126bea569a7ba62391bc8178ed0,mabezat,United States,2014,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_e3ce3126bea569a7ba62391bc8178ed0,mabezat,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_738d7b05d87f9d9a0701eb1a58550d90,mabezat,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_738d7b05d87f9d9a0701eb1a58550d90,mabezat,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_738d7b05d87f9d9a0701eb1a58550d90,mabezat,United States,2014,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_738d7b05d87f9d9a0701eb1a58550d90,mabezat,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bb32ce24d4180074a98f6a55817c59e0,mabezat,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_bb32ce24d4180074a98f6a55817c59e0,mabezat,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_bb32ce24d4180074a98f6a55817c59e0,mabezat,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bb32ce24d4180074a98f6a55817c59e0,mabezat,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b8d28a4bd05abbda7a8ffc40c9d823f0,mabezat,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_b8d28a4bd05abbda7a8ffc40c9d823f0,mabezat,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_b8d28a4bd05abbda7a8ffc40c9d823f0,mabezat,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b8d28a4bd05abbda7a8ffc40c9d823f0,mabezat,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
