city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Newark,VirusShare_e103d99f02e1eac70918573c07b64429,medfos,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_e103d99f02e1eac70918573c07b64429,medfos,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_e103d99f02e1eac70918573c07b64429,medfos,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_e103d99f02e1eac70918573c07b64429,medfos,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Dallas,VirusShare_f03bf84c541b6e9dc445953bcfc5fffc,medfos,United States,2014,-96.797,US,USA,96.17.177.24,32.7767,0
Newark,VirusShare_f03bf84c541b6e9dc445953bcfc5fffc,medfos,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_f03bf84c541b6e9dc445953bcfc5fffc,medfos,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_f03bf84c541b6e9dc445953bcfc5fffc,medfos,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b4e53800707e2f3b4d1f656fb5a64d20,medfos,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b4e53800707e2f3b4d1f656fb5a64d20,medfos,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_b4e53800707e2f3b4d1f656fb5a64d20,medfos,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_b4e53800707e2f3b4d1f656fb5a64d20,medfos,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_db3e9c81af743c7fc9904c740d733537,medfos,United States,2013,-122.128,US,USA,131.107.255.255,47.6393,0
Ashburn,VirusShare_db3e9c81af743c7fc9904c740d733537,medfos,United States,2013,-77.4874,US,USA,184.26.93.81,39.0438,0
Mountain View,VirusShare_db3e9c81af743c7fc9904c740d733537,medfos,United States,2013,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_e015242d7d9e0f934d7e490bd7221744,medfos,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_e015242d7d9e0f934d7e490bd7221744,medfos,United States,2014,-96.797,US,USA,184.24.98.184,32.7767,0
New York,VirusShare_e015242d7d9e0f934d7e490bd7221744,medfos,United States,2014,-74.0059,US,USA,204.79.197.200,40.7128,0
Redmond,VirusShare_e015242d7d9e0f934d7e490bd7221744,medfos,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_e015242d7d9e0f934d7e490bd7221744,medfos,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_baa26ee73607abe19e6f52fb60aded47,medfos,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_baa26ee73607abe19e6f52fb60aded47,medfos,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_baa26ee73607abe19e6f52fb60aded47,medfos,United States,2014,-96.797,US,USA,96.17.177.18,32.7767,0
Mountain View,VirusShare_baa26ee73607abe19e6f52fb60aded47,medfos,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_e0a9b842570eec45984471fcf0244f90,medfos,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_e0a9b842570eec45984471fcf0244f90,medfos,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_e0a9b842570eec45984471fcf0244f90,medfos,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_e0a9b842570eec45984471fcf0244f90,medfos,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_ba3b84ef4da72a16153a05fb60382852,medfos,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_ba3b84ef4da72a16153a05fb60382852,medfos,United States,2014,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_ba3b84ef4da72a16153a05fb60382852,medfos,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_ba3b84ef4da72a16153a05fb60382852,medfos,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b84e8ed0ced3403fc31ff19c94c47cb0,medfos,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b84e8ed0ced3403fc31ff19c94c47cb0,medfos,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b84e8ed0ced3403fc31ff19c94c47cb0,medfos,United States,2014,-96.797,US,USA,23.218.156.26,32.7767,0
Mountain View,VirusShare_b84e8ed0ced3403fc31ff19c94c47cb0,medfos,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_ba90a34155d6931f9e768c8caf4ce256,medfos,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_ba90a34155d6931f9e768c8caf4ce256,medfos,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_ba90a34155d6931f9e768c8caf4ce256,medfos,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_ba90a34155d6931f9e768c8caf4ce256,medfos,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_be3b27b422a7b4ff1700d8bb571ffa00,medfos,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_be3b27b422a7b4ff1700d8bb571ffa00,medfos,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_be3b27b422a7b4ff1700d8bb571ffa00,medfos,United States,2014,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_be3b27b422a7b4ff1700d8bb571ffa00,medfos,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b82a2a9e003866bfbd9b9b82952680d0,medfos,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b82a2a9e003866bfbd9b9b82952680d0,medfos,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b82a2a9e003866bfbd9b9b82952680d0,medfos,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Dallas,VirusShare_b82a2a9e003866bfbd9b9b82952680d0,medfos,United States,2014,-96.797,US,USA,184.24.98.232,32.7767,0
Redmond,VirusShare_ba66ece1c266f7faf15bd84512eba304,medfos,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_ba66ece1c266f7faf15bd84512eba304,medfos,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_ba66ece1c266f7faf15bd84512eba304,medfos,United States,2014,-96.797,US,USA,23.67.252.18,32.7767,0
Mountain View,VirusShare_ba66ece1c266f7faf15bd84512eba304,medfos,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_ba0d7b4f9b00b325af349d032d0f8340,medfos,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_ba0d7b4f9b00b325af349d032d0f8340,medfos,United States,2014,-96.797,US,USA,96.16.7.83,32.7767,0
Redmond,VirusShare_ba0d7b4f9b00b325af349d032d0f8340,medfos,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_ba0d7b4f9b00b325af349d032d0f8340,medfos,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_e2c96231e8876418b9977879ece19950,medfos,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_e2c96231e8876418b9977879ece19950,medfos,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Ashburn,VirusShare_e2c96231e8876418b9977879ece19950,medfos,United States,2014,-77.4874,US,USA,184.26.93.58,39.0438,0
Redmond,VirusShare_3242ea48d8575052b0d9a00b191e2f20,medfos,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_3242ea48d8575052b0d9a00b191e2f20,medfos,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_3242ea48d8575052b0d9a00b191e2f20,medfos,United States,2014,-96.797,US,USA,23.67.252.18,32.7767,0
Mountain View,VirusShare_3242ea48d8575052b0d9a00b191e2f20,medfos,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b841e65705408cd35906b0367ef06510,medfos,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_b841e65705408cd35906b0367ef06510,medfos,United States,2014,-96.797,US,USA,96.16.7.80,32.7767,0
Redmond,VirusShare_b841e65705408cd35906b0367ef06510,medfos,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b841e65705408cd35906b0367ef06510,medfos,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b80dea1116578bab34cb64265688dc50,medfos,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_b80dea1116578bab34cb64265688dc50,medfos,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
