city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_3330c48efa8d98c1764c37ab4f6dac10,megasearch,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_3330c48efa8d98c1764c37ab4f6dac10,megasearch,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Redmond,VirusShare_3330c48efa8d98c1764c37ab4f6dac10,megasearch,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_3330c48efa8d98c1764c37ab4f6dac10,megasearch,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_787dc1bf82df4b8d0a85578c78c95f90,megasearch,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_787dc1bf82df4b8d0a85578c78c95f90,megasearch,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_bd9ab1db4c84787d4a09783e8ca473e0,megasearch,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_bd9ab1db4c84787d4a09783e8ca473e0,megasearch,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_bd9ab1db4c84787d4a09783e8ca473e0,megasearch,United States,2014,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_bd9ab1db4c84787d4a09783e8ca473e0,megasearch,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Dallas,VirusShare_e26ef4b73d5c7fed0b14aae9111e9ba0,megasearch,United States,2014,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_e26ef4b73d5c7fed0b14aae9111e9ba0,megasearch,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_e26ef4b73d5c7fed0b14aae9111e9ba0,megasearch,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Dallas,VirusShare_dc6923a835f85cf19bcb22cbb9d3ff80,megasearch,United States,2014,-96.797,US,USA,23.67.253.171,32.7767,0
Redmond,VirusShare_dc6923a835f85cf19bcb22cbb9d3ff80,megasearch,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_dc6923a835f85cf19bcb22cbb9d3ff80,megasearch,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bafb3f59566eb6e05a2b1d8af3f7ddc0,megasearch,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_bafb3f59566eb6e05a2b1d8af3f7ddc0,megasearch,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_bafb3f59566eb6e05a2b1d8af3f7ddc0,megasearch,United States,2014,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_bafb3f59566eb6e05a2b1d8af3f7ddc0,megasearch,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_bbf311fbb15390527722ff0ff0d82920,megasearch,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_bbf311fbb15390527722ff0ff0d82920,megasearch,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_bbf311fbb15390527722ff0ff0d82920,megasearch,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_bbf311fbb15390527722ff0ff0d82920,megasearch,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
