city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Chicago,VirusShare_72bd776c2dc8b45421763a615ee1141c,mydoom,United States,2014,-87.6298,US,USA,23.212.53.214,41.8781,0
Redmond,VirusShare_72bd776c2dc8b45421763a615ee1141c,mydoom,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_72bd776c2dc8b45421763a615ee1141c,mydoom,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_3e9739d8514fe7e607b337872cafe800,mydoom,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Mountain View,VirusShare_3e9739d8514fe7e607b337872cafe800,mydoom,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Washington,VirusShare_3e9739d8514fe7e607b337872cafe800,mydoom,United States,2017,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_3e9739d8514fe7e607b337872cafe800,mydoom,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Redmond,VirusShare_bb1b21d3bf76b505c5953ac1a48cc3f0,mydoom,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Munich,VirusShare_bb1b21d3bf76b505c5953ac1a48cc3f0,mydoom,Germany,2015,11.5842,DE,DEU,185.53.178.6,48.1333,0
Dallas,VirusShare_bb1b21d3bf76b505c5953ac1a48cc3f0,mydoom,United States,2015,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_bb1b21d3bf76b505c5953ac1a48cc3f0,mydoom,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bb1b21d3bf76b505c5953ac1a48cc3f0,mydoom,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_7669929a0f32d22e0b6f570e77d2b534,mydoom,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_7669929a0f32d22e0b6f570e77d2b534,mydoom,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_7669929a0f32d22e0b6f570e77d2b534,mydoom,United States,2014,-96.797,US,USA,96.17.177.18,32.7767,0
Mountain View,VirusShare_7669929a0f32d22e0b6f570e77d2b534,mydoom,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b37020b610a24dd85df60194d6dd730e,mydoom,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b37020b610a24dd85df60194d6dd730e,mydoom,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b37020b610a24dd85df60194d6dd730e,mydoom,United States,2014,-96.797,US,USA,96.16.7.83,32.7767,0
Mountain View,VirusShare_b37020b610a24dd85df60194d6dd730e,mydoom,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Munich,VirusShare_b37020b610a24dd85df60194d6dd730e,mydoom,Germany,2014,11.5842,DE,DEU,185.53.178.6,48.1333,0
Newark,VirusShare_e1a1705c33be27e3149254401644a570,mydoom,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_e1a1705c33be27e3149254401644a570,mydoom,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_e1a1705c33be27e3149254401644a570,mydoom,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_e1a1705c33be27e3149254401644a570,mydoom,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b68a1e738d581fc558583600e40191f0,mydoom,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_b68a1e738d581fc558583600e40191f0,mydoom,United States,2015,-77.0369,US,USA,23.2.17.246,38.9072,0
Mountain View,VirusShare_b68a1e738d581fc558583600e40191f0,mydoom,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_f16001237a49d73ad7264cea16d8b320,mydoom,United States,2016,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_f16001237a49d73ad7264cea16d8b320,mydoom,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_f16001237a49d73ad7264cea16d8b320,mydoom,United States,2016,-96.797,US,USA,23.67.252.18,32.7767,0
Mountain View,VirusShare_f16001237a49d73ad7264cea16d8b320,mydoom,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Los Angeles,VirusShare_cbfa142ca7685c42e95cf21691a80586,mydoom,United States,2012,-118.257,US,USA,69.172.201.153,34.0473,0
Redmond,VirusShare_cbfa142ca7685c42e95cf21691a80586,mydoom,United States,2012,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_cbfa142ca7685c42e95cf21691a80586,mydoom,United States,2012,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_3c00e349298de2dae4a8773854fca360,mydoom,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Los Angeles,VirusShare_3c00e349298de2dae4a8773854fca360,mydoom,United States,2017,-118.257,US,USA,69.172.201.153,34.0473,0
Mountain View,VirusShare_3c00e349298de2dae4a8773854fca360,mydoom,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_3c00e349298de2dae4a8773854fca360,mydoom,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Ashburn,VirusShare_3c00e349298de2dae4a8773854fca360,mydoom,United States,2017,-77.4874,US,USA,184.26.93.58,39.0438,0
Newark,VirusShare_34a6c22af48f273ed1341e0b8fbe09d0,mydoom,United States,2015,-74.1724,US,USA,157.56.144.215,40.7357,0
Mountain View,VirusShare_34a6c22af48f273ed1341e0b8fbe09d0,mydoom,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_34a6c22af48f273ed1341e0b8fbe09d0,mydoom,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_34a6c22af48f273ed1341e0b8fbe09d0,mydoom,United States,2015,-96.797,US,USA,23.67.252.11,32.7767,0
Redmond,VirusShare_3c9daba6d6ea9ee74fc40c13643fb960,mydoom,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_3c9daba6d6ea9ee74fc40c13643fb960,mydoom,United States,2014,-96.797,US,USA,23.67.252.19,32.7767,0
Munich,VirusShare_3c9daba6d6ea9ee74fc40c13643fb960,mydoom,Germany,2014,11.5842,DE,DEU,185.53.178.6,48.1333,0
Redmond,VirusShare_3c9daba6d6ea9ee74fc40c13643fb960,mydoom,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
