city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_ba3ff2094e2c5e0216c1472ee480472d,onlinegames,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_ba3ff2094e2c5e0216c1472ee480472d,onlinegames,United States,2014,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_ba3ff2094e2c5e0216c1472ee480472d,onlinegames,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_ba3ff2094e2c5e0216c1472ee480472d,onlinegames,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_dc5f837d8d5d554046c52167823af230,onlinegames,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_dc5f837d8d5d554046c52167823af230,onlinegames,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Ashburn,VirusShare_dc5f837d8d5d554046c52167823af230,onlinegames,United States,2014,-77.4874,US,USA,184.26.93.58,39.0438,0
Mountain View,VirusShare_74435476b7fda7aa81d1dcf931ad41d3,onlinegames,United States,2013,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b351b41ef2e60249698930ef5acc6b70,onlinegames,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b351b41ef2e60249698930ef5acc6b70,onlinegames,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_b351b41ef2e60249698930ef5acc6b70,onlinegames,United States,2015,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_b351b41ef2e60249698930ef5acc6b70,onlinegames,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_76ba407be4a8750ea5a7f3057d960a2e,onlinegames,United States,2013,-122.139,US,USA,65.55.158.118,47.6475,0
Mountain View,VirusShare_76ba407be4a8750ea5a7f3057d960a2e,onlinegames,United States,2013,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_76ba407be4a8750ea5a7f3057d960a2e,onlinegames,United States,2013,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_76ba407be4a8750ea5a7f3057d960a2e,onlinegames,United States,2013,-96.797,US,USA,23.72.136.130,32.7767,0
