city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_246f6fd441161595973b722864f5dc66,outbrowse,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_246f6fd441161595973b722864f5dc66,outbrowse,United States,2017,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_246f6fd441161595973b722864f5dc66,outbrowse,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_246f6fd441161595973b722864f5dc66,outbrowse,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_1f894aa8dd7c8965c14015eed3d98b74,outbrowse,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_1f894aa8dd7c8965c14015eed3d98b74,outbrowse,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_1f894aa8dd7c8965c14015eed3d98b74,outbrowse,United States,2017,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_1f894aa8dd7c8965c14015eed3d98b74,outbrowse,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_ce22a0b9a2253269bc85df94dc8675f2,outbrowse,United States,2016,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_ce22a0b9a2253269bc85df94dc8675f2,outbrowse,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_ce22a0b9a2253269bc85df94dc8675f2,outbrowse,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Ashburn,VirusShare_ce22a0b9a2253269bc85df94dc8675f2,outbrowse,United States,2016,-77.4874,US,USA,184.26.93.58,39.0438,0
Redmond,VirusShare_78139b694d54f46eb06d98d3e6f730d1,outbrowse,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_78139b694d54f46eb06d98d3e6f730d1,outbrowse,United States,2015,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_78139b694d54f46eb06d98d3e6f730d1,outbrowse,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_78139b694d54f46eb06d98d3e6f730d1,outbrowse,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_af48a856629b2d7ededa22d9cbc6466f,outbrowse,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_af48a856629b2d7ededa22d9cbc6466f,outbrowse,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Ashburn,VirusShare_af48a856629b2d7ededa22d9cbc6466f,outbrowse,United States,2015,-77.4874,US,USA,184.26.93.48,39.0438,0
Mountain View,VirusShare_af48a856629b2d7ededa22d9cbc6466f,outbrowse,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_cb1fd596fa8b11dbade7b505a9c8475f,outbrowse,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_cb1fd596fa8b11dbade7b505a9c8475f,outbrowse,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Mountain View,VirusShare_02d2bf31c7f902d24ad97fc7209567e0,outbrowse,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_edc3a0f0df822a1ac4da1104d0a21a3d,outbrowse,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_edc3a0f0df822a1ac4da1104d0a21a3d,outbrowse,United States,2015,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_edc3a0f0df822a1ac4da1104d0a21a3d,outbrowse,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_edc3a0f0df822a1ac4da1104d0a21a3d,outbrowse,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_7aa662b4887c9267444d12cace9aa54c,outbrowse,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
