city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Newark,VirusShare_bd38ec9cf16b7799368d8b0f3213d1d5,palevo,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_bd38ec9cf16b7799368d8b0f3213d1d5,palevo,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_bd38ec9cf16b7799368d8b0f3213d1d5,palevo,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bd38ec9cf16b7799368d8b0f3213d1d5,palevo,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b227db921d0aa15b8d8e5fae9c5c20b0,palevo,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Atlanta,VirusShare_b227db921d0aa15b8d8e5fae9c5c20b0,palevo,United States,2014,-84.388,US,USA,23.72.137.81,33.749,0
Mountain View,VirusShare_b227db921d0aa15b8d8e5fae9c5c20b0,palevo,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_e2bf45167a4a7598dd0afa30ac10dc32,palevo,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Ashburn,VirusShare_e2bf45167a4a7598dd0afa30ac10dc32,palevo,United States,2014,-77.4874,US,USA,184.26.93.81,39.0438,0
Mountain View,VirusShare_e2bf45167a4a7598dd0afa30ac10dc32,palevo,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b3619ee816b43851596ee944edeef407,palevo,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_b3619ee816b43851596ee944edeef407,palevo,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Road Town,VirusShare_b3619ee816b43851596ee944edeef407,palevo,British Virgin Islands,2014,-64.5,VG,VGB,208.91.197.46,18.5,0
Redmond,VirusShare_b3619ee816b43851596ee944edeef407,palevo,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b3619ee816b43851596ee944edeef407,palevo,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Mountain View,VirusShare_cb0ef5106aec22a8b4ccf25d969088f0,palevo,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_7464168219ca7d07722b5baedf4be930,palevo,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_7464168219ca7d07722b5baedf4be930,palevo,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_7464168219ca7d07722b5baedf4be930,palevo,United States,2014,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_7464168219ca7d07722b5baedf4be930,palevo,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_e0510f360c335ae409f61b75e148d5d0,palevo,United States,2015,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_e0510f360c335ae409f61b75e148d5d0,palevo,United States,2015,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_e0510f360c335ae409f61b75e148d5d0,palevo,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
