city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Newark,VirusShare_f091b6c163a856fc25a52c0412ed8fe0,parite,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_f091b6c163a856fc25a52c0412ed8fe0,parite,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Mountain View,VirusShare_f091b6c163a856fc25a52c0412ed8fe0,parite,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b6a63df5f963a80f708e90d8a8b18190,parite,United States,2016,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b6a63df5f963a80f708e90d8a8b18190,parite,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b6a63df5f963a80f708e90d8a8b18190,parite,United States,2016,-96.797,US,USA,23.218.156.26,32.7767,0
Mountain View,VirusShare_b6a63df5f963a80f708e90d8a8b18190,parite,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_32c820311537c8d819d35564e47a5ec0,parite,United States,2015,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_32c820311537c8d819d35564e47a5ec0,parite,United States,2015,-77.0369,US,USA,23.2.17.179,38.9072,0
Mountain View,VirusShare_32c820311537c8d819d35564e47a5ec0,parite,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_7646365fc81cb1d102899373bf997d20,parite,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_7646365fc81cb1d102899373bf997d20,parite,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_7646365fc81cb1d102899373bf997d20,parite,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_7646365fc81cb1d102899373bf997d20,parite,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_3a6061f3a3b25f480604bc9afecdf660,parite,United States,2015,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_3a6061f3a3b25f480604bc9afecdf660,parite,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Paris,VirusShare_3a6061f3a3b25f480604bc9afecdf660,parite,France,2015,2.35222,FR,FRA,23.219.160.91,48.8566,0
Mountain View,VirusShare_3a6061f3a3b25f480604bc9afecdf660,parite,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_be566f4e199168c78ba5b86ea293a9d0,parite,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_be566f4e199168c78ba5b86ea293a9d0,parite,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Mountain View,VirusShare_be566f4e199168c78ba5b86ea293a9d0,parite,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_be6dcc7d405e4c1e77fb465e0e93439c,parite,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Paris,VirusShare_be6dcc7d405e4c1e77fb465e0e93439c,parite,France,2014,2.35222,FR,FRA,23.219.160.65,48.8566,0
Mountain View,VirusShare_be6dcc7d405e4c1e77fb465e0e93439c,parite,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
