city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_bf94343986b38ec1a4d71658ba9f6048,patchload,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_bf94343986b38ec1a4d71658ba9f6048,patchload,United States,2014,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_bf94343986b38ec1a4d71658ba9f6048,patchload,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b305b4260c8130ffe155113c5e179029,patchload,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b305b4260c8130ffe155113c5e179029,patchload,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b305b4260c8130ffe155113c5e179029,patchload,United States,2014,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_b305b4260c8130ffe155113c5e179029,patchload,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_33dbd9dcc4d512415afe68a6cecd39a7,patchload,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_33dbd9dcc4d512415afe68a6cecd39a7,patchload,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_33dbd9dcc4d512415afe68a6cecd39a7,patchload,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_33dbd9dcc4d512415afe68a6cecd39a7,patchload,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_be46e9ac320749d1169d233b198aa7ab,patchload,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_be46e9ac320749d1169d233b198aa7ab,patchload,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_be46e9ac320749d1169d233b198aa7ab,patchload,United States,2014,-96.797,US,USA,23.67.252.18,32.7767,0
Mountain View,VirusShare_be46e9ac320749d1169d233b198aa7ab,patchload,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_ba97b8ff28a922c18dd51eee7dda59b0,patchload,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_ba97b8ff28a922c18dd51eee7dda59b0,patchload,United States,2014,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_ba97b8ff28a922c18dd51eee7dda59b0,patchload,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_bddb6834ed216a46170322229e3f747e,patchload,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_bddb6834ed216a46170322229e3f747e,patchload,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Redmond,VirusShare_bddb6834ed216a46170322229e3f747e,patchload,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bddb6834ed216a46170322229e3f747e,patchload,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bac25658f2d911bba238d031f4740991,patchload,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_bac25658f2d911bba238d031f4740991,patchload,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_bac25658f2d911bba238d031f4740991,patchload,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_bac25658f2d911bba238d031f4740991,patchload,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_e113a79a97fde239dd38294d6f20c8d8,patchload,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_e113a79a97fde239dd38294d6f20c8d8,patchload,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_e113a79a97fde239dd38294d6f20c8d8,patchload,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_e113a79a97fde239dd38294d6f20c8d8,patchload,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_f05f51fd1e90f1ba30ca828f6f09a2c6,patchload,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Dallas,VirusShare_f05f51fd1e90f1ba30ca828f6f09a2c6,patchload,United States,2014,-96.797,US,USA,96.16.7.83,32.7767,0
Redmond,VirusShare_f05f51fd1e90f1ba30ca828f6f09a2c6,patchload,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_f05f51fd1e90f1ba30ca828f6f09a2c6,patchload,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b448832bad1373fa7279ed4854760147,patchload,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b448832bad1373fa7279ed4854760147,patchload,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b448832bad1373fa7279ed4854760147,patchload,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Ashburn,VirusShare_b448832bad1373fa7279ed4854760147,patchload,United States,2014,-77.4874,US,USA,184.26.93.58,39.0438,0
