city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_ff5be1fc4878c4819bb1f366fb7ebb50,phish,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_ff5be1fc4878c4819bb1f366fb7ebb50,phish,United States,2017,-96.797,US,USA,23.67.252.32,32.7767,0
New York,VirusShare_ff5be1fc4878c4819bb1f366fb7ebb50,phish,United States,2017,-74.0059,US,USA,13.107.21.200,40.7128,0
Redmond,VirusShare_ff5be1fc4878c4819bb1f366fb7ebb50,phish,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_ff5be1fc4878c4819bb1f366fb7ebb50,phish,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_52538f8b78406301b980b6701599604c,phish,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
New York,VirusShare_52538f8b78406301b980b6701599604c,phish,United States,2017,-74.0059,US,USA,204.79.197.200,40.7128,0
Redmond,VirusShare_52538f8b78406301b980b6701599604c,phish,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_52538f8b78406301b980b6701599604c,phish,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Ashburn,VirusShare_52538f8b78406301b980b6701599604c,phish,United States,2017,-77.4874,US,USA,184.26.93.58,39.0438,0
Redmond,VirusShare_fafcc1243285ebce54672199d100c39a,phish,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
New York,VirusShare_fafcc1243285ebce54672199d100c39a,phish,United States,2017,-74.0059,US,USA,13.107.21.200,40.7128,0
Redmond,VirusShare_fafcc1243285ebce54672199d100c39a,phish,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_fafcc1243285ebce54672199d100c39a,phish,United States,2017,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_fafcc1243285ebce54672199d100c39a,phish,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_15e68bc6e7dba207cc3b90954ce1b261,phish,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
New York,VirusShare_15e68bc6e7dba207cc3b90954ce1b261,phish,United States,2017,-74.0059,US,USA,13.107.21.200,40.7128,0
Redmond,VirusShare_15e68bc6e7dba207cc3b90954ce1b261,phish,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Ashburn,VirusShare_15e68bc6e7dba207cc3b90954ce1b261,phish,United States,2017,-77.4874,US,USA,184.26.93.48,39.0438,0
Mountain View,VirusShare_15e68bc6e7dba207cc3b90954ce1b261,phish,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_60221c4f42f3091496f638bd578efc98,phish,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_60221c4f42f3091496f638bd578efc98,phish,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_60221c4f42f3091496f638bd578efc98,phish,United States,2017,-96.797,US,USA,23.67.252.18,32.7767,0
Mountain View,VirusShare_60221c4f42f3091496f638bd578efc98,phish,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_186cfb450fb72c0645e3d0e2a675f00c,phish,United States,2016,-122.139,US,USA,65.55.158.118,47.6475,0
