city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_f6938b6e9d16ea9619ededdf6a67f2e4,phishing,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_f6938b6e9d16ea9619ededdf6a67f2e4,phishing,United States,2017,-96.797,US,USA,96.16.7.80,32.7767,0
Redmond,VirusShare_f6938b6e9d16ea9619ededdf6a67f2e4,phishing,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_f6938b6e9d16ea9619ededdf6a67f2e4,phishing,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_6b6e1978eee713126bfcf0c0167d3a29,phishing,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
New York,VirusShare_6b6e1978eee713126bfcf0c0167d3a29,phishing,United States,2017,-74.0059,US,USA,204.79.197.200,40.7128,0
Dallas,VirusShare_6b6e1978eee713126bfcf0c0167d3a29,phishing,United States,2017,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_6b6e1978eee713126bfcf0c0167d3a29,phishing,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_6b6e1978eee713126bfcf0c0167d3a29,phishing,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_34a7c2f7b5b8b12a3b4df9add2d86046,phishing,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
New York,VirusShare_34a7c2f7b5b8b12a3b4df9add2d86046,phishing,United States,2017,-74.0059,US,USA,204.79.197.200,40.7128,0
Redmond,VirusShare_34a7c2f7b5b8b12a3b4df9add2d86046,phishing,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_34a7c2f7b5b8b12a3b4df9add2d86046,phishing,United States,2017,-96.797,US,USA,23.67.252.18,32.7767,0
Mountain View,VirusShare_34a7c2f7b5b8b12a3b4df9add2d86046,phishing,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_a3e33b3cc8f7b77c25a04d8a12c089d1,phishing,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_a3e33b3cc8f7b77c25a04d8a12c089d1,phishing,United States,2017,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_a3e33b3cc8f7b77c25a04d8a12c089d1,phishing,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_a3e33b3cc8f7b77c25a04d8a12c089d1,phishing,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_e9521c089f308415575a9b315eb75309,phishing,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
New York,VirusShare_e9521c089f308415575a9b315eb75309,phishing,United States,2017,-74.0059,US,USA,204.79.197.200,40.7128,0
Redmond,VirusShare_e9521c089f308415575a9b315eb75309,phishing,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_e9521c089f308415575a9b315eb75309,phishing,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Ashburn,VirusShare_e9521c089f308415575a9b315eb75309,phishing,United States,2017,-77.4874,US,USA,184.26.93.58,39.0438,0
Redmond,VirusShare_818a5296387673bcf93c9eab77b48b8f,phishing,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
New York,VirusShare_818a5296387673bcf93c9eab77b48b8f,phishing,United States,2017,-74.0059,US,USA,13.107.21.200,40.7128,0
Redmond,VirusShare_818a5296387673bcf93c9eab77b48b8f,phishing,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_818a5296387673bcf93c9eab77b48b8f,phishing,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Ashburn,VirusShare_818a5296387673bcf93c9eab77b48b8f,phishing,United States,2017,-77.4874,US,USA,184.26.93.58,39.0438,0
Redmond,VirusShare_a5bb09804b28975893bd5b4e25f3b578,phishing,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_a5bb09804b28975893bd5b4e25f3b578,phishing,United States,2017,-96.797,US,USA,96.16.7.80,32.7767,0
Redmond,VirusShare_a5bb09804b28975893bd5b4e25f3b578,phishing,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_a5bb09804b28975893bd5b4e25f3b578,phishing,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_0781e9b01b1c9ae3252d6164f75608a2,phishing,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_0781e9b01b1c9ae3252d6164f75608a2,phishing,United States,2017,-77.0369,US,USA,23.2.17.246,38.9072,0
New York,VirusShare_0781e9b01b1c9ae3252d6164f75608a2,phishing,United States,2017,-74.0059,US,USA,204.79.197.200,40.7128,0
Redmond,VirusShare_0781e9b01b1c9ae3252d6164f75608a2,phishing,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
