city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_b412c862579092f06defdd8824baabc0,picsys,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b412c862579092f06defdd8824baabc0,picsys,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_b412c862579092f06defdd8824baabc0,picsys,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_b412c862579092f06defdd8824baabc0,picsys,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Mountain View,VirusShare_befdfb7a8337d70852a13b332a7b4ad0,picsys,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Ashburn,VirusShare_befdfb7a8337d70852a13b332a7b4ad0,picsys,United States,2014,-77.4874,US,USA,184.26.93.58,39.0438,0
Redmond,VirusShare_3e281be587dc5a97094c202b529ae900,picsys,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_3e281be587dc5a97094c202b529ae900,picsys,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_3e281be587dc5a97094c202b529ae900,picsys,United States,2014,-77.0369,US,USA,184.25.63.41,38.9072,0
Mountain View,VirusShare_3e281be587dc5a97094c202b529ae900,picsys,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_e07f31931604513fd783fc066cccc550,picsys,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_e07f31931604513fd783fc066cccc550,picsys,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_e07f31931604513fd783fc066cccc550,picsys,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_e07f31931604513fd783fc066cccc550,picsys,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_ba9fd3ed275caf0435968a8dabdbeee9,picsys,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_ba9fd3ed275caf0435968a8dabdbeee9,picsys,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_ba9fd3ed275caf0435968a8dabdbeee9,picsys,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_ba9fd3ed275caf0435968a8dabdbeee9,picsys,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_cc2c9657d3bab99d960c17d9dce0f26a,picsys,United States,2013,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_cc2c9657d3bab99d960c17d9dce0f26a,picsys,United States,2013,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b2484ebe7a9f2e558954e74eee0cc960,picsys,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b2484ebe7a9f2e558954e74eee0cc960,picsys,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
