city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_54b23442eccf8f6eed7ab372b6c77cf3,redir,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
New York,VirusShare_54b23442eccf8f6eed7ab372b6c77cf3,redir,United States,2017,-74.0059,US,USA,204.79.197.200,40.7128,0
Redmond,VirusShare_54b23442eccf8f6eed7ab372b6c77cf3,redir,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_54b23442eccf8f6eed7ab372b6c77cf3,redir,United States,2017,-96.797,US,USA,23.218.156.26,32.7767,0
Mountain View,VirusShare_54b23442eccf8f6eed7ab372b6c77cf3,redir,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_c756954c7c98e2c4ab501880683d2cc9,redir,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_c756954c7c98e2c4ab501880683d2cc9,redir,United States,2017,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_c756954c7c98e2c4ab501880683d2cc9,redir,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_c756954c7c98e2c4ab501880683d2cc9,redir,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_83c15a8633c18c5777d5a04820b69470,redir,United States,2016,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_83c15a8633c18c5777d5a04820b69470,redir,United States,2016,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_83c15a8633c18c5777d5a04820b69470,redir,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_83c15a8633c18c5777d5a04820b69470,redir,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_fb41ba11f911e69565343ebc20466213,redir,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_fb41ba11f911e69565343ebc20466213,redir,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_fb41ba11f911e69565343ebc20466213,redir,United States,2017,-96.797,US,USA,23.67.252.19,32.7767,0
