city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Newark,VirusShare_bd124e570087972394fa6ccbc91dd9b1,renos,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_bd124e570087972394fa6ccbc91dd9b1,renos,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_bd124e570087972394fa6ccbc91dd9b1,renos,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bd124e570087972394fa6ccbc91dd9b1,renos,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bb90149784f78b837e5aaa7458bb8edc,renos,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_bb90149784f78b837e5aaa7458bb8edc,renos,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_bb90149784f78b837e5aaa7458bb8edc,renos,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_bb90149784f78b837e5aaa7458bb8edc,renos,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_e2e15888d07edb13ab273e5bd81dc073,renos,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Ashburn,VirusShare_e2e15888d07edb13ab273e5bd81dc073,renos,United States,2014,-77.4874,US,USA,184.26.93.81,39.0438,0
Mountain View,VirusShare_e2e15888d07edb13ab273e5bd81dc073,renos,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b81e434ca9a932b114b4523274522e85,renos,United States,2016,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_b81e434ca9a932b114b4523274522e85,renos,United States,2016,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_b81e434ca9a932b114b4523274522e85,renos,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b81e434ca9a932b114b4523274522e85,renos,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b1b29af52eefb6e2e202d20b35bc63de,renos,United States,2013,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b1b29af52eefb6e2e202d20b35bc63de,renos,United States,2013,-122.085,US,USA,8.8.8.8,37.4229,0
Ashburn,VirusShare_b1b29af52eefb6e2e202d20b35bc63de,renos,United States,2013,-77.4874,US,USA,184.26.93.58,39.0438,0
Newark,VirusShare_7817c4a81b5f254a661a6ebd9146a1fe,renos,United States,2016,-74.1724,US,USA,157.56.144.215,40.7357,0
Mountain View,VirusShare_7817c4a81b5f254a661a6ebd9146a1fe,renos,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Washington,VirusShare_7817c4a81b5f254a661a6ebd9146a1fe,renos,United States,2016,-77.0369,US,USA,23.2.17.179,38.9072,0
Redmond,VirusShare_7817c4a81b5f254a661a6ebd9146a1fe,renos,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Newark,VirusShare_f102741a36ace7f4902fd893c86de8bf,renos,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_f102741a36ace7f4902fd893c86de8bf,renos,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_f102741a36ace7f4902fd893c86de8bf,renos,United States,2014,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_f102741a36ace7f4902fd893c86de8bf,renos,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_795155529be91def6bc36d49f2840d80,renos,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_795155529be91def6bc36d49f2840d80,renos,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_795155529be91def6bc36d49f2840d80,renos,United States,2014,-96.797,US,USA,23.218.156.26,32.7767,0
Mountain View,VirusShare_795155529be91def6bc36d49f2840d80,renos,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Chicago,VirusShare_cbbbbf362694709c2901ffbbf91a6c62,renos,United States,2015,-87.6298,US,USA,23.212.53.214,41.8781,0
Redmond,VirusShare_cbbbbf362694709c2901ffbbf91a6c62,renos,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_cbbbbf362694709c2901ffbbf91a6c62,renos,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b68d05db3bb56dca6f9f8f8188e30780,renos,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_b68d05db3bb56dca6f9f8f8188e30780,renos,United States,2014,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_b68d05db3bb56dca6f9f8f8188e30780,renos,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b68d05db3bb56dca6f9f8f8188e30780,renos,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_e06e5f3d4d9522da71d0f0fc9bd893e0,renos,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_e06e5f3d4d9522da71d0f0fc9bd893e0,renos,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_e06e5f3d4d9522da71d0f0fc9bd893e0,renos,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_be1470f6d04f042996e9c7ef5b4ae37e,renos,United States,2016,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_be1470f6d04f042996e9c7ef5b4ae37e,renos,United States,2016,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_be1470f6d04f042996e9c7ef5b4ae37e,renos,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_be1470f6d04f042996e9c7ef5b4ae37e,renos,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b83ab4e71c14a8936f56c83eb733551f,renos,United States,2016,-122.139,US,USA,65.55.158.118,47.6475,0
Ashburn,VirusShare_b83ab4e71c14a8936f56c83eb733551f,renos,United States,2016,-77.4874,US,USA,54.85.127.70,39.0438,0
Redmond,VirusShare_b83ab4e71c14a8936f56c83eb733551f,renos,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b83ab4e71c14a8936f56c83eb733551f,renos,United States,2016,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_b83ab4e71c14a8936f56c83eb733551f,renos,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_747cc553bb577bae9ea711168c2c4813,renos,United States,2016,-122.139,US,USA,65.55.158.118,47.6475,0
Atlanta,VirusShare_747cc553bb577bae9ea711168c2c4813,renos,United States,2016,-84.388,US,USA,23.72.137.59,33.749,0
Redmond,VirusShare_747cc553bb577bae9ea711168c2c4813,renos,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_747cc553bb577bae9ea711168c2c4813,renos,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_6356d83ce8bcd66be9f59a28ca0027a2,renos,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_6356d83ce8bcd66be9f59a28ca0027a2,renos,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_6356d83ce8bcd66be9f59a28ca0027a2,renos,United States,2017,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_6356d83ce8bcd66be9f59a28ca0027a2,renos,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_e03650e1126df2158fb61f51e4b728a0,renos,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Atlanta,VirusShare_e03650e1126df2158fb61f51e4b728a0,renos,United States,2014,-84.388,US,USA,23.73.181.64,33.749,0
Redmond,VirusShare_e03650e1126df2158fb61f51e4b728a0,renos,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
