city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_dbb4d4a23dcdbb196c07e15e0c50563b,sality,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_dbb4d4a23dcdbb196c07e15e0c50563b,sality,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Ashburn,VirusShare_dbb4d4a23dcdbb196c07e15e0c50563b,sality,United States,2014,-77.4874,US,USA,184.26.93.58,39.0438,0
Redmond,VirusShare_b8a0dca41cae8b0f54109e222bd71cc9,sality,United States,2013,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_b8a0dca41cae8b0f54109e222bd71cc9,sality,United States,2013,-96.797,US,USA,23.218.156.26,32.7767,0
Mountain View,VirusShare_b8a0dca41cae8b0f54109e222bd71cc9,sality,United States,2013,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b18924c9264db1e78666f4d21226a16f,sality,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_b18924c9264db1e78666f4d21226a16f,sality,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_b18924c9264db1e78666f4d21226a16f,sality,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b18924c9264db1e78666f4d21226a16f,sality,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_dafb573e6dee96f40b4f28997c5e1d50,sality,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_dafb573e6dee96f40b4f28997c5e1d50,sality,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_cbcdc5136a04618393a1b7c86f97daa4,sality,United States,2013,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_cbcdc5136a04618393a1b7c86f97daa4,sality,United States,2013,-122.085,US,USA,8.8.8.8,37.4229,0
Chicago,VirusShare_ca8521a36245a47e5bc249f93846b670,sality,United States,2015,-87.6298,US,USA,23.212.53.221,41.8781,0
Redmond,VirusShare_ca8521a36245a47e5bc249f93846b670,sality,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_ca8521a36245a47e5bc249f93846b670,sality,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Mountain View,VirusShare_cb7adfee4d2affdf975b3bbb1bf4d6de,sality,United States,2013,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_71190f15853ebb51c186f7d6acf0cc60,sality,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_71190f15853ebb51c186f7d6acf0cc60,sality,United States,2017,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_71190f15853ebb51c186f7d6acf0cc60,sality,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_71190f15853ebb51c186f7d6acf0cc60,sality,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b3b5a5d995f5b58656911a8e9fd0dd0c,sality,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b3b5a5d995f5b58656911a8e9fd0dd0c,sality,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_b3b5a5d995f5b58656911a8e9fd0dd0c,sality,United States,2014,-77.0369,US,USA,184.25.63.41,38.9072,0
Mountain View,VirusShare_b3b5a5d995f5b58656911a8e9fd0dd0c,sality,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Washington,VirusShare_e2cd997b5869faff96345a550c27cc30,sality,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_e2cd997b5869faff96345a550c27cc30,sality,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_e2cd997b5869faff96345a550c27cc30,sality,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_db6a244fe1865e5197dfaa099046f7ad,sality,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_db6a244fe1865e5197dfaa099046f7ad,sality,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Dallas,VirusShare_f1d9d80a5de017b829b9482511c4c806,sality,United States,2014,-96.797,US,USA,96.16.7.80,32.7767,0
Redmond,VirusShare_f1d9d80a5de017b829b9482511c4c806,sality,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_f1d9d80a5de017b829b9482511c4c806,sality,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_ba4fdbf80b1ad5bada97eb65e9ef35a0,sality,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_ba4fdbf80b1ad5bada97eb65e9ef35a0,sality,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_ba4fdbf80b1ad5bada97eb65e9ef35a0,sality,United States,2014,-96.797,US,USA,23.218.156.26,32.7767,0
Mountain View,VirusShare_ba4fdbf80b1ad5bada97eb65e9ef35a0,sality,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_f17a78caa0bc35f86afc500a6b62bec6,sality,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_f17a78caa0bc35f86afc500a6b62bec6,sality,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_f17a78caa0bc35f86afc500a6b62bec6,sality,United States,2014,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_f17a78caa0bc35f86afc500a6b62bec6,sality,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Mountain View,VirusShare_cb17784b6f22cc68ca600d21ecafeec9,sality,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
