city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Newark,VirusShare_e0802a4df0861bbf61a9a46ffde9f600,scar,United States,2016,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_e0802a4df0861bbf61a9a46ffde9f600,scar,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_e0802a4df0861bbf61a9a46ffde9f600,scar,United States,2016,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_e0802a4df0861bbf61a9a46ffde9f600,scar,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Dallas,VirusShare_e3d9efbcdf431e190bd0183b779c1fd0,scar,United States,2014,-96.797,US,USA,96.16.7.83,32.7767,0
Redmond,VirusShare_e3d9efbcdf431e190bd0183b779c1fd0,scar,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_e3d9efbcdf431e190bd0183b779c1fd0,scar,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_bbe5a573f6f8c8f50e96b6ca851936d0,scar,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_bbe5a573f6f8c8f50e96b6ca851936d0,scar,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Redmond,VirusShare_bbe5a573f6f8c8f50e96b6ca851936d0,scar,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bbe5a573f6f8c8f50e96b6ca851936d0,scar,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Dallas,VirusShare_bab7a8e483d6f871400536e44cdf55d0,scar,United States,2014,-96.797,US,USA,96.17.177.24,32.7767,0
Redmond,VirusShare_bab7a8e483d6f871400536e44cdf55d0,scar,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_bab7a8e483d6f871400536e44cdf55d0,scar,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bab7a8e483d6f871400536e44cdf55d0,scar,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_add15a25c3a2394e3dff608f05ef15bb,scar,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_add15a25c3a2394e3dff608f05ef15bb,scar,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_add15a25c3a2394e3dff608f05ef15bb,scar,United States,2017,-96.797,US,USA,23.218.156.26,32.7767,0
Mountain View,VirusShare_add15a25c3a2394e3dff608f05ef15bb,scar,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Dallas,VirusShare_77973a906033cfb9fd3bf356f5ff0060,scar,United States,2016,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_77973a906033cfb9fd3bf356f5ff0060,scar,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_77973a906033cfb9fd3bf356f5ff0060,scar,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_f121b9a117ed6884306ad700226c1680,scar,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_f121b9a117ed6884306ad700226c1680,scar,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_f121b9a117ed6884306ad700226c1680,scar,United States,2014,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_f121b9a117ed6884306ad700226c1680,scar,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_daeeb8aeb1e877b6d83b31a15f541a70,scar,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_daeeb8aeb1e877b6d83b31a15f541a70,scar,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Ashburn,VirusShare_daeeb8aeb1e877b6d83b31a15f541a70,scar,United States,2014,-77.4874,US,USA,184.26.93.58,39.0438,0
Mountain View,VirusShare_e2984c74fcc05b46455a715852c50200,scar,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Ashburn,VirusShare_e2984c74fcc05b46455a715852c50200,scar,United States,2014,-77.4874,US,USA,184.26.93.58,39.0438,0
Newark,VirusShare_e1ce5e7e497e4d3b5af4f30a9d063ae0,scar,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Dallas,VirusShare_e1ce5e7e497e4d3b5af4f30a9d063ae0,scar,United States,2014,-96.797,US,USA,96.16.7.80,32.7767,0
Redmond,VirusShare_e1ce5e7e497e4d3b5af4f30a9d063ae0,scar,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_e1ce5e7e497e4d3b5af4f30a9d063ae0,scar,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_e1f3bca17bf10041b669c893e693d330,scar,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_e1f3bca17bf10041b669c893e693d330,scar,United States,2014,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_e1f3bca17bf10041b669c893e693d330,scar,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_d768ff84d1c88967e48d4875db13350a,scar,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_d768ff84d1c88967e48d4875db13350a,scar,United States,2017,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_d768ff84d1c88967e48d4875db13350a,scar,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
