city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Newark,VirusShare_e16d9a7a3116afa1a77980171ffa9a50,soft32downloader,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_e16d9a7a3116afa1a77980171ffa9a50,soft32downloader,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Redmond,VirusShare_e16d9a7a3116afa1a77980171ffa9a50,soft32downloader,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_e16d9a7a3116afa1a77980171ffa9a50,soft32downloader,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_f0d0a0cc8c215f66db18ce5205256ed0,soft32downloader,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_f0d0a0cc8c215f66db18ce5205256ed0,soft32downloader,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_f0d0a0cc8c215f66db18ce5205256ed0,soft32downloader,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_f0d0a0cc8c215f66db18ce5205256ed0,soft32downloader,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b88e8ddc657e4eaf5b14331e624f5c80,soft32downloader,United States,2016,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b88e8ddc657e4eaf5b14331e624f5c80,soft32downloader,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b88e8ddc657e4eaf5b14331e624f5c80,soft32downloader,United States,2016,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_b88e8ddc657e4eaf5b14331e624f5c80,soft32downloader,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_1bf0db0b877c5ce97c4ba9b451ec805d,soft32downloader,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_1bf0db0b877c5ce97c4ba9b451ec805d,soft32downloader,United States,2014,-96.797,US,USA,96.16.7.83,32.7767,0
Bluffdale,VirusShare_1bf0db0b877c5ce97c4ba9b451ec805d,soft32downloader,United States,2014,-111.9444,US,USA,216.58.218.110,40.4954,0
Redmond,VirusShare_1bf0db0b877c5ce97c4ba9b451ec805d,soft32downloader,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_1bf0db0b877c5ce97c4ba9b451ec805d,soft32downloader,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_e1df5bb31843a59f8cfe0f7d01ad0d90,soft32downloader,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_e1df5bb31843a59f8cfe0f7d01ad0d90,soft32downloader,United States,2014,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_e1df5bb31843a59f8cfe0f7d01ad0d90,soft32downloader,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Mountain View,VirusShare_7b762db3cae1e5fb619e3f9358868970,soft32downloader,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b0f89c835cc25e8f20e423af0c42ff60,soft32downloader,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_b0f89c835cc25e8f20e423af0c42ff60,soft32downloader,United States,2015,-96.797,US,USA,96.16.7.80,32.7767,0
Redmond,VirusShare_b0f89c835cc25e8f20e423af0c42ff60,soft32downloader,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b0f89c835cc25e8f20e423af0c42ff60,soft32downloader,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_bda86081670e1cf374e42fb7aca504f0,soft32downloader,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_bda86081670e1cf374e42fb7aca504f0,soft32downloader,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_bda86081670e1cf374e42fb7aca504f0,soft32downloader,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bda86081670e1cf374e42fb7aca504f0,soft32downloader,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b8599f2be230ae0efadf1c3ec6d222e0,soft32downloader,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b8599f2be230ae0efadf1c3ec6d222e0,soft32downloader,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b8599f2be230ae0efadf1c3ec6d222e0,soft32downloader,United States,2014,-96.797,US,USA,23.67.252.11,32.7767,0
