city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_28d92d238829710a922000e1fc8d7e3d,softpulse,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Ashburn,VirusShare_28d92d238829710a922000e1fc8d7e3d,softpulse,United States,2015,-77.4874,US,USA,184.26.93.48,39.0438,0
Mountain View,VirusShare_28d92d238829710a922000e1fc8d7e3d,softpulse,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_c44d463e4c9207952592bf98ce31cbc3,softpulse,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_c44d463e4c9207952592bf98ce31cbc3,softpulse,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_c44d463e4c9207952592bf98ce31cbc3,softpulse,United States,2014,-96.797,US,USA,23.67.252.18,32.7767,0
Mountain View,VirusShare_c44d463e4c9207952592bf98ce31cbc3,softpulse,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_cb4c3b015cc96f334d996f340d2813c0,softpulse,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_cb4c3b015cc96f334d996f340d2813c0,softpulse,United States,2015,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_cb4c3b015cc96f334d996f340d2813c0,softpulse,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_f9195497d426fb34f2c38cba430b7e9b,softpulse,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_f9195497d426fb34f2c38cba430b7e9b,softpulse,United States,2015,-96.797,US,USA,96.16.7.80,32.7767,0
Mountain View,VirusShare_f9195497d426fb34f2c38cba430b7e9b,softpulse,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_8fdc3d0469a21d6d18038b98f99094da,softpulse,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_8fdc3d0469a21d6d18038b98f99094da,softpulse,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_8fdc3d0469a21d6d18038b98f99094da,softpulse,United States,2015,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_8fdc3d0469a21d6d18038b98f99094da,softpulse,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_585b1b2d95b76ac9174004721c219f3e,softpulse,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_585b1b2d95b76ac9174004721c219f3e,softpulse,United States,2015,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_585b1b2d95b76ac9174004721c219f3e,softpulse,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_585b1b2d95b76ac9174004721c219f3e,softpulse,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_be48e4054de1dc10001421748a271c10,softpulse,United States,2017,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_be48e4054de1dc10001421748a271c10,softpulse,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_be48e4054de1dc10001421748a271c10,softpulse,United States,2017,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_be48e4054de1dc10001421748a271c10,softpulse,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_61ae33bedc47cb37ed1473cec899ec51,softpulse,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_61ae33bedc47cb37ed1473cec899ec51,softpulse,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_61ae33bedc47cb37ed1473cec899ec51,softpulse,United States,2014,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_61ae33bedc47cb37ed1473cec899ec51,softpulse,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_4b77733f4ed3aa0b59fccf40bd9197fe,softpulse,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_4b77733f4ed3aa0b59fccf40bd9197fe,softpulse,United States,2015,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_4b77733f4ed3aa0b59fccf40bd9197fe,softpulse,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_4b77733f4ed3aa0b59fccf40bd9197fe,softpulse,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_64ef72b3f36ba1e9e3a8e7137b35ca6b,softpulse,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Mountain View,VirusShare_64ef72b3f36ba1e9e3a8e7137b35ca6b,softpulse,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bad5af4181b273cb8432e16a36472b20,softpulse,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_bad5af4181b273cb8432e16a36472b20,softpulse,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_bad5af4181b273cb8432e16a36472b20,softpulse,United States,2017,-96.797,US,USA,96.17.177.18,32.7767,0
Mountain View,VirusShare_bad5af4181b273cb8432e16a36472b20,softpulse,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_19ce6264cc9ccd16292c676383e8f2ca,softpulse,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_19ce6264cc9ccd16292c676383e8f2ca,softpulse,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_19ce6264cc9ccd16292c676383e8f2ca,softpulse,United States,2014,-77.0369,US,USA,184.25.63.41,38.9072,0
Mountain View,VirusShare_19ce6264cc9ccd16292c676383e8f2ca,softpulse,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_bdfb068b5617fb20c98636cc9194fbc9,softpulse,United States,2015,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_bdfb068b5617fb20c98636cc9194fbc9,softpulse,United States,2015,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_bdfb068b5617fb20c98636cc9194fbc9,softpulse,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bdfb068b5617fb20c98636cc9194fbc9,softpulse,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_baef23b78ab7228bfc931b79972852f0,softpulse,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_baef23b78ab7228bfc931b79972852f0,softpulse,United States,2015,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_baef23b78ab7228bfc931b79972852f0,softpulse,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_baef23b78ab7228bfc931b79972852f0,softpulse,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_dbce467dd8a431c368f3bcb828db14b4,softpulse,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Mountain View,VirusShare_dbce467dd8a431c368f3bcb828db14b4,softpulse,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_992b9f343db74c585039f4f2eb888d97,softpulse,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_992b9f343db74c585039f4f2eb888d97,softpulse,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_992b9f343db74c585039f4f2eb888d97,softpulse,United States,2017,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_992b9f343db74c585039f4f2eb888d97,softpulse,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_cb90c1b28eda0f9a44b948b96b6ea1a6,softpulse,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_cb90c1b28eda0f9a44b948b96b6ea1a6,softpulse,United States,2015,-96.797,US,USA,23.218.156.11,32.7767,0
Mountain View,VirusShare_cb90c1b28eda0f9a44b948b96b6ea1a6,softpulse,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_4bb6600e174b2c75d4dc408d51ba9a21,softpulse,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_4bb6600e174b2c75d4dc408d51ba9a21,softpulse,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_4bb6600e174b2c75d4dc408d51ba9a21,softpulse,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_4bb6600e174b2c75d4dc408d51ba9a21,softpulse,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b6bff400622bbb03d6a93f32e3c1bf40,softpulse,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b6bff400622bbb03d6a93f32e3c1bf40,softpulse,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_b6bff400622bbb03d6a93f32e3c1bf40,softpulse,United States,2017,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_b6bff400622bbb03d6a93f32e3c1bf40,softpulse,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bb2e05ec21d6285bc6580c899bc07320,softpulse,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_bb2e05ec21d6285bc6580c899bc07320,softpulse,United States,2015,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_bb2e05ec21d6285bc6580c899bc07320,softpulse,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bb2e05ec21d6285bc6580c899bc07320,softpulse,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b2c04b066560b09f64cdd80ffc3c1324,softpulse,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b2c04b066560b09f64cdd80ffc3c1324,softpulse,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_b2c04b066560b09f64cdd80ffc3c1324,softpulse,United States,2015,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_b2c04b066560b09f64cdd80ffc3c1324,softpulse,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_49fe7aa8eac9399c6163083b7974042b,softpulse,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
