city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Dallas,VirusShare_ba9f42b5d9384f872c555da131315f46,starter,United States,2013,-96.797,US,USA,96.17.177.24,32.7767,0
Redmond,VirusShare_ba9f42b5d9384f872c555da131315f46,starter,United States,2013,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_ba9f42b5d9384f872c555da131315f46,starter,United States,2013,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_ba9f42b5d9384f872c555da131315f46,starter,United States,2013,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_30377c7c33c22f235baa12a3e30e4750,starter,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_30377c7c33c22f235baa12a3e30e4750,starter,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_30377c7c33c22f235baa12a3e30e4750,starter,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_30377c7c33c22f235baa12a3e30e4750,starter,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_e053edb13e988b4bfc0b9a484ce8c316,starter,United States,2013,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_e053edb13e988b4bfc0b9a484ce8c316,starter,United States,2013,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_e053edb13e988b4bfc0b9a484ce8c316,starter,United States,2013,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_e053edb13e988b4bfc0b9a484ce8c316,starter,United States,2013,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b4c732c23398e0164d84880dd841b4b0,starter,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b4c732c23398e0164d84880dd841b4b0,starter,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b4c732c23398e0164d84880dd841b4b0,starter,United States,2014,-96.797,US,USA,23.67.252.18,32.7767,0
Mountain View,VirusShare_b4c732c23398e0164d84880dd841b4b0,starter,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
