city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_cb768f1d9e711a24275c1418ba4cc600,upatre,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Ashburn,VirusShare_cb768f1d9e711a24275c1418ba4cc600,upatre,United States,2014,-77.4874,US,USA,184.26.93.81,39.0438,0
Mountain View,VirusShare_cb768f1d9e711a24275c1418ba4cc600,upatre,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bab3d6e022f2a5d529a93712337515d0,upatre,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_bab3d6e022f2a5d529a93712337515d0,upatre,United States,2015,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_bab3d6e022f2a5d529a93712337515d0,upatre,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bab3d6e022f2a5d529a93712337515d0,upatre,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b44c8c60231005ea2fcaab7d36d15c80,upatre,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b44c8c60231005ea2fcaab7d36d15c80,upatre,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_b44c8c60231005ea2fcaab7d36d15c80,upatre,United States,2015,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_b44c8c60231005ea2fcaab7d36d15c80,upatre,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_ae464148a66efd30772883f95e062679,upatre,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_ae464148a66efd30772883f95e062679,upatre,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_ae464148a66efd30772883f95e062679,upatre,United States,2017,-96.797,US,USA,23.218.156.26,32.7767,0
Mountain View,VirusShare_ae464148a66efd30772883f95e062679,upatre,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bfb105c0276bcbe21aea5a1a55e4c070,upatre,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_bfb105c0276bcbe21aea5a1a55e4c070,upatre,United States,2015,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_bfb105c0276bcbe21aea5a1a55e4c070,upatre,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_e369db6e8e5b3d91ada99a50edc4a925,upatre,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_e369db6e8e5b3d91ada99a50edc4a925,upatre,United States,2015,-96.797,US,USA,96.16.7.83,32.7767,0
Redmond,VirusShare_e369db6e8e5b3d91ada99a50edc4a925,upatre,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_e369db6e8e5b3d91ada99a50edc4a925,upatre,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_bdea74d2b44b384db02419f18397b830,upatre,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_bdea74d2b44b384db02419f18397b830,upatre,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_bdea74d2b44b384db02419f18397b830,upatre,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_bdea74d2b44b384db02419f18397b830,upatre,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_bdcf278841a6d25026057e72f2f61390,upatre,United States,2015,-74.1724,US,USA,157.56.144.215,40.7357,0
Mountain View,VirusShare_bdcf278841a6d25026057e72f2f61390,upatre,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Mountain View,VirusShare_db08b31d55cec9082b4ba320016d7f60,upatre,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_db08b31d55cec9082b4ba320016d7f60,upatre,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Redmond,VirusShare_baf9b01fb77a1cc99aeabbd77ba8ac10,upatre,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_baf9b01fb77a1cc99aeabbd77ba8ac10,upatre,United States,2015,-96.797,US,USA,96.17.177.24,32.7767,0
Redmond,VirusShare_baf9b01fb77a1cc99aeabbd77ba8ac10,upatre,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_baf9b01fb77a1cc99aeabbd77ba8ac10,upatre,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_3f1c3f7abc26c4c48246d4e7c1a28ac0,upatre,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_3f1c3f7abc26c4c48246d4e7c1a28ac0,upatre,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_3f1c3f7abc26c4c48246d4e7c1a28ac0,upatre,United States,2015,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_3f1c3f7abc26c4c48246d4e7c1a28ac0,upatre,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b46bf6182f8e3ae5ef247728fc1385b0,upatre,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_b46bf6182f8e3ae5ef247728fc1385b0,upatre,United States,2015,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_b46bf6182f8e3ae5ef247728fc1385b0,upatre,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b46bf6182f8e3ae5ef247728fc1385b0,upatre,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bbcd0dc8e08a2686443a6b0b2b9fc620,upatre,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Atlanta,VirusShare_bbcd0dc8e08a2686443a6b0b2b9fc620,upatre,United States,2015,-84.388,US,USA,184.51.150.57,33.749,0
Redmond,VirusShare_bbcd0dc8e08a2686443a6b0b2b9fc620,upatre,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bbcd0dc8e08a2686443a6b0b2b9fc620,upatre,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_e6864e128a35abd555ced3c159a2b04f,upatre,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Chicago,VirusShare_e6864e128a35abd555ced3c159a2b04f,upatre,United States,2017,-87.6298,US,USA,23.212.53.221,41.8781,0
Mountain View,VirusShare_e6864e128a35abd555ced3c159a2b04f,upatre,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_73cc9ea4439b2501159000a6b219d320,upatre,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_73cc9ea4439b2501159000a6b219d320,upatre,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_73cc9ea4439b2501159000a6b219d320,upatre,United States,2015,-96.797,US,USA,23.67.252.18,32.7767,0
Mountain View,VirusShare_73cc9ea4439b2501159000a6b219d320,upatre,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_33e3bcaa25231c5eeffa5b4dd75d973c,upatre,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_33e3bcaa25231c5eeffa5b4dd75d973c,upatre,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_33e3bcaa25231c5eeffa5b4dd75d973c,upatre,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_33e3bcaa25231c5eeffa5b4dd75d973c,upatre,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_bd787a234aa6b003a5d6764c82bea4f0,upatre,United States,2015,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_bd787a234aa6b003a5d6764c82bea4f0,upatre,United States,2015,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_bd787a234aa6b003a5d6764c82bea4f0,upatre,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bd787a234aa6b003a5d6764c82bea4f0,upatre,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bb8611d26b6373353e2a8054fbdb3c50,upatre,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_bb8611d26b6373353e2a8054fbdb3c50,upatre,United States,2014,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_bb8611d26b6373353e2a8054fbdb3c50,upatre,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bb8611d26b6373353e2a8054fbdb3c50,upatre,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_37b380674f71a3b797e020d2d85bac1e,upatre,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_37b380674f71a3b797e020d2d85bac1e,upatre,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Redmond,VirusShare_37b380674f71a3b797e020d2d85bac1e,upatre,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_37b380674f71a3b797e020d2d85bac1e,upatre,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Dallas,VirusShare_b8e124776721b62ab9b04213dc4810e0,upatre,United States,2014,-96.797,US,USA,96.17.177.24,32.7767,0
Redmond,VirusShare_b8e124776721b62ab9b04213dc4810e0,upatre,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b8e124776721b62ab9b04213dc4810e0,upatre,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b8e124776721b62ab9b04213dc4810e0,upatre,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bac74591eae67a3b80dda1b305a046a5,upatre,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Atlanta,VirusShare_bac74591eae67a3b80dda1b305a046a5,upatre,United States,2015,-84.388,US,USA,23.73.181.59,33.749,0
Redmond,VirusShare_bac74591eae67a3b80dda1b305a046a5,upatre,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bac74591eae67a3b80dda1b305a046a5,upatre,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_e10fcd95d0084b7dd031b55c934d01c0,upatre,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_e10fcd95d0084b7dd031b55c934d01c0,upatre,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_e10fcd95d0084b7dd031b55c934d01c0,upatre,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_e10fcd95d0084b7dd031b55c934d01c0,upatre,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_ba5cccb782832b6db3035ea1722c75d0,upatre,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_ba5cccb782832b6db3035ea1722c75d0,upatre,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_ba5cccb782832b6db3035ea1722c75d0,upatre,United States,2014,-96.797,US,USA,23.67.252.18,32.7767,0
Mountain View,VirusShare_ba5cccb782832b6db3035ea1722c75d0,upatre,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
