city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_cc00c6d896355336442cf9cf97273210,virlock,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_cc00c6d896355336442cf9cf97273210,virlock,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b0fe8d5abe41335e48ca1d13bea91050,virlock,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b0fe8d5abe41335e48ca1d13bea91050,virlock,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b0fe8d5abe41335e48ca1d13bea91050,virlock,United States,2015,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_b0fe8d5abe41335e48ca1d13bea91050,virlock,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_3f30cb29c6fef69a0ff67f4020681750,virlock,United States,2015,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_3f30cb29c6fef69a0ff67f4020681750,virlock,United States,2015,-77.0369,US,USA,23.2.17.246,38.9072,0
Mountain View,VirusShare_3f30cb29c6fef69a0ff67f4020681750,virlock,United States,2015,-122.0839,US,USA,216.58.194.142,37.3861,0
Redmond,VirusShare_3f30cb29c6fef69a0ff67f4020681750,virlock,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_3f30cb29c6fef69a0ff67f4020681750,virlock,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bb08da20d0e8c8efb25823e2319ca650,virlock,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_bb08da20d0e8c8efb25823e2319ca650,virlock,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_bb08da20d0e8c8efb25823e2319ca650,virlock,United States,2017,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_bb08da20d0e8c8efb25823e2319ca650,virlock,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b0dbe86db37d098c0edd9773b9a7e4b0,virlock,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b0dbe86db37d098c0edd9773b9a7e4b0,virlock,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_b0dbe86db37d098c0edd9773b9a7e4b0,virlock,United States,2015,-77.0369,US,USA,184.25.63.41,38.9072,0
Mountain View,VirusShare_b0dbe86db37d098c0edd9773b9a7e4b0,virlock,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bbb7deffd2cbbbfd438123592752b040,virlock,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_bbb7deffd2cbbbfd438123592752b040,virlock,United States,2015,-96.797,US,USA,96.17.177.24,32.7767,0
Redmond,VirusShare_bbb7deffd2cbbbfd438123592752b040,virlock,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bbb7deffd2cbbbfd438123592752b040,virlock,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b8bc9dd4145b9155e1d4413353d8c1b0,virlock,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b8bc9dd4145b9155e1d4413353d8c1b0,virlock,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b8bc9dd4145b9155e1d4413353d8c1b0,virlock,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
