city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_7a5e56ad8db67b816356debc114087aa,virut,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_7a5e56ad8db67b816356debc114087aa,virut,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_7a5e56ad8db67b816356debc114087aa,virut,United States,2017,-96.797,US,USA,184.24.97.184,32.7767,0
Mountain View,VirusShare_7a5e56ad8db67b816356debc114087aa,virut,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_6229fa3a4076569f9e749d922166959a,virut,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
New York,VirusShare_6229fa3a4076569f9e749d922166959a,virut,United States,2017,-74.0059,US,USA,204.79.197.200,40.7128,0
Dallas,VirusShare_6229fa3a4076569f9e749d922166959a,virut,United States,2017,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_6229fa3a4076569f9e749d922166959a,virut,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_6229fa3a4076569f9e749d922166959a,virut,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_baf5c85c7a5bc1634d4a4b5be739e6d0,virut,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_baf5c85c7a5bc1634d4a4b5be739e6d0,virut,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_baf5c85c7a5bc1634d4a4b5be739e6d0,virut,United States,2014,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_baf5c85c7a5bc1634d4a4b5be739e6d0,virut,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b232e594e3524130b80b7e309e9b53a0,virut,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b232e594e3524130b80b7e309e9b53a0,virut,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Ashburn,VirusShare_b232e594e3524130b80b7e309e9b53a0,virut,United States,2014,-77.4874,US,USA,184.26.93.58,39.0438,0
Redmond,VirusShare_e2f617689ae06ed2a4cafa1f8a41ce15,virut,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Atlanta,VirusShare_e2f617689ae06ed2a4cafa1f8a41ce15,virut,United States,2017,-84.388,US,USA,23.72.137.59,33.749,0
Redmond,VirusShare_e2f617689ae06ed2a4cafa1f8a41ce15,virut,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_e2f617689ae06ed2a4cafa1f8a41ce15,virut,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b30b5bdc4189bda893ac32d846dfd493,virut,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_b30b5bdc4189bda893ac32d846dfd493,virut,United States,2017,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_b30b5bdc4189bda893ac32d846dfd493,virut,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b30b5bdc4189bda893ac32d846dfd493,virut,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_cb3c1e4546d3d0556579189f7fa52c22,virut,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_cb3c1e4546d3d0556579189f7fa52c22,virut,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b123cf1ef3241d54b86c636df11760bd,virut,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b123cf1ef3241d54b86c636df11760bd,virut,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_b123cf1ef3241d54b86c636df11760bd,virut,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_b123cf1ef3241d54b86c636df11760bd,virut,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b821a6f2836bcff8d05ac949899ca6f0,virut,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b821a6f2836bcff8d05ac949899ca6f0,virut,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b821a6f2836bcff8d05ac949899ca6f0,virut,United States,2014,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_b821a6f2836bcff8d05ac949899ca6f0,virut,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_bd34315987561b2a67048feef30c9190,virut,United States,2015,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_bd34315987561b2a67048feef30c9190,virut,United States,2015,-77.0369,US,USA,23.2.17.169,38.9072,0
Redmond,VirusShare_bd34315987561b2a67048feef30c9190,virut,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
