city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_dafd559dbab623c70221f743850f7840,vobfus,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_dafd559dbab623c70221f743850f7840,vobfus,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_db302b343e702b544f243f5434596110,vobfus,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_db302b343e702b544f243f5434596110,vobfus,United States,2016,-96.797,US,USA,23.218.156.26,32.7767,0
Mountain View,VirusShare_db302b343e702b544f243f5434596110,vobfus,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_3a538b30a396c0ed79c4415ef78195f0,vobfus,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_3a538b30a396c0ed79c4415ef78195f0,vobfus,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_3a538b30a396c0ed79c4415ef78195f0,vobfus,United States,2014,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_3a538b30a396c0ed79c4415ef78195f0,vobfus,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_cb557ecc219a9e7ede7b82dba80da73e,vobfus,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_cb557ecc219a9e7ede7b82dba80da73e,vobfus,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_f0c3d673a0e94f1ca3e157b7ee1ff3ce,vobfus,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_f0c3d673a0e94f1ca3e157b7ee1ff3ce,vobfus,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_f0c3d673a0e94f1ca3e157b7ee1ff3ce,vobfus,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_f0c3d673a0e94f1ca3e157b7ee1ff3ce,vobfus,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_cbc088fbe2186f87555f676f7c06d308,vobfus,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_cbc088fbe2186f87555f676f7c06d308,vobfus,United States,2014,-96.797,US,USA,23.67.252.18,32.7767,0
Mountain View,VirusShare_cbc088fbe2186f87555f676f7c06d308,vobfus,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b445c6c329438325e37c7bb77b4cfb10,vobfus,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_b445c6c329438325e37c7bb77b4cfb10,vobfus,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_b445c6c329438325e37c7bb77b4cfb10,vobfus,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b445c6c329438325e37c7bb77b4cfb10,vobfus,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_e01a9674c9146aa16e25ce387ae111d0,vobfus,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_e01a9674c9146aa16e25ce387ae111d0,vobfus,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Atlanta,VirusShare_e01a9674c9146aa16e25ce387ae111d0,vobfus,United States,2014,-84.388,US,USA,23.72.137.81,33.749,0
Mountain View,VirusShare_e01a9674c9146aa16e25ce387ae111d0,vobfus,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_34e769925a5c10eb85ca99dfd2b1d554,vobfus,United States,2013,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_34e769925a5c10eb85ca99dfd2b1d554,vobfus,United States,2013,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_34e769925a5c10eb85ca99dfd2b1d554,vobfus,United States,2013,-122.085,US,USA,8.8.8.8,37.4229,0
Ashburn,VirusShare_34e769925a5c10eb85ca99dfd2b1d554,vobfus,United States,2013,-77.4874,US,USA,184.26.93.58,39.0438,0
Redmond,VirusShare_bac84659875a5834a7d9a56ac885b3e0,vobfus,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Road Town,VirusShare_bac84659875a5834a7d9a56ac885b3e0,vobfus,British Virgin Islands,2014,-64.5,VG,VGB,208.91.197.46,18.5,0
Redmond,VirusShare_bac84659875a5834a7d9a56ac885b3e0,vobfus,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_bac84659875a5834a7d9a56ac885b3e0,vobfus,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_bac84659875a5834a7d9a56ac885b3e0,vobfus,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Mountain View,VirusShare_db23af7dc241f1ad99d532a5a4c82b68,vobfus,United States,2013,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bebc8354e0bfcbdae9fc77990b6c9bb0,vobfus,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
