city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_b8a212560f42982eefe7e44aba0d3200,vtflooder,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_b8a212560f42982eefe7e44aba0d3200,vtflooder,United States,2015,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_b8a212560f42982eefe7e44aba0d3200,vtflooder,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b8a212560f42982eefe7e44aba0d3200,vtflooder,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_e39a64cd1330371a32137cc0989648b0,vtflooder,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_e39a64cd1330371a32137cc0989648b0,vtflooder,United States,2015,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_e39a64cd1330371a32137cc0989648b0,vtflooder,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b4ab6f25ff01251f54e2a7c7d09b8860,vtflooder,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b4ab6f25ff01251f54e2a7c7d09b8860,vtflooder,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_b4ab6f25ff01251f54e2a7c7d09b8860,vtflooder,United States,2015,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_b4ab6f25ff01251f54e2a7c7d09b8860,vtflooder,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bf09e263738a4d0564c5ea5bea0c4070,vtflooder,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_bf09e263738a4d0564c5ea5bea0c4070,vtflooder,United States,2015,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_bf09e263738a4d0564c5ea5bea0c4070,vtflooder,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_bdf5cedd0c386f1d2cf386b9d36f48f0,vtflooder,United States,2015,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_bdf5cedd0c386f1d2cf386b9d36f48f0,vtflooder,United States,2015,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_bdf5cedd0c386f1d2cf386b9d36f48f0,vtflooder,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bdf5cedd0c386f1d2cf386b9d36f48f0,vtflooder,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_38264fa8ae81c1d85432b8c6a9a55a50,vtflooder,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_38264fa8ae81c1d85432b8c6a9a55a50,vtflooder,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_38264fa8ae81c1d85432b8c6a9a55a50,vtflooder,United States,2015,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_38264fa8ae81c1d85432b8c6a9a55a50,vtflooder,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b86bf17f49eb9ff2e74931f26cb8d760,vtflooder,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_b86bf17f49eb9ff2e74931f26cb8d760,vtflooder,United States,2015,-96.797,US,USA,96.16.7.83,32.7767,0
Redmond,VirusShare_b86bf17f49eb9ff2e74931f26cb8d760,vtflooder,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b86bf17f49eb9ff2e74931f26cb8d760,vtflooder,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Dallas,VirusShare_be84c179da61a7a45dc4bfd4aae27840,vtflooder,United States,2015,-96.797,US,USA,23.67.253.171,32.7767,0
Redmond,VirusShare_be84c179da61a7a45dc4bfd4aae27840,vtflooder,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_be84c179da61a7a45dc4bfd4aae27840,vtflooder,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_33e81eff8973a34ef54b95ddd6791ff0,vtflooder,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_33e81eff8973a34ef54b95ddd6791ff0,vtflooder,United States,2015,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_33e81eff8973a34ef54b95ddd6791ff0,vtflooder,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_33e81eff8973a34ef54b95ddd6791ff0,vtflooder,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_cac3b51ffb8cac1dcbb3c5e71f57b9b0,vtflooder,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_cac3b51ffb8cac1dcbb3c5e71f57b9b0,vtflooder,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_dbfd7446330e45df461e6b592b229eb0,vtflooder,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
