city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_cab8902ac552bfa282bfa574c9eab340,vundo,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_cab8902ac552bfa282bfa574c9eab340,vundo,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Dallas,VirusShare_cab8902ac552bfa282bfa574c9eab340,vundo,United States,2014,-96.797,US,USA,23.67.253.162,32.7767,0
Mountain View,VirusShare_cae9fac315351955f30626a00471eb40,vundo,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b31ad0f5bc15daff26e64fe7a4e77ad0,vundo,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_b31ad0f5bc15daff26e64fe7a4e77ad0,vundo,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_b31ad0f5bc15daff26e64fe7a4e77ad0,vundo,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b31ad0f5bc15daff26e64fe7a4e77ad0,vundo,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_dc8a8f69d69970988d0ad64ca9423500,vundo,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_dc8a8f69d69970988d0ad64ca9423500,vundo,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b3f6299875caad282ad685507298555a,vundo,United States,2013,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b3f6299875caad282ad685507298555a,vundo,United States,2013,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b3f6299875caad282ad685507298555a,vundo,United States,2013,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_b3f6299875caad282ad685507298555a,vundo,United States,2013,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_f016ee85ea97f699eeb5d516f8fc0d06,vundo,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_f016ee85ea97f699eeb5d516f8fc0d06,vundo,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Ashburn,VirusShare_f016ee85ea97f699eeb5d516f8fc0d06,vundo,United States,2014,-77.4874,US,USA,184.26.93.48,39.0438,0
Mountain View,VirusShare_f016ee85ea97f699eeb5d516f8fc0d06,vundo,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Atlanta,VirusShare_be7c0cd3beb34830ba20d59f2d2f44a2,vundo,United States,2012,-84.388,US,USA,23.72.137.81,33.749,0
Mountain View,VirusShare_be7c0cd3beb34830ba20d59f2d2f44a2,vundo,United States,2012,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b8bfbd325b293c2382d8656a64db7110,vundo,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Atlanta,VirusShare_b8bfbd325b293c2382d8656a64db7110,vundo,United States,2014,-84.388,US,USA,23.73.181.64,33.749,0
Redmond,VirusShare_b8bfbd325b293c2382d8656a64db7110,vundo,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b8bfbd325b293c2382d8656a64db7110,vundo,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b6d2cf8667147d00091967b751795c50,vundo,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_b6d2cf8667147d00091967b751795c50,vundo,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_b6d2cf8667147d00091967b751795c50,vundo,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b6d2cf8667147d00091967b751795c50,vundo,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_38144b8a68b18769044c844300c243a3,vundo,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_38144b8a68b18769044c844300c243a3,vundo,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_38144b8a68b18769044c844300c243a3,vundo,United States,2014,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_38144b8a68b18769044c844300c243a3,vundo,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b6a43c268ca1ee1dc3498fdfaf711d27,vundo,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_b6a43c268ca1ee1dc3498fdfaf711d27,vundo,United States,2014,-96.797,US,USA,23.218.156.11,32.7767,0
Mountain View,VirusShare_b6a43c268ca1ee1dc3498fdfaf711d27,vundo,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bb77357c2fca12b78660dec65cd58371,vundo,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_bb77357c2fca12b78660dec65cd58371,vundo,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_bb77357c2fca12b78660dec65cd58371,vundo,United States,2014,-96.797,US,USA,23.67.252.18,32.7767,0
Mountain View,VirusShare_bb77357c2fca12b78660dec65cd58371,vundo,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_3429fce1d664e6f162f14326d6b10635,vundo,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_3429fce1d664e6f162f14326d6b10635,vundo,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_3429fce1d664e6f162f14326d6b10635,vundo,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_3429fce1d664e6f162f14326d6b10635,vundo,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b32b8cd567d6bbcfb4c098ab7ab3db3c,vundo,United States,2016,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_b32b8cd567d6bbcfb4c098ab7ab3db3c,vundo,United States,2016,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_b32b8cd567d6bbcfb4c098ab7ab3db3c,vundo,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b697d2ae9a9a4af57ac66f1391d57bc0,vundo,United States,2016,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b697d2ae9a9a4af57ac66f1391d57bc0,vundo,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_b697d2ae9a9a4af57ac66f1391d57bc0,vundo,United States,2016,-77.0369,US,USA,23.2.17.169,38.9072,0
