city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Newark,VirusShare_bd2789801bb508c66a54e0b99a41cd80,wapomi,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_bd2789801bb508c66a54e0b99a41cd80,wapomi,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_bd2789801bb508c66a54e0b99a41cd80,wapomi,United States,2014,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_bd2789801bb508c66a54e0b99a41cd80,wapomi,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_1d67a81d19b4a0616297b6d3b01e13ca,wapomi,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_1d67a81d19b4a0616297b6d3b01e13ca,wapomi,United States,2017,-96.797,US,USA,96.16.7.80,32.7767,0
Redmond,VirusShare_1d67a81d19b4a0616297b6d3b01e13ca,wapomi,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_1d67a81d19b4a0616297b6d3b01e13ca,wapomi,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_158540134ac4c8e5d9f41b2aae4a3b82,wapomi,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
New York,VirusShare_158540134ac4c8e5d9f41b2aae4a3b82,wapomi,United States,2017,-74.0059,US,USA,204.79.197.200,40.7128,0
Washington,VirusShare_158540134ac4c8e5d9f41b2aae4a3b82,wapomi,United States,2017,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_158540134ac4c8e5d9f41b2aae4a3b82,wapomi,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_158540134ac4c8e5d9f41b2aae4a3b82,wapomi,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Redmond,VirusShare_ac8620b338bd57763e438ae4b8b79fc2,wapomi,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
