city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_3d4015ce57e59cb368b18e4e755e8710,winwebsec,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Atlanta,VirusShare_3d4015ce57e59cb368b18e4e755e8710,winwebsec,United States,2014,-84.388,US,USA,184.51.150.57,33.749,0
Redmond,VirusShare_3d4015ce57e59cb368b18e4e755e8710,winwebsec,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_3d4015ce57e59cb368b18e4e755e8710,winwebsec,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Dallas,VirusShare_cbe6634f9f88c3cc5987ec0db197b4d0,winwebsec,United States,2014,-96.797,US,USA,96.16.7.83,32.7767,0
Redmond,VirusShare_cbe6634f9f88c3cc5987ec0db197b4d0,winwebsec,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_cbe6634f9f88c3cc5987ec0db197b4d0,winwebsec,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b30a235fd304ed1f29558b0e14346790,winwebsec,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_b30a235fd304ed1f29558b0e14346790,winwebsec,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Redmond,VirusShare_b30a235fd304ed1f29558b0e14346790,winwebsec,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b30a235fd304ed1f29558b0e14346790,winwebsec,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_cb82c0822332f718a76d7283a4b30b80,winwebsec,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_cb82c0822332f718a76d7283a4b30b80,winwebsec,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_dd9974dd0bd2c28e47cdc05daa817775,winwebsec,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_dd9974dd0bd2c28e47cdc05daa817775,winwebsec,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_dd9974dd0bd2c28e47cdc05daa817775,winwebsec,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Ashburn,VirusShare_dd9974dd0bd2c28e47cdc05daa817775,winwebsec,United States,2014,-77.4874,US,USA,184.26.93.58,39.0438,0
Redmond,VirusShare_b460debf5f949a66aa6c4bd9646e0eb7,winwebsec,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_b460debf5f949a66aa6c4bd9646e0eb7,winwebsec,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_b460debf5f949a66aa6c4bd9646e0eb7,winwebsec,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b460debf5f949a66aa6c4bd9646e0eb7,winwebsec,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b6a04469443699e31f81ea93ab95f2a0,winwebsec,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_b6a04469443699e31f81ea93ab95f2a0,winwebsec,United States,2014,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_b6a04469443699e31f81ea93ab95f2a0,winwebsec,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b6a04469443699e31f81ea93ab95f2a0,winwebsec,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_7bcb1251ab27e6f91132e8e2c1052c40,winwebsec,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_7bcb1251ab27e6f91132e8e2c1052c40,winwebsec,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_7bcb1251ab27e6f91132e8e2c1052c40,winwebsec,United States,2014,-96.797,US,USA,96.17.177.18,32.7767,0
Mountain View,VirusShare_7bcb1251ab27e6f91132e8e2c1052c40,winwebsec,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_58c14c11e2d7ff86a567b270de34cd96,winwebsec,United States,2016,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_58c14c11e2d7ff86a567b270de34cd96,winwebsec,United States,2016,-96.797,US,USA,23.218.156.11,32.7767,0
Mountain View,VirusShare_58c14c11e2d7ff86a567b270de34cd96,winwebsec,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_f05286fafe690e3f14181b406b27fbea,winwebsec,United States,2016,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_f05286fafe690e3f14181b406b27fbea,winwebsec,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_f05286fafe690e3f14181b406b27fbea,winwebsec,United States,2016,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_f05286fafe690e3f14181b406b27fbea,winwebsec,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b3c251e32a2b932bdb49d1b5ca1a5f70,winwebsec,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b3c251e32a2b932bdb49d1b5ca1a5f70,winwebsec,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b3c251e32a2b932bdb49d1b5ca1a5f70,winwebsec,United States,2014,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_b3c251e32a2b932bdb49d1b5ca1a5f70,winwebsec,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_7501934dbf6f9025461a2b8594df6010,winwebsec,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Atlanta,VirusShare_7501934dbf6f9025461a2b8594df6010,winwebsec,United States,2014,-84.388,US,USA,23.72.137.59,33.749,0
Redmond,VirusShare_7501934dbf6f9025461a2b8594df6010,winwebsec,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_7501934dbf6f9025461a2b8594df6010,winwebsec,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bf40a315700ec4608148a6bfdc657242,winwebsec,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Paris,VirusShare_bf40a315700ec4608148a6bfdc657242,winwebsec,France,2014,2.35222,FR,FRA,23.219.160.65,48.8566,0
Mountain View,VirusShare_bf40a315700ec4608148a6bfdc657242,winwebsec,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_cb80d8176fc217e910f4ae2f02f91ef9,winwebsec,United States,2013,-122.128,US,USA,131.107.255.255,47.6393,0
Paris,VirusShare_cb80d8176fc217e910f4ae2f02f91ef9,winwebsec,France,2013,2.35222,FR,FRA,23.219.160.65,48.8566,0
Mountain View,VirusShare_cb80d8176fc217e910f4ae2f02f91ef9,winwebsec,United States,2013,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bf6004d4f515c8f0bfa0e53b0bb7288e,winwebsec,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Ashburn,VirusShare_bf6004d4f515c8f0bfa0e53b0bb7288e,winwebsec,United States,2014,-77.4874,US,USA,184.26.93.81,39.0438,0
Mountain View,VirusShare_bf6004d4f515c8f0bfa0e53b0bb7288e,winwebsec,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_714f8e64eeff075061ab3a7ad6ba8be0,winwebsec,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_714f8e64eeff075061ab3a7ad6ba8be0,winwebsec,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_714f8e64eeff075061ab3a7ad6ba8be0,winwebsec,United States,2014,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_714f8e64eeff075061ab3a7ad6ba8be0,winwebsec,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Chicago,VirusShare_b137a0ed88948700a21c6ee82f300f6b,winwebsec,United States,2013,-87.6298,US,USA,23.212.53.214,41.8781,0
Redmond,VirusShare_b137a0ed88948700a21c6ee82f300f6b,winwebsec,United States,2013,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b137a0ed88948700a21c6ee82f300f6b,winwebsec,United States,2013,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b8aab5552b3da3dd0dbf07bad39012ca,winwebsec,United States,2016,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b8aab5552b3da3dd0dbf07bad39012ca,winwebsec,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b8aab5552b3da3dd0dbf07bad39012ca,winwebsec,United States,2016,-96.797,US,USA,23.218.156.26,32.7767,0
Mountain View,VirusShare_b8aab5552b3da3dd0dbf07bad39012ca,winwebsec,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_dc1f1013986c36f84900a494e26c4302,winwebsec,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_dc1f1013986c36f84900a494e26c4302,winwebsec,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Ashburn,VirusShare_dc1f1013986c36f84900a494e26c4302,winwebsec,United States,2014,-77.4874,US,USA,184.26.93.58,39.0438,0
Redmond,VirusShare_e01b96b7a5c49e342a1f7e35a367dec0,winwebsec,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Atlanta,VirusShare_e01b96b7a5c49e342a1f7e35a367dec0,winwebsec,United States,2014,-84.388,US,USA,23.72.137.59,33.749,0
Redmond,VirusShare_e01b96b7a5c49e342a1f7e35a367dec0,winwebsec,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_e01b96b7a5c49e342a1f7e35a367dec0,winwebsec,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b8cec43a8a3e0cca7c7a324373a7f710,winwebsec,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b8cec43a8a3e0cca7c7a324373a7f710,winwebsec,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b8cec43a8a3e0cca7c7a324373a7f710,winwebsec,United States,2014,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_b8cec43a8a3e0cca7c7a324373a7f710,winwebsec,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bb5b022b3715a375c23e7efc74f8c860,winwebsec,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_bb5b022b3715a375c23e7efc74f8c860,winwebsec,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_bb5b022b3715a375c23e7efc74f8c860,winwebsec,United States,2014,-77.0369,US,USA,184.25.63.41,38.9072,0
Mountain View,VirusShare_bb5b022b3715a375c23e7efc74f8c860,winwebsec,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bbcba5d0e5ad8ade8dec4aa098975c30,winwebsec,United States,2016,-122.139,US,USA,65.55.158.118,47.6475,0
Atlanta,VirusShare_bbcba5d0e5ad8ade8dec4aa098975c30,winwebsec,United States,2016,-84.388,US,USA,184.51.150.57,33.749,0
Redmond,VirusShare_bbcba5d0e5ad8ade8dec4aa098975c30,winwebsec,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bbcba5d0e5ad8ade8dec4aa098975c30,winwebsec,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b8e7faf5865b340b347b84500873d4aa,winwebsec,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b8e7faf5865b340b347b84500873d4aa,winwebsec,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b8e7faf5865b340b347b84500873d4aa,winwebsec,United States,2014,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_b8e7faf5865b340b347b84500873d4aa,winwebsec,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_75be035f7c4909c492395aa4365132a0,winwebsec,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_75be035f7c4909c492395aa4365132a0,winwebsec,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_75be035f7c4909c492395aa4365132a0,winwebsec,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_75be035f7c4909c492395aa4365132a0,winwebsec,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b8a4d105b6dfb969b34a9452a5b28903,winwebsec,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b8a4d105b6dfb969b34a9452a5b28903,winwebsec,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b8a4d105b6dfb969b34a9452a5b28903,winwebsec,United States,2014,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_b8a4d105b6dfb969b34a9452a5b28903,winwebsec,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_bdf55793efb16de94524c64448fe7ec9,winwebsec,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_bdf55793efb16de94524c64448fe7ec9,winwebsec,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Redmond,VirusShare_bdf55793efb16de94524c64448fe7ec9,winwebsec,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bdf55793efb16de94524c64448fe7ec9,winwebsec,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b8f6f2a843286e075e4e0e62abd94600,winwebsec,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_b8f6f2a843286e075e4e0e62abd94600,winwebsec,United States,2014,-96.797,US,USA,96.16.7.83,32.7767,0
Redmond,VirusShare_b8f6f2a843286e075e4e0e62abd94600,winwebsec,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b8f6f2a843286e075e4e0e62abd94600,winwebsec,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b8199d59874a48fc4b134dc8371512f6,winwebsec,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b8199d59874a48fc4b134dc8371512f6,winwebsec,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b8199d59874a48fc4b134dc8371512f6,winwebsec,United States,2014,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_b8199d59874a48fc4b134dc8371512f6,winwebsec,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_cc0c87497a3fc76fb1e913a75e78c368,winwebsec,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_cc0c87497a3fc76fb1e913a75e78c368,winwebsec,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Dallas,VirusShare_cc0c87497a3fc76fb1e913a75e78c368,winwebsec,United States,2014,-96.797,US,USA,23.67.253.162,32.7767,0
Redmond,VirusShare_b3465283bdd7e8324d83371e25ba03d4,winwebsec,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b3465283bdd7e8324d83371e25ba03d4,winwebsec,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_b3465283bdd7e8324d83371e25ba03d4,winwebsec,United States,2014,-77.0369,US,USA,184.25.63.56,38.9072,0
Mountain View,VirusShare_b3465283bdd7e8324d83371e25ba03d4,winwebsec,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b6e34851f7c07aa4f5c23339edcc1635,winwebsec,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b6e34851f7c07aa4f5c23339edcc1635,winwebsec,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
