city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_b8319d04d2adf3e460fa0117f1731600,yakes,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_b8319d04d2adf3e460fa0117f1731600,yakes,United States,2015,-96.797,US,USA,96.16.7.80,32.7767,0
Mountain View,VirusShare_b8319d04d2adf3e460fa0117f1731600,yakes,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b31af58b13ef5a09b8d4e56f83a3bfe0,yakes,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b31af58b13ef5a09b8d4e56f83a3bfe0,yakes,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_b31af58b13ef5a09b8d4e56f83a3bfe0,yakes,United States,2014,-96.797,US,USA,23.67.252.19,32.7767,0
Mountain View,VirusShare_b31af58b13ef5a09b8d4e56f83a3bfe0,yakes,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_4c7ba38b4ac242466874d6eec65bb05b,yakes,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_4c7ba38b4ac242466874d6eec65bb05b,yakes,United States,2017,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_4c7ba38b4ac242466874d6eec65bb05b,yakes,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_4c7ba38b4ac242466874d6eec65bb05b,yakes,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_ef4d125cc11020920b808cc0622bef53,yakes,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Atlanta,VirusShare_ef4d125cc11020920b808cc0622bef53,yakes,United States,2015,-84.388,US,USA,23.73.181.64,33.749,0
Redmond,VirusShare_ef4d125cc11020920b808cc0622bef53,yakes,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_ef4d125cc11020920b808cc0622bef53,yakes,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_3db20461ef57c98cbfb93c3a2d4671d0,yakes,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_3db20461ef57c98cbfb93c3a2d4671d0,yakes,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
